"","original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phyticacid_in_mg"
"243","MW07_0019","Baby food (jar), 7 months, banana & yoghurt",NA,NA,NA,NA,NA,"MAFOODS","ZA",89,37.4,158.7,0.144,0.9,0.2,0.1,NA,NA,NA,8,0.2,0.148349223,26.42487047,0.123316062,8.808290155,24.66321244,88.08290155,0.06,0.229015544,0.01761658,NA,NA,NA,2.642487047,0.00880829,0.035233161,0.167357513,0.070466321,NA,NA,0.114507772,NA,NA,12.24352332,0,NA,NA
"244","MW07_0020","Baby food (jar), 7 months, butternut",NA,NA,NA,NA,NA,"MAFOODS","ZA",88.2,38.4,163.2,0.256,1.6,0,0,NA,NA,NA,8,0.4,0.2849257,12.96,0.243,14.58,34.83,221.94,0.06,0.235,0.081,56.7,NA,NA,NA,0.0405,0.0162,1.134,0.0729,NA,6.48,0,0.2106,5.103,3.24,0,1.0935,NA
"245","MW07_0021","Baby food (jar), 7 months, carrot",NA,NA,NA,NA,NA,"MAFOODS","ZA",92,19.6,83.3,0.144,0.9,0,0,NA,NA,NA,4,0.3,0.418379195,33.71428571,0.567012987,13.79220779,30.64935065,300.3636364,39,0.22987013,0.062831169,NA,NA,NA,878.1038961,0.035246753,0.061298701,0.709532468,0.11187013,NA,0,0,0.367792208,NA,8.735064935,0,NA,NA
"246","MW07_0022","Baby food (jar), 7 months, mixed vegetables",NA,NA,NA,NA,NA,"MAFOODS","ZA",89.4,48.8,207.4,0.832,5.2,0,0,NA,NA,NA,7,0.5,0.193275098,13.50980392,0.33254902,10.39215686,22.8627451,131.9803922,14,0.155882353,0.041568627,NA,NA,NA,164.1960784,0.022862745,0.025980392,0.339823529,0.057156863,NA,NA,0,0.259803922,NA,1.766666667,0,NA,NA
"247","MW07_0023","Baby food (jar), 7 months, peach",NA,NA,NA,NA,NA,"MAFOODS","ZA",84,37.7,160.1,0.192,1.2,0.1,0,NA,NA,NA,8,1.6,0.230170642,4.159021407,0.239143731,7.278287462,15.59633028,202.7522936,0.06,0.114373089,0.031192661,NA,NA,NA,35.35168196,0.01559633,0.080061162,1.705198777,0.018715596,NA,NA,0,0.086299694,NA,47.93272171,0,NA,NA
"248","MW07_0024","Baby food (jar), 7 months, pear",NA,NA,NA,NA,NA,"MAFOODS","ZA",83,60,255,0,0,0,NA,NA,NA,NA,15,3,0.233115948,11.72413793,0.351724138,11.72413793,17.5862069,190.5172414,1,0.117241379,0.095258621,NA,NA,NA,1.465517241,0.019051724,0.041034483,0.276982759,0.011724138,NA,NA,0,0.131896552,NA,35.90517241,0,NA,NA
"249","MW07_0025","Baby food (jar), 7 months, sweet potato",NA,NA,NA,NA,NA,"MAFOODS","ZA",88.2,36,153,0.16,1,0,0,NA,NA,NA,8,0.5,0.245828934,12.42105263,0.287236842,10.09210526,18.63157895,204.1710526,0.06,0.163026316,0.062881579,NA,NA,NA,249.9736842,0.021736842,0.025618421,0.277921053,0.072197368,NA,NA,0,0.302763158,NA,7.685526316,0,NA,NA
"250","MW07_0026","Baby food (jar), 7 months, vegetables & beef",NA,NA,NA,NA,NA,"MAFOODS","ZA",88.5,36.1,152.8,0.144,0.9,0.5,0.3,NA,NA,NA,7,0.1,0.17626085,12.9814077,0.267264276,7.636122178,25.19920319,110.7237716,19,0.290172643,0.022908367,140,NA,NA,187.8486056,0.006108898,0.036653386,0.60249004,0.04810757,NA,2.290836653,0.137450199,0.07559761,NA,0.152722444,0,NA,NA
"251","MW07_0027","Baby food (jar), 7 months, vegetables & chicken",NA,NA,NA,NA,NA,"MAFOODS","ZA",88.5,42,178,0.416,2.6,0.4,0.1,NA,NA,NA,7,0.7,0.25803229,23.70229008,0.465267176,12.29007634,41.25954198,138.7022901,41,0.421374046,0.061450382,130,NA,NA,181.7175573,0.028091603,0.045648855,0.632061069,0.063206107,NA,NA,0.008778626,0.093931298,NA,0.08778626,0.08778626,NA,NA
"252","MW07_0028","Baby food (jar), 8 months, apple",NA,NA,NA,NA,NA,"MAFOODS","ZA",86.5,50.1,212.8,0.048,0.3,0.1,NA,NA,NA,NA,12,1.2,0.135,6.43,0.28,3.86,7.71,99,0,0.05,0.045,NA,NA,NA,1.59,0.019,0.04452,0.09699,0.04929,NA,0,0,0.12,NA,60.897,0,0.954,NA
"253","MW07_0029","Baby food (jar), 8 months, apple & banana",NA,NA,NA,NA,NA,"MAFOODS","ZA",81.9,70.5,299.5,0.064,0.4,0.1,NA,NA,NA,NA,17,1.2,0.3103,3.21,0.107,8.56,9.63,75.97,1,0.0535,0.0321,NA,NA,NA,2.14,0.0214,0.0214,0.1391,0.0642,NA,0,0,NA,NA,13.161,0,0.0214,NA
"254","MW07_0030","Baby food (jar), 8 months, fruit & yoghurt",NA,NA,NA,NA,NA,"MAFOODS","ZA",90.6,37.4,158.7,0.144,0.9,0.2,0.1,NA,NA,NA,8,0.3,0.37,28,0.2,4,22,62,0.06,0.11,0.02,NA,NA,NA,5,0.02,0.05,0.14,0.04,NA,0,0,NA,NA,11.7,0,0.13,NA
"255","MW07_0031","Baby food (jar), 8 months, fruit salad",NA,NA,NA,NA,NA,"MAFOODS","ZA",81.9,66.5,282.5,0.064,0.4,0.1,NA,NA,NA,NA,16,1.2,0.09,10.773,0.28,5.387,8.619,62.488,1,0.05,0.03,NA,NA,NA,1.077,0.0119,0.033,0.086,0.033,NA,0,0,0.101,NA,20.255,0,NA,NA
"256","MW07_0032","Baby food (jar), 8 months, peach",NA,NA,NA,NA,NA,"MAFOODS","ZA",84.5,37.7,160.1,0.192,1.2,0.1,NA,NA,NA,NA,8,1.6,0.649,4.4,0.253,7.749,16.605,215.87,0.06,0.121,0.033,40.7,NA,NA,37.63,0.0165,0.0852,1.81553,0.01992,NA,0,0,0.0913,NA,51.03,0,2.189,NA
"257","MW07_0033","Baby food (jar), 8 months, pear",NA,NA,NA,NA,NA,"MAFOODS","ZA",81.9,62.5,265.5,0.064,0.4,0.1,NA,NA,NA,NA,15,2.9,0.468,12.48,0.3744,12.48,18.72,202.8,1,0.1248,0.1014,NA,NA,NA,1.56,0.02028,0.04368,0.29484,0.01248,NA,0,0,0.1404,NA,38.22,0,0.1404,NA
"258","MW07_0034","Baby food (jar), 8 months, pears with yoghurt",NA,NA,NA,NA,NA,"MAFOODS","ZA",91.3,33.6,142.8,0.064,0.4,0,0,NA,NA,NA,8,0.3,0.4275,25.65,0.38,12.35,25.65,96.9,0.06,0.171,0.038,NA,NA,NA,0.95,0.00095,0.0475,0.38,0.019,NA,0,0.4085,NA,NA,11.115,0,0,NA
"259","MW07_0035","Baby food (jar), 8 months, vegetables & chicken",NA,NA,NA,NA,NA,"MAFOODS","ZA",88.5,55,233,0.864,5.4,0.6,0.2,NA,NA,NA,7,1.2,0.4312,23.76,0.4664,12.32,41.36,139.04,42,0.4224,0.0616,NA,NA,NA,182.16,0.02816,0.04576,0.6336,0.06336,NA,0,0.088,0.09416,NA,0.088,0.088,0.2816,NA
