,original_food_id,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg
63,NA,Plantains,1313.01,"plantain, raw",Fruits and Vegetables,Plantains and products,h,regional-SSA-fct,NA,NA,149,NA,NA,1.1,0.3,NA,NA,NA,NA,34.3,2.3,NA,7,1.1,37,NA,NA,NA,0.1,0.08,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
64,NA,Potatoes,1510.01,"potatoes, raw",Roots and Tubers,Potatoes and products,h,regional-SSA-fct,NA,NA,58,NA,NA,2.6,0.1,NA,NA,NA,NA,12.4,2.5,NA,30,3.2,23,NA,NA,NA,0.4,0.4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
65,NA,Poultry Meat,21121.01,"chicken meat, fresh, raw",Animal Products,Poultry Meat and products,m,regional-SSA-fct,NA,NA,200,NA,NA,18.8,13.2,NA,NA,NA,NA,0,0,NA,9,1,14,NA,NA,NA,1.3,0.1,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
66,NA,"Pulses, Other",1707.01,"pigeon peas, dried, raw",Pulses and Beans,"Pulses, Other and products",m,regional-SSA-fct,NA,NA,343,NA,NA,21.7,1.5,NA,NA,NA,NA,62.8,15,NA,104,4.4,125,NA,NA,NA,2.9,0.8,NA,0,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154
67,NA,Rape and Mustard Oil,21641.01.01,rape seed oil,Other foods,Rape and Mustard Oil and products,l,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
68,NA,Rice (Milled Equivalent),23161.01.01,"rice grain, white, raw",Cereals,Rice and products,m,regional-SSA-fct,NA,NA,358,NA,NA,6.5,0.5,NA,NA,NA,NA,79.8,0.8,NA,8,0.6,36,NA,NA,NA,1.1,0.1,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352
69,NA,Rice (Milled Equivalent),23161.02.01,"rice grain, white, raw",Cereals,Rice and products,m,regional-SSA-fct,NA,NA,358,NA,NA,6.5,0.5,NA,NA,NA,NA,79.8,0.8,NA,8,0.6,36,NA,NA,NA,1.1,0.1,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352
70,NA,"Roots, Other",1550.01,"taros, raw",Roots and Tubers,"Roots, Other and products",m,regional-SSA-fct,NA,NA,112,NA,NA,1.5,0.2,NA,NA,NA,NA,22.4,4.1,NA,43,0.1,33,NA,NA,NA,0.2,0.2,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
71,NA,Rye,116.01,"rye grain, unrefined, raw ",Cereals,Rye and products,l,regional-SSA-fct,NA,NA,339,NA,NA,13.7,1.9,NA,NA,NA,NA,60.4,12.2,NA,15,1.2,22,NA,NA,NA,0.7,0.1,NA,10,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
72,NA,Sesameseed,1444.01,sesame seeds,Pulses and Beans,Sesame seed and products,h,regional-SSA-fct,NA,NA,573,NA,NA,17.7,49.7,NA,NA,NA,NA,6.6,16.9,NA,975,14.6,351,NA,NA,NA,7.8,4.1,NA,0,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710
