,original_food_id,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg
11,NA,Cassava,01520.01.01,"cassava root, raw",Roots and Tubers,Cassava and products,h,regional-SSA-fct,NA,NA,160,NA,NA,1.4,0.3,NA,NA,NA,NA,38.1,1.8,NA,16,0.3,21,NA,NA,NA,0.3,0.1,NA,0.88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
12,NA,Cephalopods,1570.01,"squids, raw",Animal Products,Cephalopods,m,regional-SSA-fct,NA,NA,92,NA,NA,16,1,NA,NA,NA,NA,3,0,NA,32,0.68,33,NA,NA,NA,1.53,1.9,NA,20,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
13,NA,"Cereals, Other",1193.03,"fonio grain, white, unrefined, raw",Cereals,"Cereals, Other and products",l,regional-SSA-fct,NA,NA,351.099426,NA,NA,11.9,1.8,NA,NA,NA,NA,59.9,10.7,NA,8,2.4,68,NA,NA,NA,1.92,0.27,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
14,NA,"Citrus, Other",1323.01,"oranges, raw",Fruits and Vegetables,"Oranges, Mandarines and products",l,regional-SSA-fct,NA,NA,54.493307,NA,NA,0.8,0.1,NA,NA,NA,NA,9.2,3.2,NA,30,0.3,8,NA,NA,NA,0.22,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15,NA,Cloves,1656.01,cloves,Other foods,Cloves and products,h,regional-SSA-fct,NA,NA,323,NA,NA,5.98,20.07,NA,NA,NA,NA,27.01,34.2,NA,646,8.7,264,NA,NA,NA,1.1,0.3,NA,0,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16,NA,Cocoa Beans,F0665.01,cocoa powder,Other foods,Cocoa Beans and products,m,regional-SSA-fct,NA,NA,363.049713,NA,NA,18.5,21.7,NA,NA,NA,NA,11.5,12.1,NA,130,10.5,520,NA,NA,NA,6.9,3.9,NA,0,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17,NA,Coconut Oil,2166.01,coconut oil,Other foods,Coconut Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,2,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
18,NA,Coconuts - Incl Copra,1460.01,coconuts,Other foods,Coconuts (including copra) and products,h,regional-SSA-fct,NA,NA,400.812619,NA,NA,3.4,38.9,NA,NA,NA,NA,2.3,8.3,NA,11,0.8,47,NA,NA,NA,0.45,0.43,NA,1,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324
19,NA,Coffee,23912.02.01,"coffee, instant powder",Other foods,Coffee and products,h,regional-SSA-fct,NA,NA,2.151051,NA,NA,0.1,0,NA,NA,NA,NA,0.4,0,NA,2,0.1,5,NA,NA,NA,0.02,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
20,NA,Cottonseed Oil,2168.01,cotton seed oil,Other foods,Cottonseed Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21,NA,Cream,22120.01,cream,Animal Products,Cream and products,h,regional-SSA-fct,NA,NA,245.458891,NA,NA,2.5,25,NA,NA,NA,NA,3.5,0,NA,90,0,8,NA,NA,NA,0.26,0.01,NA,35,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
22,NA,Crustaceans,1553.01,"crab, fresh, raw",Animal Products,Crustaceans,m,regional-SSA-fct,NA,NA,97.992351,NA,NA,20.2,1.8,NA,NA,NA,NA,0,0,NA,104,0.9,33,NA,NA,NA,4.22,0.65,NA,100,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
23,NA,Dates,1314.01,dates,Fruits and Vegetables,Dates and products,h,regional-SSA-fct,NA,NA,145.076481,NA,NA,1.5,0.1,NA,NA,NA,NA,31.3,2.7,NA,24,0.3,24,NA,NA,NA,0.2,0.12,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
24,NA,Demersal Fish,1518.01,"haddock, smoked, raw",Animal Products,Demersal Fish,m,regional-SSA-fct,NA,NA,111.137667,NA,NA,25.2,1,NA,NA,NA,NA,0,0,NA,49,1.4,54,NA,NA,NA,0.5,0.04,NA,140,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
25,NA,Eggs,231.01,"egg, chicken, raw",Animal Products,Eggs and products,h,regional-SSA-fct,NA,NA,147.227533,NA,NA,12.6,10.3,NA,NA,NA,NA,1.2,0,NA,39,1.8,9,NA,NA,NA,1.15,0.12,NA,53,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
26,NA,"Fats, Animals, Raw",21521.01,pork lard,Animal Products,"Fats, Animals, Raw and products",m,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.11,0,NA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
27,NA,"Fish, Body Oil",1523.01,"cod, liver oil",Animal Products,"Fish, Liver Oil",l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
28,NA,"Fish, Liver Oil",1523.01,"cod, liver oil",Animal Products,"Fish, Liver Oil",m,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
29,NA,Freshwater Fish,1501.01,"trout, rainbow, fresh, raw",Animal Products,Freshwater Fish,m,regional-SSA-fct,NA,NA,144.837476,NA,NA,26.3,4.3,NA,NA,NA,NA,0,0,NA,86,2.4,39,NA,NA,NA,1.39,0.14,NA,11,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
30,NA,"Fruits, Other",1316.01,"mangoes, raw",Fruits and Vegetables,"Fruits, Other and products",m,regional-SSA-fct,NA,NA,72.418738,NA,NA,0.6,0.2,NA,NA,NA,NA,15.3,1.5,NA,9,0.2,10,NA,NA,NA,0.07,0.07,NA,2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
31,NA,Grapefruit,1321.02,"grapefruits, raw",Fruits and Vegetables,Grapefruit and products,h,regional-SSA-fct,NA,NA,39.435946,NA,NA,0.7,0.1,NA,NA,NA,NA,6.9,1.9,NA,10,0.1,8,NA,NA,NA,0.04,0.04,NA,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
32,NA,Grapes,1330.01,"grapes, raw",Fruits and Vegetables,Grapes and products (excludingexcl wine) and products,h,regional-SSA-fct,NA,NA,71.70172,NA,NA,0.7,0.1,NA,NA,NA,NA,14.7,2,NA,6,0.3,7,NA,NA,NA,0.06,0.08,NA,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
33,NA,Groundnut Oil,2162.01,peanut oil,Pulses and Beans,Groundnut Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.01,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
34,NA,Groundnuts (Shelled Eq),142.01,"peanut, unshelled",Pulses and Beans,Groundnuts (Shelled Eq) and products,h,regional-SSA-fct,NA,NA,605.401529,NA,NA,25.8,49.2,NA,NA,NA,NA,7.6,8.5,NA,92,4.6,168,NA,NA,NA,3.27,1.14,NA,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1760
35,NA,Honey,2910.01,honey,Other foods,Honey and products,h,regional-SSA-fct,NA,NA,335.564053,NA,NA,0.3,0,NA,NA,NA,NA,82.3,0,NA,5,0.5,2,NA,NA,NA,0.2,0.05,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
36,NA,"Lemons, Limes",1322.01,"lemons, raw",Fruits and Vegetables,"Lemons, Limes and products",m,regional-SSA-fct,NA,NA,49.713193,NA,NA,0.7,0.2,NA,NA,NA,NA,7,4.1,NA,29,0.3,9,NA,NA,NA,0.09,0.12,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
37,NA,Maize,112.01,"maize, grain, white, dried, raw",Cereals,Maize and products (including white maize),m,regional-SSA-fct,NA,NA,424.474187,NA,NA,9.2,4.3,NA,NA,NA,NA,75.3,10.6,NA,10,3,123,NA,NA,NA,2.3,0.2,NA,3,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
38,NA,Maize Germ Oil,21691.02.01,maize oil,Cereals,Maize Germ Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
39,NA,"Marine Fish, Other",1532.01,"sardines, tinned",Animal Products,Pelagic Fish,l,regional-SSA-fct,NA,NA,111.615678,NA,NA,24.2,1.5,NA,NA,NA,NA,0,0,NA,18,0.3,58,NA,NA,NA,0.63,0.03,NA,32,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
40,NA,"Meat, Aquatic Mammals",1580.01,"marine mammals meat, fresh, raw",Animal Products,"Meat, Aquatic Mammals",m,regional-SSA-fct,NA,NA,111,NA,NA,26.5,0.5,NA,NA,NA,NA,0,0,NA,7,0.3,58,NA,NA,NA,0.63,0.03,NA,32,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
41,NA,"Meat, Other",21170.92.01,"deer meat, fresh, raw",Animal Products,"Meat, Other and products",m,regional-SSA-fct,NA,NA,151.051625,NA,NA,30.2,3.2,NA,NA,NA,NA,0,0,NA,7,4.5,24,NA,NA,NA,2.75,0.3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
42,NA,Milk - Excluding Butter,2211.01,"milk, cow, whole, raw",Animal Products,Milk - (Excluding excluding Butter butter) and products,m,regional-SSA-fct,NA,NA,62.619502,NA,NA,3.2,3.4,NA,NA,NA,NA,4.8,0,NA,120,0.1,12,NA,NA,NA,0.38,0.01,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
43,NA,Millet,118.01,"millet, grain",Cereals,Millet and products,m,regional-SSA-fct,NA,NA,119.263862,NA,NA,3.5,1,NA,NA,NA,NA,23.3,0.4,NA,3,0.6,44,NA,NA,NA,0.91,0.16,NA,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520
44,NA,"Molluscs, Other",1562.01,"oysters, fresh, raw",Animal Products,"Molluscs, Other",m,regional-SSA-fct,NA,NA,66.921606,NA,NA,7.1,2.5,NA,NA,NA,NA,3.9,0,NA,45,6.7,54,NA,NA,NA,90.95,4.46,NA,0,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
45,NA,Mutton & Goat Meat,21116.01,"goat meat, fresh, raw",Animal Products,Mutton & and Goat Meat and products,m,regional-SSA-fct,NA,NA,104.2065,NA,NA,20.6,2.3,NA,NA,NA,NA,0,0,NA,13,2.8,0,NA,NA,NA,4,0.26,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
46,NA,Nuts,1372.01,cashew nuts,Other foods,Nuts and products,m,regional-SSA-fct,NA,NA,605.401529,NA,NA,15.3,46.4,NA,NA,NA,NA,26.6,6.1,NA,45,6,260,NA,NA,NA,5.6,2.22,NA,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2580
47,NA,Oats,23140.07.01,"oats, rolled",Cereals,Oats and products,h,regional-SSA-fct,NA,NA,427.10325,NA,NA,10.7,10.4,NA,NA,NA,NA,61.6,1.6,NA,54,4.4,153,NA,NA,NA,3.18,0.36,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
48,NA,"Offals, Edible",21151.01,"beef offal, fresh, raw",Animal Products,"Offals, Edible and products",m,regional-SSA-fct,NA,NA,161.089866,NA,NA,15.7,11,NA,NA,NA,NA,0,0,NA,12,1.7,10,NA,NA,NA,1.94,0.13,NA,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
49,NA,"Oilcrops, Other",1441.01,linseeds,Other foods,"Oilcrops, Other and products",m,regional-SSA-fct,NA,NA,531.548757,NA,NA,17.5,36.9,NA,NA,NA,NA,3.5,29.5,NA,250,44.2,346,NA,NA,NA,8.24,3.88,NA,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710
50,NA,Olive Oil,2167.01,olive oil,Other foods,Olive Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,1,0,0,NA,NA,NA,0.4,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
51,NA,Olives,F0262.01,"olives, preserved",Fruits and Vegetables,Olives (including preserved) and products,h,regional-SSA-fct,NA,NA,123.565965,NA,NA,0.8,10.7,NA,NA,NA,NA,3.1,3.2,NA,88,3.3,4,NA,NA,NA,0.22,0.25,NA,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
52,NA,Onions,1253.02.01,"onions, raw",Fruits and Vegetables,Onions and products,h,regional-SSA-fct,NA,NA,45.889101,NA,NA,0.9,0.1,NA,NA,NA,NA,8.7,1.5,NA,30,0.5,12,NA,NA,NA,0.31,0.14,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
53,NA,"Oranges, Mandarines",1323.01,"oranges, raw",Fruits and Vegetables,"Oranges, Mandarines and products",m,regional-SSA-fct,NA,NA,54.493307,NA,NA,0.8,0.1,NA,NA,NA,NA,9.2,3.2,NA,30,0.3,8,NA,NA,NA,0.22,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
54,NA,Palm Oil,2165.01,palm oil,Other foods,Palm Oil and products,h,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,6,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
55,NA,Palmkernel Oil,21691.14.01,palm kernel oil,Other foods,Palmkernel Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,6,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
56,NA,Peas,1705.01,"peas, dried, raw",Pulses and Beans,Peas and products,l,regional-SSA-fct,NA,NA,88.671128,NA,NA,5.5,0.8,NA,NA,NA,NA,8.3,6.3,NA,20,1.7,28,NA,NA,NA,0.87,0.17,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
57,NA,Pelagic Fish,1527.01,"mackerel, fresh, raw",Animal Products,Pelagic Fish,l,regional-SSA-fct,NA,NA,196.70172,NA,NA,20.1,13,NA,NA,NA,NA,0,0,NA,29,0.8,29,NA,NA,NA,0.5,0.03,NA,32,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
58,NA,Pepper,1651.01,"pepper, black",Other foods,Pepper and products,h,regional-SSA-fct,NA,NA,336.759082,NA,NA,10.9,3.3,NA,NA,NA,NA,38.3,26.5,NA,437,28.9,194,NA,NA,NA,1.42,1.13,NA,0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
59,NA,Pigmeat,21113.02.01,"pig meat, without bones, fresh, raw",Animal Products,Pigmeat and products,m,regional-SSA-fct,NA,NA,366.873804,NA,NA,13.9,35.1,NA,NA,NA,NA,0,0,NA,19,0.7,13,NA,NA,NA,1.59,0.06,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
60,NA,Pimento,1652.01,"pepper, raw",Fruits and Vegetables,Pimento and products,h,regional-SSA-fct,NA,NA,31.548757,NA,NA,0.9,0.2,NA,NA,NA,NA,4.4,2,NA,9,0.5,10,NA,NA,NA,0.12,0.07,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
61,NA,Pineapples,1318.01,"pineapple, raw",Fruits and Vegetables,Pineapples and products,h,regional-SSA-fct,NA,NA,59.034416,NA,NA,0.4,0.1,NA,NA,NA,NA,12.1,1.8,NA,4,0.3,10,NA,NA,NA,0.03,0.04,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
62,NA,Plantains,1313.01,"plantain, raw",Fruits and Vegetables,Plantains and products,h,regional-SSA-fct,NA,NA,149,NA,NA,1.1,0.3,NA,NA,NA,NA,34.3,2.3,NA,7,1.1,37,NA,NA,NA,0.1,0.08,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
63,NA,Potatoes,1510.01,"potatoes, raw",Roots and Tubers,Potatoes and products,h,regional-SSA-fct,NA,NA,77.676864,NA,NA,1.5,0.1,NA,NA,NA,NA,15.9,1.5,NA,6,1.2,15,NA,NA,NA,0.29,0.09,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147
64,NA,Poultry Meat,21121.01,"chicken meat, fresh, raw",Animal Products,Poultry Meat and products,m,regional-SSA-fct,NA,NA,117.351816,NA,NA,23,2.7,NA,NA,NA,NA,0,0,NA,14,1.1,28,NA,NA,NA,0.74,0.06,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
65,NA,"Pulses, Other",1704.01,"lentils, dried, raw",Pulses and Beans,"Pulses, Other and products",m,regional-SSA-fct,NA,NA,354.923518,NA,NA,28.1,1,NA,NA,NA,NA,41.2,15.9,NA,51,9,107,NA,NA,NA,3.61,0.85,NA,0,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154
66,NA,Rape and Mustard Oil,21641.01.01,rape seed oil,Other foods,Rape and Mustard Oil and products,l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
67,NA,Rice (Milled Equivalent),23120.01.01,"rice flour, white",Cereals,Rice and products,m,regional-SSA-fct,NA,NA,362,NA,NA,6,1.4,NA,NA,NA,NA,77.7,2.4,NA,10,0.4,35,NA,NA,NA,0.8,0.13,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352
68,NA,"Roots, Other",1550.01,"taros, raw",Roots and Tubers,"Roots, Other and products",m,regional-SSA-fct,NA,NA,115.43977,NA,NA,1.5,0.2,NA,NA,NA,NA,22.4,4.1,NA,43,0.6,33,NA,NA,NA,0.23,0.17,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
69,NA,Rye,116.01,"rye grain, unrefined, raw ",Cereals,Rye and products,l,regional-SSA-fct,NA,NA,351.099426,NA,NA,11.9,1.8,NA,NA,NA,NA,59.9,10.7,NA,8,2.4,68,NA,NA,NA,1.92,0.27,NA,10,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
70,NA,Sesameseed,1444.01,sesame seeds,Pulses and Beans,Sesame seed and products,h,regional-SSA-fct,NA,NA,630.01912,NA,NA,26.4,54.8,NA,NA,NA,NA,6.4,3,NA,131,7.8,347,NA,NA,NA,10.25,2.15,NA,0,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710
71,NA,Sesameseed Oil,21691.07.01,sesame seed oil,Pulses and Beans,Sesameseed Oil and products,h,regional-SSA-fct,NA,NA,884,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
72,NA,Sorghum,114.01,"sorghum grain, raw",Cereals,Sorghum and products,h,regional-SSA-fct,NA,NA,339,NA,NA,11.3,3.3,NA,NA,NA,NA,65.6,9,NA,15,4.1,34,NA,NA,NA,0.8,0.3,NA,10,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439
73,NA,Soyabean Oil,2161.01,soybean oil,Pulses and Beans,Soyabean Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
74,NA,Soyabeans,141.01,"soybeans, dried, raw",Pulses and Beans,Soyabeans and products,h,regional-SSA-fct,NA,NA,446.940726,NA,NA,36.5,19.9,NA,NA,NA,NA,17.7,12.5,NA,277,15.7,280,NA,NA,NA,4.89,1.66,NA,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1473
75,NA,"Spices, Other",1699.01,turmeric roots,Other foods,"Spices, Other and products",m,regional-SSA-fct,NA,NA,382.887189,NA,NA,7.8,9.9,NA,NA,NA,NA,43.8,21.1,NA,183,41.4,193,NA,NA,NA,4.35,0.6,NA,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
