original_food_id,region,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg
NA,M,Beans,1701.02,"common beans, dried, raw",Pulses and Beans,Beans and products,m,regional-SSA-fct,NA,NA,347,NA,NA,16.9,1.3,NA,NA,NA,NA,46.2,19.4,NA,85,5.9,164,NA,NA,NA,2.54,0.88,NA,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1586
NA,E,Beans,1701.03,"kidney beans, dried, raw",Pulses and Beans,Beans and products,m,regional-SSA-fct,NA,NA,333,NA,NA,23.6,0.8,NA,NA,NA,NA,60,24.9,NA,72,7.5,116,NA,NA,NA,2.8,0.6,NA,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1586
NA,S,Beans,1701.02,"common beans, dried, raw",Pulses and Beans,Beans and products,m,regional-SSA-fct,NA,NA,346.797323,NA,NA,16.9,1.3,NA,NA,NA,NA,46.2,19.4,NA,85,5.9,164,NA,NA,NA,2.54,0.88,NA,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1586
NA,W,Beans,1701.02,"common beans, dried, raw",Pulses and Beans,Beans and products,m,regional-SSA-fct,NA,NA,347,NA,NA,16.9,1.3,NA,NA,NA,NA,46.2,19.4,NA,85,5.9,164,NA,NA,NA,2.54,0.88,NA,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1586
NA,M,Beer,24310.01.01,"beer, regular",Other foods,Beer and products,h,regional-SSA-fct,NA,NA,35,NA,NA,0.3,0,NA,NA,NA,NA,2,0,NA,8,0.1,7,NA,NA,NA,0,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Beer,24310.01.01,"beer, regular",Other foods,Beer and products,h,regional-SSA-fct,NA,NA,41,NA,NA,0.3,0,NA,NA,NA,NA,3.5,0.2,NA,5,0,6,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Beer,24310.01.01,"beer, regular",Other foods,Beer and products,h,regional-SSA-fct,NA,NA,41.108986,NA,NA,0.3,0,NA,NA,NA,NA,3.7,0,NA,4,0,9,NA,NA,NA,0.01,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Beer,24310.01.01,"beer, regular",Other foods,Beer and products,h,regional-SSA-fct,NA,NA,35,NA,NA,0.3,0,NA,NA,NA,NA,2,0,NA,8,0.1,7,NA,NA,NA,0,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Beverages, Alcoholic",2413.01,gin,Other foods,"Beverages, Alcoholic and products",m,regional-SSA-fct,NA,NA,249.521988,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0.04,0,NA,NA,NA,0.04,0.04,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,"Beverages, Alcoholic",2413.01,gin,Other foods,"Beverages, Alcoholic and products",m,regional-SSA-fct,NA,NA,275,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0.04,0,NA,NA,NA,0.04,0.04,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,"Beverages, Alcoholic",2413.01,gin,Other foods,"Beverages, Alcoholic and products",m,regional-SSA-fct,NA,NA,249.521988,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.04,0.02,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Beverages, Alcoholic",2413.01,gin,Other foods,"Beverages, Alcoholic and products",m,regional-SSA-fct,NA,NA,249.521988,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0.04,0,NA,NA,NA,0.04,0.04,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Beverages, Fermented",24310.02.01,"beer, maize grain",Cereals,"Beverages, Fermented and products",m,regional-SSA-fct,NA,NA,34,NA,NA,0.6,0.2,NA,NA,NA,NA,3.1,0.1,NA,4,0,14,NA,NA,NA,0.3,0,NA,3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,"Beverages, Fermented",24310.04.01,"beer, sorghum grain",Cereals,"Beverages, Fermented and products",m,regional-SSA-fct,NA,NA,41,NA,NA,0.3,0,NA,NA,NA,NA,3.5,0.2,NA,5,0,6,NA,NA,NA,0,0,NA,3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,"Beverages, Fermented",24310.02.01,"beer, maize grain",Cereals,"Beverages, Fermented and products",m,regional-SSA-fct,NA,NA,41,NA,NA,0.3,0,NA,NA,NA,NA,3.5,0.2,NA,5,0,6,NA,NA,NA,0,0,NA,3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,"Beverages, Fermented",24310.04.01,"beer, sorghum grain",Cereals,"Beverages, Fermented and products",m,regional-SSA-fct,NA,NA,28.919694,NA,NA,0.6,0,NA,NA,NA,NA,3,0.1,NA,5,0.2,14,NA,NA,NA,0.14,0.02,NA,3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Beverages, Fermented",24310.02.01,"beer, maize grain",Cereals,"Beverages, Fermented and products",m,regional-SSA-fct,NA,NA,34,NA,NA,0.6,0.2,NA,NA,NA,NA,3.1,0.1,NA,4,0,14,NA,NA,NA,0.3,0,NA,3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Bovine Meat,21111.02.01,"beef, without bones, fresh, raw",Animal Products,Bovine Meat and products,m,regional-SSA-fct,NA,NA,244,NA,NA,17.9,19.2,NA,NA,NA,NA,0,0,NA,10,2.4,28,NA,NA,NA,2.2,0.16,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Bovine Meat,21111.02.01,"beef, without bones, fresh, raw",Animal Products,Bovine Meat and products,m,regional-SSA-fct,NA,NA,323,NA,NA,24.9,24,NA,NA,NA,NA,0,0,NA,4,1.7,23,NA,NA,NA,4.1,0.1,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Bovine Meat,21111.02.01,"beef, without bones, fresh, raw",Animal Products,Bovine Meat and products,m,regional-SSA-fct,NA,NA,203.632887,NA,NA,19.2,14.2,NA,NA,NA,NA,0,0,NA,13,0.7,19,NA,NA,NA,3.42,0.32,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Bovine Meat,21111.02.01,"beef, without bones, fresh, raw",Animal Products,Bovine Meat and products,m,regional-SSA-fct,NA,NA,244,NA,NA,17.9,19.2,NA,NA,NA,NA,0,0,NA,10,2.4,28,NA,NA,NA,2.2,0.16,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Butter, Ghee",22241.02.01,ghee,Animal Products,"Butter, Ghee and products",l,regional-SSA-fct,NA,NA,880,NA,NA,0,99.9,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,"Butter, Ghee",22241.02.01,ghee,Animal Products,"Butter, Ghee and products",m,regional-SSA-fct,NA,NA,876,NA,NA,0.3,99.5,NA,NA,NA,NA,0,0,NA,8,0.1,1,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,"Butter, Ghee",22241.02.01,ghee,Animal Products,"Butter, Ghee and products",m,regional-SSA-fct,NA,NA,882.648183,NA,NA,0,99.8,NA,NA,NA,NA,0,0,NA,0,0.2,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Butter, Ghee",22241.02.01,ghee,Animal Products,"Butter, Ghee and products",l,regional-SSA-fct,NA,NA,880,NA,NA,0,99.9,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Cassava,01520.01.01,"cassava root, raw",Roots and Tubers,Cassava and products,h,regional-SSA-fct,NA,NA,157,NA,NA,1.1,0.3,NA,NA,NA,NA,36.5,1.8,NA,46,1.7,21,NA,NA,NA,0.2,0.05,NA,0.88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
NA,E,Cassava,01520.01.01,"cassava root, raw",Roots and Tubers,Cassava and products,h,regional-SSA-fct,NA,NA,160,NA,NA,1.4,0.3,NA,NA,NA,NA,38.1,1.8,NA,16,0.3,21,NA,NA,NA,0.3,0.1,NA,0.88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
NA,S,Cassava,01520.01.01,"cassava root, raw",Roots and Tubers,Cassava and products,h,regional-SSA-fct,NA,NA,160,NA,NA,1.4,0.3,NA,NA,NA,NA,38.1,1.8,NA,16,0.3,21,NA,NA,NA,0.3,0.1,NA,0.88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
NA,W,Cassava,01520.01.01,"cassava root, raw",Roots and Tubers,Cassava and products,h,regional-SSA-fct,NA,NA,157,NA,NA,1.1,0.3,NA,NA,NA,NA,36.5,1.8,NA,46,1.7,21,NA,NA,NA,0.2,0.05,NA,0.88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
NA,M,Cephalopods,1570.01,"squids, raw",Animal Products,Cephalopods,m,regional-SSA-fct,NA,NA,92,NA,NA,16,1,NA,NA,NA,NA,3,0,NA,32,0.68,33,NA,NA,NA,1.53,1.9,NA,20,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Cephalopods,1570.01,"squids, raw",Animal Products,Cephalopods,m,regional-SSA-fct,NA,NA,92,NA,NA,16,1,NA,NA,NA,NA,3,0,NA,32,0.68,33,NA,NA,NA,1.53,1.9,NA,20,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Cephalopods,1570.01,"squids, raw",Animal Products,Cephalopods,m,regional-SSA-fct,NA,NA,92,NA,NA,16,1,NA,NA,NA,NA,3,0,NA,32,0.68,33,NA,NA,NA,1.53,1.9,NA,20,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Cephalopods,1570.01,"squids, raw",Animal Products,Cephalopods,m,regional-SSA-fct,NA,NA,92,NA,NA,16,1,NA,NA,NA,NA,3,0,NA,32,0.68,33,NA,NA,NA,1.53,1.9,NA,20,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Cereals, Other",1193.03,"fonio grain, white, unrefined, raw",Cereals,"Cereals, Other and products",m,regional-SSA-fct,NA,NA,339,NA,NA,7,3.1,NA,NA,NA,NA,67.1,7.4,NA,40,9.4,430,NA,NA,NA,1.5,0.44,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
NA,E,"Cereals, Other",1193.03,"fonio grain, white, unrefined, raw",Cereals,"Cereals, Other and products",l,regional-SSA-fct,NA,NA,339,NA,NA,13.7,1.9,NA,NA,NA,NA,60.4,12.2,NA,15,1.2,22,NA,NA,NA,0.7,0.1,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
NA,S,"Cereals, Other",1193.03,"fonio grain, white, unrefined, raw",Cereals,"Cereals, Other and products",l,regional-SSA-fct,NA,NA,351.099426,NA,NA,11.9,1.8,NA,NA,NA,NA,59.9,10.7,NA,8,2.4,68,NA,NA,NA,1.92,0.27,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
NA,W,"Cereals, Other",1193.03,"fonio grain, white, unrefined, raw",Cereals,"Cereals, Other and products",m,regional-SSA-fct,NA,NA,339,NA,NA,7,3.1,NA,NA,NA,NA,67.1,7.4,NA,40,9.4,430,NA,NA,NA,1.5,0.44,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
NA,M,"Citrus, Other",1323.01,"oranges, raw",Fruits and Vegetables,"Oranges, Mandarines and products",l,regional-SSA-fct,NA,NA,45,NA,NA,0.8,0.3,NA,NA,NA,NA,8.9,1.7,NA,32,0.1,11,NA,NA,NA,0.1,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
