original_food_id,region,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg
NA,W,Cocoa Beans,F0665.01,cocoa powder,Other foods,Cocoa Beans and products,m,regional-SSA-fct,NA,NA,363.049713,NA,NA,18.5,21.7,NA,NA,NA,NA,11.5,12.1,NA,130,10.5,520,NA,NA,NA,6.9,3.9,NA,0,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Coconut Oil,2166.01,coconut oil,Other foods,Coconut Oil and products,h,regional-SSA-fct,NA,NA,900,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,1.5,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Coconut Oil,2166.01,coconut oil,Other foods,Coconut Oil and products,h,regional-SSA-fct,NA,NA,862,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Coconut Oil,2166.01,coconut oil,Other foods,Coconut Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,2,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Coconut Oil,2166.01,coconut oil,Other foods,Coconut Oil and products,h,regional-SSA-fct,NA,NA,900,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,1.5,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Coconuts - Incl Copra,1460.01,coconuts,Other foods,Coconuts (including copra) and products,h,regional-SSA-fct,NA,NA,377,NA,NA,4.6,36.3,NA,NA,NA,NA,3.6,9,NA,14,2.3,39,NA,NA,NA,0.8,0.32,NA,1,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324
NA,E,Coconuts - Incl Copra,1460.01,coconuts,Other foods,Coconuts (including copra) and products,h,regional-SSA-fct,NA,NA,354,NA,NA,3.3,33.5,NA,NA,NA,NA,6.2,9,NA,14,2.4,32,NA,NA,NA,1.1,0.4,NA,1,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324
NA,S,Coconuts - Incl Copra,1460.01,coconuts,Other foods,Coconuts (including copra) and products,h,regional-SSA-fct,NA,NA,400.812619,NA,NA,3.4,38.9,NA,NA,NA,NA,2.3,8.3,NA,11,0.8,47,NA,NA,NA,0.45,0.43,NA,1,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324
NA,W,Coconuts - Incl Copra,1460.01,coconuts,Other foods,Coconuts (including copra) and products,h,regional-SSA-fct,NA,NA,377,NA,NA,4.6,36.3,NA,NA,NA,NA,3.6,9,NA,14,2.3,39,NA,NA,NA,0.8,0.32,NA,1,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324
NA,M,Coffee,23912.02.01,"coffee, instant powder",Other foods,Coffee and products,h,regional-SSA-fct,NA,NA,2.151051,NA,NA,0.1,0,NA,NA,NA,NA,0.4,0,NA,2,0.1,5,NA,NA,NA,0.02,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Coffee,23912.02.01,"coffee, instant powder",Other foods,Coffee and products,h,regional-SSA-fct,NA,NA,2.151051,NA,NA,0.1,0,NA,NA,NA,NA,0.4,0,NA,2,0.1,5,NA,NA,NA,0.02,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Coffee,23912.02.01,"coffee, instant powder",Other foods,Coffee and products,h,regional-SSA-fct,NA,NA,2.151051,NA,NA,0.1,0,NA,NA,NA,NA,0.4,0,NA,2,0.1,5,NA,NA,NA,0.02,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Coffee,23912.02.01,"coffee, instant powder",Other foods,Coffee and products,h,regional-SSA-fct,NA,NA,2.151051,NA,NA,0.1,0,NA,NA,NA,NA,0.4,0,NA,2,0.1,5,NA,NA,NA,0.02,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Cottonseed Oil,2168.01,cotton seed oil,Other foods,Cottonseed Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Cottonseed Oil,2168.01,cotton seed oil,Other foods,Cottonseed Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Cottonseed Oil,2168.01,cotton seed oil,Other foods,Cottonseed Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Cottonseed Oil,2168.01,cotton seed oil,Other foods,Cottonseed Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Cream,22120.01,cream,Animal Products,Cream and products,h,regional-SSA-fct,NA,NA,245.458891,NA,NA,2.5,25,NA,NA,NA,NA,3.5,0,NA,90,0,8,NA,NA,NA,0.26,0.01,NA,35,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Cream,22120.01,cream,Animal Products,Cream and products,h,regional-SSA-fct,NA,NA,245.458891,NA,NA,2.5,25,NA,NA,NA,NA,3.5,0,NA,90,0,8,NA,NA,NA,0.26,0.01,NA,35,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Cream,22120.01,cream,Animal Products,Cream and products,h,regional-SSA-fct,NA,NA,245.458891,NA,NA,2.5,25,NA,NA,NA,NA,3.5,0,NA,90,0,8,NA,NA,NA,0.26,0.01,NA,35,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Cream,22120.01,cream,Animal Products,Cream and products,h,regional-SSA-fct,NA,NA,245.458891,NA,NA,2.5,25,NA,NA,NA,NA,3.5,0,NA,90,0,8,NA,NA,NA,0.26,0.01,NA,35,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Crustaceans,1553.01,"crab, fresh, raw",Animal Products,Crustaceans,l,regional-SSA-fct,NA,NA,81,NA,NA,18,1.5,NA,NA,NA,NA,0,0,NA,150,10,112,NA,NA,NA,1.6,0.65,NA,100,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Crustaceans,1553.01,"crab, fresh, raw",Animal Products,Crustaceans,m,regional-SSA-fct,NA,NA,97.992351,NA,NA,20.2,1.8,NA,NA,NA,NA,0,0,NA,3292,2.5,259,NA,NA,NA,2.8,0.65,NA,100,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Crustaceans,1553.01,"crab, fresh, raw",Animal Products,Crustaceans,m,regional-SSA-fct,NA,NA,97.992351,NA,NA,20.2,1.8,NA,NA,NA,NA,0,0,NA,104,0.9,33,NA,NA,NA,4.22,0.65,NA,100,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Crustaceans,1553.01,"crab, fresh, raw",Animal Products,Crustaceans,l,regional-SSA-fct,NA,NA,81,NA,NA,18,1.5,NA,NA,NA,NA,0,0,NA,150,10,112,NA,NA,NA,1.6,0.65,NA,100,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Dates,1314.01,dates,Fruits and Vegetables,Dates and products,h,regional-SSA-fct,NA,NA,134,NA,NA,6.4,2.4,NA,NA,NA,NA,51,2.7,NA,24,0.3,24,NA,NA,NA,0.2,0.12,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Dates,1314.01,dates,Fruits and Vegetables,Dates and products,h,regional-SSA-fct,NA,NA,145.076481,NA,NA,1.5,0.1,NA,NA,NA,NA,31.3,2.7,NA,24,0.3,24,NA,NA,NA,0.2,0.12,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Dates,1314.01,dates,Fruits and Vegetables,Dates and products,h,regional-SSA-fct,NA,NA,145.076481,NA,NA,1.5,0.1,NA,NA,NA,NA,31.3,2.7,NA,24,0.3,24,NA,NA,NA,0.2,0.12,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Dates,1314.01,dates,Fruits and Vegetables,Dates and products,h,regional-SSA-fct,NA,NA,134,NA,NA,6.4,2.4,NA,NA,NA,NA,51,2.7,NA,24,0.3,24,NA,NA,NA,0.2,0.12,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Demersal Fish,1514.01,"groupers, white, fresh, raw",Animal Products,Demersal Fish,m,regional-SSA-fct,NA,NA,87,NA,NA,19.4,1.1,NA,NA,NA,NA,0,0,NA,33,1.3,35,NA,NA,NA,1.3,0.05,NA,140,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Demersal Fish,1518.01,"haddock, smoked, raw",Animal Products,Demersal Fish,l,regional-SSA-fct,NA,NA,98,NA,NA,18.1,2.4,NA,NA,NA,NA,0,0,NA,7,0.3,21,NA,NA,NA,0.3,0,NA,140,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Demersal Fish,1518.01,"haddock, smoked, raw",Animal Products,Demersal Fish,m,regional-SSA-fct,NA,NA,111.137667,NA,NA,25.2,1,NA,NA,NA,NA,0,0,NA,49,1.4,54,NA,NA,NA,0.5,0.04,NA,140,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Demersal Fish,1514.01,"groupers, white, fresh, raw",Animal Products,Demersal Fish,m,regional-SSA-fct,NA,NA,87,NA,NA,19.4,1.1,NA,NA,NA,NA,0,0,NA,33,1.3,35,NA,NA,NA,1.3,0.05,NA,140,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Eggs,231.01,"egg, chicken, raw",Animal Products,Eggs and products,h,regional-SSA-fct,NA,NA,139,NA,NA,12.1,10.1,NA,NA,NA,NA,0,0,NA,45,2.4,11,NA,NA,NA,1.3,0.08,NA,53,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Eggs,231.01,"egg, chicken, raw",Animal Products,Eggs and products,h,regional-SSA-fct,NA,NA,155,NA,NA,12.6,10.6,NA,NA,NA,NA,1.1,0,NA,50,1.2,10,NA,NA,NA,1.1,0,NA,53,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Eggs,231.01,"egg, chicken, raw",Animal Products,Eggs and products,h,regional-SSA-fct,NA,NA,147.227533,NA,NA,12.6,10.3,NA,NA,NA,NA,1.2,0,NA,39,1.8,9,NA,NA,NA,1.15,0.12,NA,53,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Eggs,231.01,"egg, chicken, raw",Animal Products,Eggs and products,h,regional-SSA-fct,NA,NA,139,NA,NA,12.1,10.1,NA,NA,NA,NA,0,0,NA,45,2.4,11,NA,NA,NA,1.3,0.08,NA,53,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Fats, Animals, Raw",21521.01,pork lard,Animal Products,"Fats, Animals, Raw and products",m,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.11,0,NA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,"Fats, Animals, Raw",21521.01,pork lard,Animal Products,"Fats, Animals, Raw and products",m,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.11,0,NA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,"Fats, Animals, Raw",21521.01,pork lard,Animal Products,"Fats, Animals, Raw and products",m,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.11,0,NA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Fats, Animals, Raw",21521.01,pork lard,Animal Products,"Fats, Animals, Raw and products",m,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.11,0,NA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Fish, Body Oil",1523.01,"cod, liver oil",Animal Products,"Fish, Liver Oil",l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,"Fish, Body Oil",1523.01,"cod, liver oil",Animal Products,"Fish, Liver Oil",l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,"Fish, Body Oil",1523.01,"cod, liver oil",Animal Products,"Fish, Liver Oil",l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Fish, Body Oil",1523.01,"cod, liver oil",Animal Products,"Fish, Liver Oil",l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Fish, Liver Oil",1523.01,"cod, liver oil",Animal Products,"Fish, Liver Oil",m,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,"Fish, Liver Oil",1523.01,"cod, liver oil",Animal Products,"Fish, Liver Oil",m,regional-SSA-fct,NA,NA,884,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,"Fish, Liver Oil",1523.01,"cod, liver oil",Animal Products,"Fish, Liver Oil",m,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,"Fish, Liver Oil",1523.01,"cod, liver oil",Animal Products,"Fish, Liver Oil",m,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Freshwater Fish,1501.02,"catfish, african, fresh, raw",Animal Products,Freshwater Fish,m,regional-SSA-fct,NA,NA,176,NA,NA,15.3,12.8,NA,NA,NA,NA,0,0,NA,2814,1.7,18,NA,NA,NA,5.8,0.32,NA,11,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Freshwater Fish,1501.01,"trout, rainbow, fresh, raw",Animal Products,Freshwater Fish,l,regional-SSA-fct,NA,NA,98,NA,NA,18.1,2.4,NA,NA,NA,NA,0,0,NA,2360,0.3,175,NA,NA,NA,0.3,0,NA,11,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Freshwater Fish,1501.01,"trout, rainbow, fresh, raw",Animal Products,Freshwater Fish,m,regional-SSA-fct,NA,NA,144.837476,NA,NA,26.3,4.3,NA,NA,NA,NA,0,0,NA,86,2.4,39,NA,NA,NA,1.39,0.14,NA,11,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Freshwater Fish,1501.02,"catfish, african, fresh, raw",Animal Products,Freshwater Fish,m,regional-SSA-fct,NA,NA,176,NA,NA,15.3,12.8,NA,NA,NA,NA,0,0,NA,2814,1.7,18,NA,NA,NA,5.8,0.32,NA,11,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Fruits, Other",1316.01,"mangoes, raw",Fruits and Vegetables,"Fruits, Other and products",m,regional-SSA-fct,NA,NA,62,NA,NA,0.6,0.2,NA,NA,NA,NA,13.3,2,NA,17,1,12,NA,NA,NA,0.6,0.04,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
NA,E,"Fruits, Other",1316.01,"mangoes, raw",Fruits and Vegetables,"Fruits, Other and products",m,regional-SSA-fct,NA,NA,65,NA,NA,0.5,0.3,NA,NA,NA,NA,15.2,1.8,NA,10,0.1,9,NA,NA,NA,0,0.1,NA,2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
NA,S,"Fruits, Other",1316.01,"mangoes, raw",Fruits and Vegetables,"Fruits, Other and products",m,regional-SSA-fct,NA,NA,72.418738,NA,NA,0.6,0.2,NA,NA,NA,NA,15.3,1.5,NA,9,0.2,10,NA,NA,NA,0.07,0.07,NA,2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
NA,W,"Fruits, Other",1316.01,"mangoes, raw",Fruits and Vegetables,"Fruits, Other and products",m,regional-SSA-fct,NA,NA,62,NA,NA,0.6,0.2,NA,NA,NA,NA,13.3,2,NA,17,1,12,NA,NA,NA,0.6,0.04,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
NA,M,Grapefruit,1321.02,"grapefruits, raw",Fruits and Vegetables,Grapefruit and products,h,regional-SSA-fct,NA,NA,37,NA,NA,0.8,0.1,NA,NA,NA,NA,8,1.9,NA,21,0.6,9,NA,NA,NA,0,0.04,NA,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Grapefruit,1321.02,"grapefruits, raw",Fruits and Vegetables,Grapefruit and products,h,regional-SSA-fct,NA,NA,33,NA,NA,0.7,0.1,NA,NA,NA,NA,7.3,1.1,NA,12,0.06,9,NA,NA,NA,0.07,0.05,NA,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Grapefruit,1321.02,"grapefruits, raw",Fruits and Vegetables,Grapefruit and products,h,regional-SSA-fct,NA,NA,39.435946,NA,NA,0.7,0.1,NA,NA,NA,NA,6.9,1.9,NA,10,0.1,8,NA,NA,NA,0.04,0.04,NA,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Grapefruit,1321.02,"grapefruits, raw",Fruits and Vegetables,Grapefruit and products,h,regional-SSA-fct,NA,NA,37,NA,NA,0.8,0.1,NA,NA,NA,NA,8,1.9,NA,21,0.6,9,NA,NA,NA,0,0.04,NA,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Grapes,1330.01,"grapes, raw",Fruits and Vegetables,Grapes and products (excludingexcl wine) and products,h,regional-SSA-fct,NA,NA,69,NA,NA,0.4,0.1,NA,NA,NA,NA,16.5,2,NA,13,0.3,7,NA,NA,NA,0.1,0.08,NA,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
NA,E,Grapes,1330.01,"grapes, raw",Fruits and Vegetables,Grapes and products (excludingexcl wine) and products,h,regional-SSA-fct,NA,NA,55,NA,NA,0.2,0.4,NA,NA,NA,NA,11.7,2.5,NA,7,0.2,5,NA,NA,NA,0,0,NA,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
NA,S,Grapes,1330.01,"grapes, raw",Fruits and Vegetables,Grapes and products (excludingexcl wine) and products,h,regional-SSA-fct,NA,NA,71.70172,NA,NA,0.7,0.1,NA,NA,NA,NA,14.7,2,NA,6,0.3,7,NA,NA,NA,0.06,0.08,NA,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
NA,W,Grapes,1330.01,"grapes, raw",Fruits and Vegetables,Grapes and products (excludingexcl wine) and products,h,regional-SSA-fct,NA,NA,69,NA,NA,0.4,0.1,NA,NA,NA,NA,16.5,2,NA,13,0.3,7,NA,NA,NA,0.1,0.08,NA,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
NA,M,Groundnut Oil,2162.01,peanut oil,Pulses and Beans,Groundnut Oil and products,h,regional-SSA-fct,NA,NA,903,NA,NA,0,99.9,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Groundnut Oil,2162.01,peanut oil,Pulses and Beans,Groundnut Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.01,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Groundnut Oil,2162.01,peanut oil,Pulses and Beans,Groundnut Oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.01,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Groundnut Oil,2162.01,peanut oil,Pulses and Beans,Groundnut Oil and products,h,regional-SSA-fct,NA,NA,903,NA,NA,0,99.9,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Groundnuts (Shelled Eq),142.01,"peanut, unshelled",Pulses and Beans,Groundnuts (Shelled Eq) and products,h,regional-SSA-fct,NA,NA,578,NA,NA,24.1,45,NA,NA,NA,NA,18.5,6.2,NA,53,4.3,185,NA,NA,NA,1.9,0.42,NA,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590
NA,E,Groundnuts (Shelled Eq),142.01,"peanut, unshelled",Pulses and Beans,Groundnuts (Shelled Eq) and products,h,regional-SSA-fct,NA,NA,567,NA,NA,25.8,49.2,NA,NA,NA,NA,7.6,8.5,NA,92,4.6,168,NA,NA,NA,3.3,1.1,NA,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1760
NA,S,Groundnuts (Shelled Eq),142.01,"peanut, unshelled",Pulses and Beans,Groundnuts (Shelled Eq) and products,h,regional-SSA-fct,NA,NA,605.401529,NA,NA,25.8,49.2,NA,NA,NA,NA,7.6,8.5,NA,92,4.6,168,NA,NA,NA,3.27,1.14,NA,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1760
NA,W,Groundnuts (Shelled Eq),142.01,"peanut, unshelled",Pulses and Beans,Groundnuts (Shelled Eq) and products,h,regional-SSA-fct,NA,NA,578,NA,NA,24.1,45,NA,NA,NA,NA,18.5,6.2,NA,53,4.3,185,NA,NA,NA,1.9,0.42,NA,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590
NA,M,Honey,2910.01,honey,Other foods,Honey and products,h,regional-SSA-fct,NA,NA,322,NA,NA,0.3,0,NA,NA,NA,NA,80.2,0,NA,11,0.6,10,NA,NA,NA,2,0.05,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Honey,2910.01,honey,Other foods,Honey and products,h,regional-SSA-fct,NA,NA,304,NA,NA,0.3,0,NA,NA,NA,NA,82.4,0,NA,6,0.4,2,NA,NA,NA,0.2,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Honey,2910.01,honey,Other foods,Honey and products,h,regional-SSA-fct,NA,NA,335.564053,NA,NA,0.3,0,NA,NA,NA,NA,82.3,0,NA,5,0.5,2,NA,NA,NA,0.2,0.05,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Honey,2910.01,honey,Other foods,Honey and products,h,regional-SSA-fct,NA,NA,322,NA,NA,0.3,0,NA,NA,NA,NA,80.2,0,NA,11,0.6,10,NA,NA,NA,2,0.05,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,"Lemons, Limes",1322.01,"lemons, raw",Fruits and Vegetables,"Lemons, Limes and products",m,regional-SSA-fct,NA,NA,36,NA,NA,0.7,0.5,NA,NA,NA,NA,6.3,2.1,NA,22,0.6,16,NA,NA,NA,0.1,0.04,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
NA,E,"Lemons, Limes",1322.01,"lemons, raw",Fruits and Vegetables,"Lemons, Limes and products",m,regional-SSA-fct,NA,NA,29,NA,NA,1.1,0.3,NA,NA,NA,NA,6.5,2.8,NA,26,0.6,8,NA,NA,NA,0.1,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
