"ihs5_foodid","ihs5_fooditem","ref_source","ref_fctcode","ref_fctitem","ref.x","ref.x.x","ref","ref_fct","ref_code","ref_item","fooditem","WATER","ENERC1","VITA_RAE","VITA_fct","VITA_code","THIA","RIBF","NIA","VITB6","VITB6_fct","VITB6_code","FOL","FOL_fct","FOL_code","VITB12","VITC","VITE","VITE_fct","VITE_code","CA","CU","CU_fct","CU_code","FE","ID","K","K_fct","K_code","MG","MG_fct","MG_code","na","SE","SE_fct","SE_code","ZN","ID_cal","FoodName_3","ID_0","FoodName_0","ID_1","FoodName_1","ID_2","FoodName_2","food_genus_id"
"701","Fresh milk","MAFOODS","MW03_0059","milk, cow, whole, fresh, (mkaka wa ng'ombe wa madzi)","20",NA,NA,NA,NA,NA,"milk, cow, whole, fresh, (mkaka wa ng'ombe wa madzi)","87.86","66.5084","44","","","0.02","0.16","0.1","0.04","","","5","","","0.4","1","0.07","","","120",NA,NA,NA,"0.1",NA,"135.612",NA,NA,"12",NA,NA,"64.56","2.658394161","KENFCT","6022","0.38","0.0278","milk, cow, whole, raw","AP","Animal Products","2848","milk - (excluding excluding butter butter) and products","2211","raw milk of cattle","2211.01"
"505","Goat","MAFOODS","MW03_0052","goat, meat, raw, (nyama ya mbuzi)","WA",NA,NA,NA,NA,NA,"goat, meat, raw, (nyama ya mbuzi)","68","165.4","0","","","0.18","0.29","6.1","0.4","","","5","","","1.1","0","0.18","","","11","0.16",NA,NA,"2.4",NA,"385",NA,NA,"27",NA,NA,"82","27.71653543","KENFCT","7014","3.45","0.0248","goat meat, fresh, raw","AP","Animal Products","2732","mutton & and goat meat and products","21116","meat of goat, fresh or chilled","21116.01"
"105","Green maize","MAFOODS","MW01_0040","maize, green, boiled, (dowe)","9",NA,NA,NA,NA,NA,"maize, green, boiled, (dowe)","68","133.061","0","","","0.08","0.028","0.563","0.047","","","6.569","","","0","0","0.469","","","6.569","0.1",NA,NA,"1.126",NA,"141",NA,NA,"49",NA,NA,"3","3.80952381","KENFCT","1051","0.8","5e-04","maize, green, raw","FV","Fruits and Vegetables","2605","vegetables, other and products","1290.01","green corn (maize) ","1290.01.01"
"307","Ground bean (nzama)","WAFCT","03_057","ground bean, dry, raw","AU14:IN17:UP1(average of all beans), MA1018, NG1051, NG1058",NA,NA,NA,NA,NA,"ground bean, dry, raw","9.3","322","1","","","0.77","0.19","2.3","0.34","","","480","","","0","2","0.44","","","60","0.52",NA,NA,"10",NA,"264",NA,NA,"186",NA,NA,"9","1.86","AHHA","8007","1.12","5e-04","bambara bean, dried, raw","PB","Pulses and Beans","2549","pulses, other and products","1708","bambara beans, dry","1708.01"
"311","Groundnut (shelled)","MAFOODS","MW02_0014","groundnut, dry, arachis hypogae, (mtedza wouma)","10",NA,NA,NA,NA,NA,"groundnut, dry, arachis hypogae, (mtedza wouma)","6.5","597.3228","0","","","0.868","0.139","15.467","0.589","","","109.765","","","0","0","10.877","","","43.384","0.92752",NA,NA,"1.93545",NA,"725.448",NA,NA,"199.155",NA,NA,"5.987","3.0481","","","2.4684","6e-04","peanut, shelled","PB","Pulses and Beans","2556","groundnuts (shelled eq) and products","21421","groundnuts, shelled","21421.01"
"312","Groundnut (unshelled)","MAFOODS","MW02_0014","groundnut, dry, arachis hypogae, (mtedza wouma)","10",NA,NA,NA,NA,NA,"groundnut, dry, arachis hypogae, (mtedza wouma)","6.5","597.3228","0","","","0.868","0.139","15.467","0.589","","","109.765","","","0","0","10.877","","","43.384","0.92752",NA,NA,"1.93545",NA,"725.448",NA,NA,"199.155",NA,NA,"5.987","3.0481","","","2.4684","6e-04","peanut, unshelled","PB","Pulses and Beans","2556","groundnuts (shelled eq) and products","142","groundnuts, excluding shelled","142.01"
"305","Groundnut flour","MAFOODS","MW02_0010","flour, groundnut, arachis hypogaea, (nsinjilo)","9",NA,NA,NA,NA,NA,"flour, groundnut, arachis hypogaea, (nsinjilo)","8","582.566","0","","","0.856","0.135","9.517","0.577","","","107.67","","","0","0","10.604","","","83","0.8",NA,NA,"3.845",NA,"892",NA,NA,"187",NA,NA,"18","3.0481","AHHA","R8001","2.8","6e-04","peanut, flour, raw","PB","Pulses and Beans","2556","groundnuts (shelled eq) and products","142","groundnuts, excluding shelled","142.02"
"313","Groundnut fresh (unshelled)","MAFOODS","MW02_0015","groundnut, dry, boiled, arachis hypogae,(mtedza wouma wophika)","9",NA,NA,NA,NA,NA,"groundnut, dry, boiled, arachis hypogae,(mtedza wouma wophika)","49","323.907","0","","","0.474","0.076","8.437","0.321","","","59.872","","","0","0","5.933","","","41","0.4",NA,NA,"2.123",NA,"510",NA,NA,"123",NA,NA,"15","6.503719447","KENFCT","10009","1.4","6e-04","peanuts, fresh, unshelled, raw","PB","Pulses and Beans","2556","groundnuts (shelled eq) and products","142","groundnuts, excluding shelled","142.03"
"606","Guava","MAFOODS","MW05_0008","guavas, psidium guajava, (gwafa)","9",NA,NA,NA,NA,NA,"guavas, psidium guajava, (gwafa)","83","70.951","4.913","","","0.049","0.02","1.179","0.79","","","18.671","","","0","340.983","0.717","","","7","0.1",NA,NA,"0.393",NA,"282",NA,NA,"18",NA,NA,"7","0","KENFCT","5011","0.2","8e-04","guavas, raw","FV","Fruits and Vegetables","2625","fruits, other and products","1316","mangoes, guavas, mangosteens","1316.02"
"817","Honey","KENFCT","11001","honey, raw",NA,"1E, 3B(Honey / Miel), US28(19296)",NA,NA,NA,NA,"honey, raw","19.2","322","0","","","0","0","0","0.019755501","WAFCT","13_001","1.975550122","","","0","0","0","","","11","0.048792271",NA,NA,"0.6",NA,"74",NA,NA,"3",NA,NA,"17","0.780676329","AHHA","18004","3","0","honey","OT","Other foods","2745","honey and products","2910","natural honey","2910.01"
"814","Hot sauce (Nali, etc.)","KENFCT","13031","tomato, sauce (ketchup)",NA,"DK2(596), UK7(13-530), US28(11531)",NA,NA,NA,NA,"tomato, sauce (ketchup)","67.5","115","22","","","0","0.1","1.3","0.627192982","WAFCT","04_065","96.92982456","","","0","0","5.473684211","","","13","0.456140351",NA,NA,"0.7",NA,"316",NA,NA,"16",NA,NA,"918","0.5","","","0.18","0","tabasco, sauce","OT","Other foods","2645","spices, other and products","1699","other stimulant, spice and aromatic crops, n.e.c. ","1699.06"
"708","Infant feeding formula (for bottle)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"0","infant formula, milk-based, casein, powder","OT","Other foods","2680","infant food and products","23991.01","infant food","23991.01.02"
"205","Irish potato","MAFOODS","MW01_0050","potato, local variety, raw, (mbatata ya kachewere)","30",NA,NA,NA,NA,NA,"potato, local variety, raw, (mbatata ya kachewere)","77.8","67.5265","0","KENFCT","2009","0.1576","0.009","1.379","0.21079","","","2.955","","","0","13.89","0.0591","","","5.8","0.1182",NA,NA,"0.689",NA,"327.02",NA,NA,"13.79",NA,NA,"1.95","0.795698925","","","0.2856","0.0011","potatoes, raw","RT","Roots and Tubers","2531","potatoes and products","1510","potatoes","1510.01"
"815","Jam, jelly","WAFCT","13_023","jam or marmalade","AU14(12B10087; 12B10075), SA10(3985), UK7(17-073; 17-688; 17-078), US28(19303; 19297)",NA,NA,NA,NA,NA,"jam or marmalade","29.1","281","2","","","0","0","0","0.03","","","2","","","0","7","0.05","","","24","0.16",NA,NA,"1",NA,"85",NA,NA,"6",NA,NA,"15","0","UKFCT","17-073","0.2","0","jam, mixed fruit","FV","Fruits and Vegetables","2625","fruits, other and products","F0623","fruit prepared n.e.c.","F0623.01"
"815","Jam, jelly","WAFCT","13_023","jam or marmalade","AU14(12B10087; 12B10075), SA10(3985), UK7(17-073; 17-688; 17-078), US28(19303; 19297)",NA,NA,NA,NA,NA,"jam or marmalade","29.1","281","2","","","0","0","0","0.03","","","2","","","0","7","0.05","","","24","0.16",NA,NA,"1",NA,"85",NA,NA,"6",NA,NA,"15","0","UKFCT","17-073","0.2","0","jelly, fruits","FV","Fruits and Vegetables","2625","fruits, other and products","F0623","fruit prepared n.e.c.","F0623.02"
"915","Locally brewed liquor (kachasu)","AHHA","22007","wine, red",NA,NA,"FAO(1562), SA10(4039), US28(14003), 12_004",NA,NA,NA,"kachaso, local beer","66.6","231","0","","","0.01","0","0","0.001","","","0","","","0","0","0","WAFCT","12_002","0","0.02",NA,NA,"0",NA,"2",NA,NA,"0",NA,NA,"1","0","","","0.04","0","gin","OT","Other foods","2658","beverages, alcoholic and products","2413","undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages","2413.01"
"309","Macademia nuts","KENFCT","10010","nut, macadamia, raw, unsalted",NA,NA,NA,NA,NA,NA,"nut, macadamia, raw, unsalted","7.7","696","0","","","0.27","0.1","2","0.28","UKFCT","14-891","0","UKFCT","14-891","0","4.6","1.49","UKFCT","14-891","44",NA,NA,NA,"2.2",NA,"308",NA,NA,"100",NA,NA,"5","10","","","1.3","0.0011","macadamias","OT","Other foods","2551","nuts and products","1379.9","other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","1379.9.01"
"910","Maheu","WAFCT","12_002","beer, maize (ca. 3% v/v alcohol)","FAO(1562), SA10(4039), US28(14003), 12_004",NA,NA,NA,NA,NA,"beer, maize (ca. 3% v/v alcohol)","93.2","33","0","","","0.01","0.03","0.3","0.05","","","6","","","0","0","0","","","4","0.01",NA,NA,"0.2",NA,"80",NA,NA,"14",NA,NA,"3","0","AHHA","22007","0.07","5e-04","maize-fermented beverage","CE","Cereals","2657","beverages, fermented and products","24230.03","cider and other fermented beverages","24230.03.02"
"820","Maize - boiled or roasted (vendor)","MAFOODS","MW01_0040","maize, green, boiled, (dowe)","9",NA,NA,NA,NA,NA,"maize, green, boiled, (dowe)","68","133.061","0","","","0.08","0.028","0.563","0.047","","","6.569","","","0","0","0.469","","","6.569","0.1",NA,NA,"1.126",NA,"141",NA,NA,"49",NA,NA,"3","3.80952381","KENFCT","1051","0.8","5e-04","maize, green, roasted","FV","Fruits and Vegetables","2605","vegetables, other and products","1290.01","green corn (maize) ","1290.01.02"
"820","Maize - boiled or roasted (vendor)","MAFOODS","MW01_0040","maize, green, boiled, (dowe)","9",NA,NA,NA,NA,NA,"maize, green, boiled, (dowe)","68","133.061","0","","","0.08","0.028","0.563","0.047","","","6.569","","","0","0","0.469","","","6.569","0.1",NA,NA,"1.126",NA,"141",NA,NA,"49",NA,NA,"3","3.80952381","KENFCT","1051","0.8","5e-04","maize, green, boiled","FV","Fruits and Vegetables","2605","vegetables, other and products","1290.01","green corn (maize) ","1290.01.03"
"104","Maize grain (not as ufa)","MAFOODS","MW01_0037","","10",NA,NA,NA,NA,NA,"maize, grain, white, raw, (chimanga)","10.91","370.139","0","KENFCT","1018","0.352","0.101","2.112","0.201","","","26.144","","","0","0","1.307","","","3.04722","0.183546",NA,NA,"1.41669",NA,"311.712",NA,NA,"81.972",NA,NA,"11.061","1.61271","","","1.57707","5e-04","maize, grain, white, dried, raw","CE","Cereals","2514","maize and products (including white maize)","112","maize (corn)","112.01"
"101","Maize ufa mgaiwa (normal flour)","MAFOODS","MW01_0019","flour, maize, white, whole, unfortified, raw, (mgaiwa)","6",NA,NA,NA,NA,NA,"flour, maize, white, whole, unfortified, raw, (mgaiwa)","12.3","374.3","0","","","0.495","0.119","1.387","0.367","","","24.774","","","0","0","1.288","","","17.837","0.228",NA,NA,"3.766",NA,"312.153",NA,NA,"92.159",NA,NA,"10.901","9.135416667","KENFCT","1022","1.714","5e-04","maize, flour, white, unrefined, non-fermented, raw","CE","Cereals","2514","maize and products (including white maize)","23120.03","flour of maize","23120.03.01"
"102","Maize ufa refined (fine flour)","MAFOODS","MW01_0018","flour, maize, white, degermed-dehulled, unfortified, raw, (ufa wa galamilu)","4",NA,NA,NA,NA,NA,"flour, maize, white, degermed-dehulled, unfortified, raw, (ufa wa galamilu)","12.19","367.02","0","","","0.127","0.039","0.781","0.078","","","9.757","","","0","0","0.41","","","3.903","0.107",NA,NA,"0.976",NA,"139.52",NA,NA,"31.221",NA,NA,"1.951","7.0248","AHHA","1003","0.498","5e-04","maize, flour, white, refined, non-fermented, raw","CE","Cereals","2514","maize and products (including white maize)","23120.03","flour of maize","23120.03.02"
"827","Mandazi, doughnut (vendor)","MAFOODS","MW01_0014","doughnuts (mandasi)","R05",NA,NA,NA,NA,NA,"doughnuts (mandasi)","48.9780658","211.1041874","23.96144899","","","0.116259555","0.137879694","0.372107012","0.047185111","","","11.43652376","","","0.267115321","0.353107345","0.053406447","","","58.32502493","0.014212238",NA,NA,"2.002858092",NA,"128.356876",NA,NA,"14.59102692",NA,NA,"38.09332004","0","AHHA","7002","0.253406447","5e-04","dough, sweet, fried","CE","Cereals","2511","wheat and products","F0022","pastry","F0022.04"
"601","Mango","MAFOODS","MW05_0016","mango,ripe, (mango)","10",NA,NA,NA,NA,NA,"mango,ripe, (mango)","83.46","65.621","122.92","","","0.054","0.03","0.027","0.063","","","34.153","","","0","28.019","1.012","","","15.0315","0.13299",NA,NA,"0.2937",NA,"148.227",NA,NA,"18.315",NA,NA,"0.904","0.77055","","","0.09504","0.001","mangoes, raw","FV","Fruits and Vegetables","2625","fruits, other and products","1316","mangoes, guavas, mangosteens","1316.01"
"703","Margarine - Blue band","MAFOODS","MW06_0001","margarine, rama, brick","MZF",NA,NA,NA,NA,NA,"margarine, rama, brick","17.1","724","850","","","1.3","1.7","18","2","","","200","","","1","0","10","","","6",NA,NA,NA,"0",NA,"9",NA,NA,"1",NA,NA,"750","0","KENFCT","9004","0","0","margarine","OT","Other foods","2586","oilcrops oil, other and products","21700.02","margarine and shortening","21700.02.01"
"829","Meal eaten at restaurant (vendor)","MAFOODS","MW03_0010","chicken stew, (nkhuku yokazingira)","R41",NA,NA,NA,NA,NA,"chicken stew, (nkhuku yokazingira)","72.5296659","157.0468664","13.25115207","","","0.055448445","0.050560484","2.235670507","0.144195565","","","3.193491359","","","0.107834101","10.29278226","2.914095622","","","120.0633641","0.73375288",NA,NA,"2.894786866","0.443548387","216.4405818",NA,NA,"28.36497696",NA,NA,"32.59376152","2.284170507","","","2.006693548","0","goat meat, fresh, grilled","AP","Animal Products","2732","mutton & and goat meat and products","21116","meat of goat, fresh or chilled","21116.02"
"829","Meal eaten at restaurant (vendor)","MAFOODS","MW03_0010","chicken stew, (nkhuku yokazingira)","R41",NA,NA,NA,NA,NA,"chicken stew, (nkhuku yokazingira)","72.5296659","157.0468664","13.25115207","","","0.055448445","0.050560484","2.235670507","0.144195565","","","3.193491359","","","0.107834101","10.29278226","2.914095622","","","120.0633641","0.73375288",NA,NA,"2.894786866","0.443548387","216.4405818",NA,NA,"28.36497696",NA,NA,"32.59376152","2.284170507","","","2.006693548","0","chicken meat, fresh, deep-fried","AP","Animal Products","2734","poultry meat and products","21121","meat of chickens, fresh or chilled","21121.04"
"413","Mushroom","MAFOODS","MW04_0025","mushroom, oyster, cultivated, raw, pleurotus florida,(bowa wolimidwa)","16",NA,NA,NA,NA,NA,"mushroom, oyster, cultivated, raw, pleurotus florida,(bowa wolimidwa)","91.7","29.892","1.534","","","0.096","0.268","3.802","0.084","","","29.15","","","0","0","0","","","2.8","0.187",NA,NA,"0.2",NA,"322.181",NA,NA,"8",NA,NA,"13.808","1.994","","","0.591","0.006","common mushrooms, raw","FV","Fruits and Vegetables","2605","vegetables, other and products","1270","mushrooms and truffles","1270.01"
"507","Mutton","MAFOODS","MW03_0063","mutton, meat, ~20% fat, raw, (nyama ya nkhosa)","WA",NA,NA,NA,NA,NA,"mutton, meat, ~20% fat, raw, (nyama ya nkhosa)","60.6","256.8","10","","","0.13","0.19","3.5","0.4","","","2","","","2.9","0","0.21","","","10","0.11",NA,NA,"2.1",NA,"250",NA,NA,"22",NA,NA,"76","34.16802168","KENFCT","7044","3.33","0.0248","sheep meat, fresh, raw","AP","Animal Products","2732","mutton & and goat meat and products","21115","meat of sheep, fresh or chilled","21115.01"
"404","Nkhwani","MAFOODS","MW04_0019","","10",NA,NA,NA,NA,NA,"leaves, pumpkin, raw, (nkhwani)","92.88","26.791","126.05","","","0.047","0.069","0.485","0.111","","","31.644","","","0","23.206","4.536","","","128.51","0.07526",NA,NA,"5.9001",NA,"229.95",NA,NA,"47.996",NA,NA,"5.801","0.55948","","","0.3692","0.0136","pumpkin leaves, raw","FV","Fruits and Vegetables","2605","vegetables, other and products","1214","lettuce and chicory","1214.04"
"411","Okra / Therere","MAFOODS","MW04_0030","okra, raw, abelmoschusesculentus, (therere lobala)","9",NA,NA,NA,NA,NA,"okra, raw, abelmoschusesculentus, (therere lobala)","84","61.1708","40.784","","","0.063","0.125","1.098","0.345","","","138.039","","","0","43.922","0.565","","","104","0.141",NA,NA,"1.255",NA,"382",NA,NA,"77",NA,NA,"11","1.6","KENFCT","4026","0.941","0.0018","okra, raw","FV","Fruits and Vegetables","2605","vegetables, other and products","1239.01","okra ","1239.01.01"
"401","Onion","MAFOODS","MW04_0031","onion, raw, (anyezi)","10",NA,NA,NA,NA,NA,"onion, raw, (anyezi)","89.11","42.512","0","","","0.029","0.01","0.096","0.115","","","1.911","","","0","5.732","0.019","","","33.463","0.12317",NA,NA,"0.4796",NA,"171.945",NA,NA,"20.056",NA,NA,"14.329","0.32373","","","0.39458","0.001","onions, raw","FV","Fruits and Vegetables","2602","onions and products","1253.02","onions and shallots, dry (excluding dehydrated)","1253.02.01"
"204","Orange sweet potato","MAFOODS","MW01_0063","sweet potato, orange fleshed, raw, (mbatata yofiila mkati)","29",NA,NA,NA,NA,NA,"sweet potato, orange fleshed, raw, (mbatata yofiila mkati)","76.6","80.6617","925.83","","","0.029","0.0486","0.973","0.204","","","10.7","","","0","30.16","0.25","","","26",NA,NA,NA,"0.486",NA,"243.25",NA,NA,"13.62",NA,NA,"9.73","1.098591549","KENFCT","2014","0.486","0.0011","sweet potatoes, orange-flesh, raw","RT","Roots and Tubers","2533","sweet potatoes and products","1530","sweet potatoes","1530.02"
"509","Other poultry - guinea fowl, doves, etc.","MAFOODS","MW03_0065","quail, breast, raw, coturnix japonica, (chinziri)","19",NA,"16V(173; 174), IN17(N013), NG1200, US28(05152)",NA,NA,NA,"quail, breast, raw, coturnix japonica, (chinziri)","72.53","120.59","10.666","","","0.233","0.2356","7.951","0.514","","","3.879","","","0.557","4.945","1.417103175","WAFCT","07_070","9.696","0.054503968",NA,NA,"2.239",NA,"252.107",NA,NA,"27.15",NA,NA,"53.33","14.50561056","KENFCT","7026","2.618","0","guinea-fowl meat, fresh, raw","AP","Animal Products","2735","meat, other and products","21170.01","meat of pigeons and other birds n.e.c., fresh, chilled or frozen","21170.01.02"
"509","Other poultry - guinea fowl, doves, etc.","MAFOODS","MW03_0065","quail, breast, raw, coturnix japonica, (chinziri)","19",NA,"16V(173; 174), IN17(N013), NG1200, US28(05152)",NA,NA,NA,"quail, breast, raw, coturnix japonica, (chinziri)","72.53","120.59","10.666","","","0.233","0.2356","7.951","0.514","","","3.879","","","0.557","4.945","1.417103175","WAFCT","07_070","9.696","0.054503968",NA,NA,"2.239",NA,"252.107",NA,NA,"27.15",NA,NA,"53.33","14.50561056","KENFCT","7026","2.618","0","pigeon meat, fresh, raw","AP","Animal Products","2735","meat, other and products","21170.01","meat of pigeons and other birds n.e.c., fresh, chilled or frozen","21170.01.01"
"605","Papaya","MAFOODS","MW05_0019","pawpaw, fresh, (papaya)","10",NA,NA,NA,NA,NA,"pawpaw, fresh, (papaya)","88.06","47.6908","15.991","","","0.032","0.011","0.32","0.011","","","14.925","","","0","92.748","0.778","","","65.926","0.12376",NA,NA,"0.38437",NA,"204.686",NA,NA,"48.552",NA,NA,"7.463","1.2852","","","0.12852","0.0019","papayas, raw","FV","Fruits and Vegetables","2625","fruits, other and products","1317","papayas","1317.01"
"109","Pearl millet (mchewere)","WAFCT","01_095","pearl millet, decorticated, raw","GH2000, 01_063, 01_017",NA,NA,NA,NA,NA,"pearl millet, decorticated, raw","10","370","0","","","0.2","0.2","1.9","0.32","","","47","","","0","0","0.56","","","13","0.38",NA,NA,"5.4",NA,"279",NA,NA,"94",NA,NA,"12","25.28089888","KENFCT","1025","2.42","8e-04","pearl millet,  grain","CE","Cereals","2517","millet and products","118","millet","118.03"
"303","Pigeonpea (nandolo)","MAFOODS","MW02_0017","pigeon pea, dry, canjanus cajan,(nandolo)","9",NA,NA,NA,NA,NA,"pigeon pea, dry, canjanus cajan,(nandolo)","8","364.1708","8.378","","","0.607","0.178","2.723","0.272","","","356.081","","","0","0","0.388","","","112","1.2",NA,NA,"6.095",NA,"970.845",NA,NA,"179.088",NA,NA,"27.23","15.6996587","KENFCT","3021","2.2","7e-04","pigeon peas, dried, raw","PB","Pulses and Beans","2549","pulses, other and products","1707","pigeon peas, dry","1707.01"
"604","Pineapple","MAFOODS","MW05_0021","pineapple, raw, peeled, ananas comosus,(nanazi losenda)","ZA",NA,NA,NA,NA,NA,"pineapple, raw, peeled, ananas comosus,(nanazi losenda)","85.3","58.1","6.255319149","WAFCT","05_018","0.08","0.02","0.3","0.055","","","16","","","0","43","0","","","4","0.04",NA,NA,"0.3",NA,"159",NA,NA,"10",NA,NA,"1","1.289473684","KENFCT","5030","0.03","0","pineapple, raw","FV","Fruits and Vegetables","2618","pineapples and products","1318","pineapples","1318.01"
"207","Plantain, cooking banana","MAFOODS","MW01_0048","plantain, green, boiled, musaparadisiaca, (matochi)","31",NA,NA,NA,NA,NA,"plantain, green, boiled, musaparadisiaca, (matochi)","63.1","124.28","37.869","","","0.048","0.0388","0.48","0.204","","","12.6","","","0","11.85","0.184","","","5.65","0.0679",NA,NA,"0.776",NA,"156.1",NA,NA,"31.07",NA,NA,"2.91","1.397727273","KENFCT","2004","0.097","8e-04","plantain, raw","FV","Fruits and Vegetables","2616","plantains and products","1313","plantains and others","1313.01"
"506","Pork","MAFOODS","MW03_0064","pork, meat,  ~20% fat, raw, sus scrofa domesticus, (nyama ya nkhumba)","WA",NA,NA,NA,NA,NA,"pork, meat,  ~20% fat, raw, sus scrofa domesticus, (nyama ya nkhumba)","60.1","265.2","0","","","0.72","0.22","3.8","0.32","","","2","","","0.8","0","0.1","","","10","0.1",NA,NA,"1.4",NA,"301",NA,NA,"20",NA,NA,"68","26.10280374","KENFCT","7020","3.6","0.0027","pig meat, with bones, fresh, raw","AP","Animal Products","2733","pigmeat and products","21113.01","meat of pig with the bone, fresh or chilled","21113.01.01"
"206","Potato crisps","MAFOODS","MW01_0025","french fries/chips, (chipisi)","R19",NA,NA,NA,NA,NA,"french fries/chips, (chipisi)","48.87788779","263.6532178","0","KENFCT","15110","0.187247525","0.01269802","1.945618812","0.297401733","","","3.291460396","","","0","16.5029703","7.544537954","","","8.613861386","0.175544554",NA,NA,"1.023267327",NA,"461.389604",NA,NA,"20.48019802",NA,NA,"2.896039604","0.752902978","","","0.424158416","0.0011","potato, crisps","RT","Roots and Tubers","2531","potatoes and products","1510","potatoes","1510.02"
"702","Powdered milk","WAFCT","10_002","milk, cow, powder, whole, unfortified","4E(Milk, cow, powder, whole / Lait de vache, en poudre, entier), 11E(Milk, powder, whole / Laid en poudre entier), AU14(09A30026), SA10(2721), US28(01090)",NA,NA,NA,NA,NA,"milk, cow, powder, whole, unfortified","4.5","493","329","","","0.3","1.2","0.8","0.25","","","37","","","1.8","13","1.1","","","925","0.08",NA,NA,"0.8",NA,"1140",NA,NA,"85",NA,NA,"380","24.6642562","KENFCT","6018","3.34","0","milk, cow, full-fat, powder","AP","Animal Products","2848","milk - (excluding excluding butter butter) and products","22211","whole milk powder","22211.01"
"410","Pumpkin","MAFOODS","MW04_0034","pumpkin, boiled, cucurbita maxima, (dzungu lowiritsa)","9",NA,NA,NA,NA,NA,"pumpkin, boiled, cucurbita maxima, (dzungu lowiritsa)","84","59.822","189.091","","","0.073","0.036","0.727","0.145","","","9.091","","","0","9.636","2.036","","","35","0.1",NA,NA,"2",NA,"358",NA,NA,"32",NA,NA,"8","1.649484536","KENFCT","4027","0.2","3e-04","pumpkins, raw","FV","Fruits and Vegetables","2605","vegetables, other and products","1235","pumpkins, squash and gourds","1235.01"
"106","Rice","MAFOODS","MW01_0058","rice,white, raw, oryza sativa, (mpunga woyera)","9",NA,NA,NA,NA,NA,"rice,white, raw, oryza sativa, (mpunga woyera)","13","348.101","0","","","0.147","0.029","0.205","0.156","","","7.82","","","0","0","0.108","","","7.82","0.6",NA,NA,"0.391",NA,"183",NA,NA,"169",NA,NA,"43.011","0.990888383","KENFCT","1034","1.6","4e-04","rice grain, white, raw","CE","Cereals","2805","rice and products","23161.01","rice, milled (husked) ","23161.01.01"
"106","Rice","MAFOODS","MW01_0058","rice,white, raw, oryza sativa, (mpunga woyera)","9",NA,NA,NA,NA,NA,"rice,white, raw, oryza sativa, (mpunga woyera)","13","348.101","0","","","0.147","0.029","0.205","0.156","","","7.82","","","0","0","0.108","","","7.82","0.6",NA,NA,"0.391",NA,"183",NA,NA,"169",NA,NA,"43.011","0.990888383","KENFCT","1034","1.6","4e-04","rice grain, white, raw","CE","Cereals","2805","rice and products","23161.02","rice, milled ","23161.02.01"
"834","Rosted groundnuts","AHHA","8006","groundnut, dry, boiled, arachis hypogae,(mtedza wouma wophika)",NA,NA,NA,NA,NA,NA,"* groundnut, dry, roasted","6.5","597","0","","","0.783","0.133","14.725","0.5301","","","77","","","0","0","1.11","UKFCT","14-878","45","0.93",NA,NA,"2.1",NA,"725",NA,NA,"200",NA,NA,"6","2.9","","","2.32","6e-04","peanut, unshelled, roasted","PB","Pulses and Beans","2556","groundnuts (shelled eq) and products","142","groundnuts, excluding shelled","142.04"
"832","Rosted sweet potatoes","AHHA","5010","",NA,NA,"1P(30), 1T(89), 2P(53), 6B, 07FG, 11E(Sweet potato / Patate douce), 12B(105), 16V(52; 54), AU14(13A12015), CTA(47), MA1018, IN17(F014), NG1039, SA10(4184)",NA,NA,NA,"* sweet potato, white, eaten without skin, grilled","77.3","89","1.8","","","0.063","0.0285","0.38","0.1791","","","26.6","","","0","6.4","0.120836502","WAFCT","02_022","17","1.24",NA,NA,"1",NA,"337",NA,NA,"81",NA,NA,"15","1","","","0.82","0.0011","sweet potato, white-flesh, roasted","RT","Roots and Tubers","2533","sweet potatoes and products","1530","sweet potatoes","1530.05"
"832","Rosted sweet potatoes","AHHA","5010","",NA,NA,"1P(30), 1T(89), 2P(53), 6B, 07FG, 11E(Sweet potato / Patate douce), 12B(105), 16V(52; 54), AU14(13A12015), CTA(47), MA1018, IN17(F014), NG1039, SA10(4184)",NA,NA,NA,"* sweet potato, white, eaten without skin, grilled","77.3","89","1.8","","","0.063","0.0285","0.38","0.1791","","","26.6","","","0","6.4","0.120836502","WAFCT","02_022","17","1.24",NA,NA,"1",NA,"337",NA,NA,"81",NA,NA,"15","1","","","0.82","0.0011","sweet potatoes, orange-flesh, roasted","RT","Roots and Tubers","2533","sweet potatoes and products","1530","sweet potatoes","1530.07"
"810","Salt","KENFCT","13027","salt, iodized",NA,"1G(WL), 1M(274), 16GH, US28(02047)",NA,NA,NA,NA,"salt, iodized","0.2","0","0","","","0","0","0","0","WAFCT","13_015","0","","","0","0","0","","","32","0.080241206",NA,NA,"0.1",NA,"98",NA,NA,"1",NA,NA,"38500","2","","","0.1","0","salt","OT","Other foods","2645","spices, other and products","1699","other stimulant, spice and aromatic crops, n.e.c. ","1699.02"
