,ihs5_foodid,ihs5_fooditem,food_genus_id,ref_source,ref_fctcode,ref_fctitem,ref,ref_item,fooditem,WATER,ENERC1,VITA_RAE,THIA,RIBF,NIA,VITB6,FOL,VITB12,VITC,VITE,CA,CU,FE,ID,K,MG,na,SE,ZN,ID_cal
22,908,Chibuku (commercial traditional-style beer),24310.02.01,LSOFCT,140001,"beer, 5% alcohol",NA,NA,"beer, 5% alcohol",91.96,16.04,0,0.005,0.025,0.041,0.046,6,0,0,0,4,0.005,0.02,NA,27,6,4,0.6,0.01,5.00E-04
23,508,Chicken,21121.01,MAFOODS,MW03_0011,"chicken, meat with skin, free range, local, raw, (nkhuku ya chikuda)",26,NA,"chicken, meat with skin, free range, local, raw, (nkhuku ya chikuda)",73.06,128.77,7.2,0.088,0.064,3.712,0.272,1.6,0.24,1.28,0.28,8,NA,0.96,NA,207.2,17.6,43.2,11.84175824,1.6,0
24,824,Chicken (vendor),21121.03,MAFOODS,MW03_0010,"chicken stew, (nkhuku yokazingira)",R41,NA,"chicken stew, (nkhuku yokazingira)",72.5296659,157.0468664,13.25115207,0.055448445,0.050560484,2.235670507,0.144195565,3.193491359,0.107834101,10.29278226,2.914095622,120.0633641,0.73375288,2.894786866,0.443548387,216.4405818,28.36497696,32.59376152,2.284170507,2.006693548,0
25,522,Chicken/Pieces,21121.02,MAFOODS,MW03_0011,"chicken, meat with skin, free range, local, raw, (nkhuku ya chikuda)",26,NA,"chicken, meat with skin, free range, local, raw, (nkhuku ya chikuda)",73.06,128.77,7.2,0.088,0.064,3.712,0.272,1.6,0.24,1.28,0.28,8,NA,0.96,NA,207.2,17.6,43.2,11.84175824,1.6,0
26,405,Chinese cabbage,1212.02,MAFOODS,MW04_0003,"cabbage, chinese, boiled, brassica chinensis,(chayinizi)",9,NA,"cabbage, chinese, boiled, brassica chinensis,(chayinizi)",95,18.75,26.66666667,0.023,0.023,0.455,0.049,12.5,0,37.5,0,84,0.06,0.341,NA,167,15,9,1.666666667,0.6,0.0089
27,821,Chips (vendor),1510.02,MAFOODS,MW01_0025,"french fries/chips, (chipisi)",R19,NA,"french fries/chips, (chipisi)",48.87788779,263.6532178,0,0.187247525,0.01269802,1.945618812,0.297401733,3.291460396,0,16.5029703,7.544537954,8.613861386,0.175544554,1.023267327,NA,461.389604,20.48019802,2.896039604,0.752902978,0.424158416,0.0011
28,903,"Cocoa, millo",F0666.01,KENFCT,12004,"drinking chocolate, powder",NA,NA,"drinking chocolate, powder",1,541,61,0.03,0.15,0.5,0.11,6,0,1,0.19,60,NA,2,NA,591,98,120,3,1.55,0
29,208,Cocoyam (masimbi),1550.01,MAFOODS,MW01_0013,"cocoyam, tuber, raw, (masimbi/koko)",WA,NA,"cocoyam, tuber, raw, (masimbi/koko)",64.7,137.4,0,0.1,0.03,0.8,0.24,22,0,8,2.4,11,0.16,0.6,NA,457,13,7,1.138709677,1.38,0.0059
30,902,Coffee,23912.02.02,KENFCT,12003,"coffee, instant, dry powder or granules","2B(18005), AU14(01B10303), UK7(17-158), US28(14214)",NA,"coffee, instant, dry powder or granules",3.1,311,0,0,1,42.9,0.03,7,0,2,0.05,145,0.46,3.9,NA,3690,350,83,9,0.71,0
31,308,Cowpea (khobwe),1706.02,MAFOODS,MW02_0007,"cowpea, dry, vigna unguiculata, (khobwe/nseula)",10,NA,"cowpea, dry, vigna unguiculata, (khobwe/nseula)",11.05,349.443,3.026,0.716,0.151,3.126,0.363,420.546,0,0.807,0.424,82.2325,0.585851,5.36956,NA,1220.29,172.466,19.962,5.79628,2.82702,6.00E-04
32,409,Cucumber,1232.01,KENFCT,4016,"cucumber, green, unpeeled, raw","1E, 2P(127), 11E(Cucumber, whole, raw / Concombre, entier, cru), CTA(159), IN17(D043), MA1018, US28(11205)",NA,"cucumber, green, unpeeled, raw",96.2,11,0,0.03,0.02,0.2,0.034545455,5.181818182,0,7,0.017272727,20,0.034545455,0.7,NA,136,14,22,1,0.18,0.0062
33,501,Eggs,231.01,MAFOODS,MW03_0015,"egg, chicken, whole, raw, (dzira la nkhuku)","2P(198), FAO(1208), IN17(M001), NG1179, NG1084, SA10(2901), SGS, US28(01123)",NA,"egg, chicken, whole, raw, (dzira la nkhuku)",75,147.9,67,0.13,0.4,0.1,0.04,46,1.9,0,1.470588235,39,0.117647059,1.8,NA,98,9,126,23.85892116,1.15,0.2222
34,823,Eggs - boiled (vendor),231.02,MAFOODS,MW03_0013,"egg, chicken, boiled, (dzira lowilitsa)",calc. from / de 08_005,NA,"egg, chicken, boiled, (dzira lowilitsa)",72.22222222,164.3333333,74.44444444,0.115555556,0.422222222,0.105555556,0.042222222,38.33333333,1.794444444,0,2.296587927,43.33333333,0.065616798,2,NA,103.4444444,10,140,24.20470263,1.277777778,0.2222
35,107,Finger millet (mawere),118.02,MAFOODS,MW01_0016,"finger millet, grain, raw, (mawere)",10,NA,"finger millet, grain, raw, (mawere)",8.67,378.236,0,0.31,0.134,1.756,0.754,29.961,0,0,0.052,300.377,0.518584,10.1343,NA,392.595,146.993,19.63,3.02203,1.83513,0.001
36,826,Fish (vendor),1501.03,MAFOODS,MW03_0030,"fish, tilapia, fresh, grilled, (chambo chootcha)",R33,NA,"fish, tilapia, fresh, grilled, (chambo chootcha)",67.96268815,146.4413292,54.05978376,0.082679669,0.108119568,1.144795421,0.127199491,11.44795421,0.060419758,0,0.635997456,116.5412338,0.468801676,4.014733941,168.9330952,0.57239771,87.85244859,47.6998092,39.47803589,0,0.0563
37,826,Fish (vendor),1501.04,MAFOODS,MW03_0030,"fish, tilapia, fresh, grilled, (chambo chootcha)",R33,NA,"fish, tilapia, fresh, grilled, (chambo chootcha)",67.96268815,146.4413292,54.05978376,0.082679669,0.108119568,1.144795421,0.127199491,11.44795421,0.060419758,0,0.635997456,116.5412338,0.468801676,4.014733941,168.9330952,0.57239771,87.85244859,47.6998092,39.47803589,0,0.0563
38,514,Fish Soup/Sauce,1533.01,MAFOODS,MW03_0019,"fish powder stew, (supu ya ufa wansomba)",R13,NA,"fish powder stew, (supu ya ufa wansomba)",91.13444358,44.44637794,23.24723247,0.043576908,0.014944649,0.598809963,0.06820572,8.738337541,0,7.896120606,0.624922315,291.5847495,1.879849243,6.632974849,0.934647504,176.5933919,42.75689454,4.481137114,6.005000971,2.044110507,0
39,906,Freezes (flavoured ice),23670.01.02,WAFCT,12_012,"carbonated drink (e.g. coca-cola, sprite)","DK2(194), US28(09016)",NA,"juice, canned or bottled, sweetened (e.g. apple)",87.9,48,0,0.02,0.02,0.1,0.03,0,0,1,0.01,9,0.01,0.3,NA,80,5,10,0,0.04,0
40,701,Fresh milk,2211.01,MAFOODS,MW03_0059,"milk, cow, whole, fresh, (mkaka wa ng'ombe wa madzi)",20,NA,"milk, cow, whole, fresh, (mkaka wa ng'ombe wa madzi)",87.86,66.5084,44,0.02,0.16,0.1,0.04,5,0.4,1,0.07,120,NA,0.1,NA,135.612,12,64.56,2.658394161,0.38,0.0278
41,505,Goat,21116.01,MAFOODS,MW03_0052,"goat, meat, raw, (nyama ya mbuzi)",WA,NA,"goat, meat, raw, (nyama ya mbuzi)",68,165.4,0,0.18,0.29,6.1,0.4,5,1.1,0,0.18,11,0.16,2.4,NA,385,27,82,27.71653543,3.45,0.0248
42,105,Green maize,1290.01.01,MAFOODS,MW01_0040,"maize, green, boiled, (dowe)",9,NA,"maize, green, boiled, (dowe)",68,133.061,0,0.08,0.028,0.563,0.047,6.569,0,0,0.469,6.569,0.1,1.126,NA,141,49,3,3.80952381,0.8,5.00E-04
43,307,Ground bean (nzama),1708.01,WAFCT,03_057,"ground bean, dry, raw","AU14:IN17:UP1(average of all beans), MA1018, NG1051, NG1058",NA,"ground bean, dry, raw",9.3,322,1,0.77,0.19,2.3,0.34,480,0,2,0.44,60,0.52,10,NA,264,186,9,1.86,1.12,5.00E-04
44,311,Groundnut (shelled),21421.01,MAFOODS,MW02_0014,"groundnut, dry, arachis hypogae, (mtedza wouma)",10,NA,"groundnut, dry, arachis hypogae, (mtedza wouma)",6.5,597.3228,0,0.868,0.139,15.467,0.589,109.765,0,0,10.877,43.384,0.92752,1.93545,NA,725.448,199.155,5.987,3.0481,2.4684,6.00E-04
45,312,Groundnut (unshelled),142.01,MAFOODS,MW02_0014,"groundnut, dry, arachis hypogae, (mtedza wouma)",10,NA,"groundnut, dry, arachis hypogae, (mtedza wouma)",6.5,597.3228,0,0.868,0.139,15.467,0.589,109.765,0,0,10.877,43.384,0.92752,1.93545,NA,725.448,199.155,5.987,3.0481,2.4684,6.00E-04
46,305,Groundnut flour,142.02,MAFOODS,MW02_0010,"flour, groundnut, arachis hypogaea, (nsinjilo)",9,NA,"flour, groundnut, arachis hypogaea, (nsinjilo)",8,582.566,0,0.856,0.135,9.517,0.577,107.67,0,0,10.604,83,0.8,3.845,NA,892,187,18,3.0481,2.8,6.00E-04
47,313,Groundnut fresh (unshelled),142.03,MAFOODS,MW02_0015,"groundnut, dry, boiled, arachis hypogae,(mtedza wouma wophika)",9,NA,"groundnut, dry, boiled, arachis hypogae,(mtedza wouma wophika)",49,323.907,0,0.474,0.076,8.437,0.321,59.872,0,0,5.933,41,0.4,2.123,NA,510,123,15,6.503719447,1.4,6.00E-04
48,606,Guava,1316.02,MAFOODS,MW05_0008,"guavas, psidium guajava, (gwafa)",9,NA,"guavas, psidium guajava, (gwafa)",83,70.951,4.913,0.049,0.02,1.179,0.79,18.671,0,340.983,0.717,7,0.1,0.393,NA,282,18,7,0,0.2,8.00E-04
49,817,Honey,2910.01,KENFCT,11001,"honey, raw","1E, 3B(Honey / Miel), US28(19296)",NA,"honey, raw",19.2,322,0,0,0,0,0.019755501,1.975550122,0,0,0,11,0.048792271,0.6,NA,74,3,17,0.780676329,3,0
50,814,"Hot sauce (Nali, etc.)",1699.06,KENFCT,13031,"tomato, sauce (ketchup)","DK2(596), UK7(13-530), US28(11531)",NA,"tomato, sauce (ketchup)",67.5,115,22,0,0.1,1.3,0.627192982,96.92982456,0,0,5.473684211,13,0.456140351,0.7,NA,316,16,918,0.5,0.18,0
51,708,Infant feeding formula (for bottle),23991.01.02,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
52,205,Irish potato,1510.01,MAFOODS,MW01_0050,"potato, local variety, raw, (mbatata ya kachewere)",30,NA,"potato, local variety, raw, (mbatata ya kachewere)",77.8,67.5265,0,0.1576,0.009,1.379,0.21079,2.955,0,13.89,0.0591,5.8,0.1182,0.689,NA,327.02,13.79,1.95,0.795698925,0.2856,0.0011
53,815,"Jam, jelly",F0623.01,WAFCT,13_023,jam or marmalade,"AU14(12B10087; 12B10075), SA10(3985), UK7(17-073; 17-688; 17-078), US28(19303; 19297)",NA,jam or marmalade,29.1,281,2,0,0,0,0.03,2,0,7,0.05,24,0.16,1,NA,85,6,15,0,0.2,0
54,815,"Jam, jelly",F0623.02,WAFCT,13_023,jam or marmalade,"AU14(12B10087; 12B10075), SA10(3985), UK7(17-073; 17-688; 17-078), US28(19303; 19297)",NA,jam or marmalade,29.1,281,2,0,0,0,0.03,2,0,7,0.05,24,0.16,1,NA,85,6,15,0,0.2,0
55,915,Locally brewed liquor (kachasu),2413.01,AHHA,22007,"wine, red",NA,NA,"kachaso, local beer",66.6,231,0,0.01,0,0,0.001,0,0,0,0,0,0.02,0,NA,2,0,1,0,0.04,0
56,309,Macademia nuts,1379.9.01,KENFCT,10010,"nut, macadamia, raw, unsalted",NA,NA,"nut, macadamia, raw, unsalted",7.7,696,0,0.27,0.1,2,0.28,0,0,4.6,1.49,44,NA,2.2,NA,308,100,5,10,1.3,0.0011
57,910,Maheu,24230.03.02,WAFCT,12_002,"beer, maize (ca. 3% v/v alcohol)","FAO(1562), SA10(4039), US28(14003), 12_004",NA,"beer, maize (ca. 3% v/v alcohol)",93.2,33,0,0.01,0.03,0.3,0.05,6,0,0,0,4,0.01,0.2,NA,80,14,3,0,0.07,5.00E-04
58,820,Maize - boiled or roasted (vendor),1290.01.02,MAFOODS,MW01_0040,"maize, green, boiled, (dowe)",9,NA,"maize, green, boiled, (dowe)",68,133.061,0,0.08,0.028,0.563,0.047,6.569,0,0,0.469,6.569,0.1,1.126,NA,141,49,3,3.80952381,0.8,5.00E-04
59,820,Maize - boiled or roasted (vendor),1290.01.03,MAFOODS,MW01_0040,"maize, green, boiled, (dowe)",9,NA,"maize, green, boiled, (dowe)",68,133.061,0,0.08,0.028,0.563,0.047,6.569,0,0,0.469,6.569,0.1,1.126,NA,141,49,3,3.80952381,0.8,5.00E-04
60,104,Maize grain (not as ufa),112.01,MAFOODS,MW01_0037,,10,NA,"maize, grain, white, raw, (chimanga)",10.91,370.139,0,0.352,0.101,2.112,0.201,26.144,0,0,1.307,3.04722,0.183546,1.41669,NA,311.712,81.972,11.061,1.61271,1.57707,5.00E-04
61,101,Maize ufa mgaiwa (normal flour),23120.03.01,MAFOODS,MW01_0019,"flour, maize, white, whole, unfortified, raw, (mgaiwa)",6,NA,"flour, maize, white, whole, unfortified, raw, (mgaiwa)",12.3,374.3,0,0.495,0.119,1.387,0.367,24.774,0,0,1.288,17.837,0.228,3.766,NA,312.153,92.159,10.901,9.135416667,1.714,5.00E-04
62,102,Maize ufa refined (fine flour),23120.03.02,MAFOODS,MW01_0018,"flour, maize, white, degermed-dehulled, unfortified, raw, (ufa wa galamilu)",4,NA,"flour, maize, white, degermed-dehulled, unfortified, raw, (ufa wa galamilu)",12.19,367.02,0,0.127,0.039,0.781,0.078,9.757,0,0,0.41,3.903,0.107,0.976,NA,139.52,31.221,1.951,7.0248,0.498,5.00E-04
63,827,"Mandazi, doughnut (vendor)",F0022.04,MAFOODS,MW01_0014,doughnuts (mandasi),R05,NA,doughnuts (mandasi),48.9780658,211.1041874,23.96144899,0.116259555,0.137879694,0.372107012,0.047185111,11.43652376,0.267115321,0.353107345,0.053406447,58.32502493,0.014212238,2.002858092,NA,128.356876,14.59102692,38.09332004,0,0.253406447,5.00E-04
64,601,Mango,1316.01,MAFOODS,MW05_0016,"mango,ripe, (mango)",10,NA,"mango,ripe, (mango)",83.46,65.621,122.92,0.054,0.03,0.027,0.063,34.153,0,28.019,1.012,15.0315,0.13299,0.2937,NA,148.227,18.315,0.904,0.77055,0.09504,0.001
65,703,Margarine - Blue band,21700.02.01,MAFOODS,MW06_0001,"margarine, rama, brick",MZF,NA,"margarine, rama, brick",17.1,724,850,1.3,1.7,18,2,200,1,0,10,6,NA,0,NA,9,1,750,0,0,0
66,829,Meal eaten at restaurant (vendor),21116.02,MAFOODS,MW03_0010,"chicken stew, (nkhuku yokazingira)",R41,NA,"chicken stew, (nkhuku yokazingira)",72.5296659,157.0468664,13.25115207,0.055448445,0.050560484,2.235670507,0.144195565,3.193491359,0.107834101,10.29278226,2.914095622,120.0633641,0.73375288,2.894786866,0.443548387,216.4405818,28.36497696,32.59376152,2.284170507,2.006693548,0
67,829,Meal eaten at restaurant (vendor),21121.04,MAFOODS,MW03_0010,"chicken stew, (nkhuku yokazingira)",R41,NA,"chicken stew, (nkhuku yokazingira)",72.5296659,157.0468664,13.25115207,0.055448445,0.050560484,2.235670507,0.144195565,3.193491359,0.107834101,10.29278226,2.914095622,120.0633641,0.73375288,2.894786866,0.443548387,216.4405818,28.36497696,32.59376152,2.284170507,2.006693548,0
68,413,Mushroom,1270.01,MAFOODS,MW04_0025,"mushroom, oyster, cultivated, raw, pleurotus florida,(bowa wolimidwa)",16,NA,"mushroom, oyster, cultivated, raw, pleurotus florida,(bowa wolimidwa)",91.7,29.892,1.534,0.096,0.268,3.802,0.084,29.15,0,0,0,2.8,0.187,0.2,NA,322.181,8,13.808,1.994,0.591,0.006
69,507,Mutton,21115.01,MAFOODS,MW03_0063,"mutton, meat, ~20% fat, raw, (nyama ya nkhosa)",WA,NA,"mutton, meat, ~20% fat, raw, (nyama ya nkhosa)",60.6,256.8,10,0.13,0.19,3.5,0.4,2,2.9,0,0.21,10,0.11,2.1,NA,250,22,76,34.16802168,3.33,0.0248
70,404,Nkhwani,1214.04,MAFOODS,MW04_0019,,10,NA,"leaves, pumpkin, raw, (nkhwani)",92.88,26.791,126.05,0.047,0.069,0.485,0.111,31.644,0,23.206,4.536,128.51,0.07526,5.9001,NA,229.95,47.996,5.801,0.55948,0.3692,0.0136
71,411,Okra / Therere,1239.01.01,MAFOODS,MW04_0030,"okra, raw, abelmoschusesculentus, (therere lobala)",9,NA,"okra, raw, abelmoschusesculentus, (therere lobala)",84,61.1708,40.784,0.063,0.125,1.098,0.345,138.039,0,43.922,0.565,104,0.141,1.255,NA,382,77,11,1.6,0.941,0.0018
72,401,Onion,1253.02.01,MAFOODS,MW04_0031,"onion, raw, (anyezi)",10,NA,"onion, raw, (anyezi)",89.11,42.512,0,0.029,0.01,0.096,0.115,1.911,0,5.732,0.019,33.463,0.12317,0.4796,NA,171.945,20.056,14.329,0.32373,0.39458,0.001
73,204,Orange sweet potato,1530.02,MAFOODS,MW01_0063,"sweet potato, orange fleshed, raw, (mbatata yofiila mkati)",29,NA,"sweet potato, orange fleshed, raw, (mbatata yofiila mkati)",76.6,80.6617,925.83,0.029,0.0486,0.973,0.204,10.7,0,30.16,0.25,26,NA,0.486,NA,243.25,13.62,9.73,1.098591549,0.486,0.0011
74,509,"Other poultry - guinea fowl, doves, etc.",21170.01.02,MAFOODS,MW03_0065,"quail, breast, raw, coturnix japonica, (chinziri)","16V(173; 174), IN17(N013), NG1200, US28(05152)",NA,"quail, breast, raw, coturnix japonica, (chinziri)",72.53,120.59,10.666,0.233,0.2356,7.951,0.514,3.879,0.557,4.945,1.417103175,9.696,0.054503968,2.239,NA,252.107,27.15,53.33,14.50561056,2.618,0
75,509,"Other poultry - guinea fowl, doves, etc.",21170.01.01,MAFOODS,MW03_0065,"quail, breast, raw, coturnix japonica, (chinziri)","16V(173; 174), IN17(N013), NG1200, US28(05152)",NA,"quail, breast, raw, coturnix japonica, (chinziri)",72.53,120.59,10.666,0.233,0.2356,7.951,0.514,3.879,0.557,4.945,1.417103175,9.696,0.054503968,2.239,NA,252.107,27.15,53.33,14.50561056,2.618,0
76,605,Papaya,1317.01,MAFOODS,MW05_0019,"pawpaw, fresh, (papaya)",10,NA,"pawpaw, fresh, (papaya)",88.06,47.6908,15.991,0.032,0.011,0.32,0.011,14.925,0,92.748,0.778,65.926,0.12376,0.38437,NA,204.686,48.552,7.463,1.2852,0.12852,0.0019
77,109,Pearl millet (mchewere),118.03,WAFCT,01_095,"pearl millet, decorticated, raw","GH2000, 01_063, 01_017",NA,"pearl millet, decorticated, raw",10,370,0,0.2,0.2,1.9,0.32,47,0,0,0.56,13,0.38,5.4,NA,279,94,12,25.28089888,2.42,8.00E-04
78,303,Pigeonpea (nandolo),1707.01,MAFOODS,MW02_0017,"pigeon pea, dry, canjanus cajan,(nandolo)",9,NA,"pigeon pea, dry, canjanus cajan,(nandolo)",8,364.1708,8.378,0.607,0.178,2.723,0.272,356.081,0,0,0.388,112,1.2,6.095,NA,970.845,179.088,27.23,15.6996587,2.2,7.00E-04
79,604,Pineapple,1318.01,MAFOODS,MW05_0021,"pineapple, raw, peeled, ananas comosus,(nanazi losenda)",ZA,NA,"pineapple, raw, peeled, ananas comosus,(nanazi losenda)",85.3,58.1,6.255319149,0.08,0.02,0.3,0.055,16,0,43,0,4,0.04,0.3,NA,159,10,1,1.289473684,0.03,0
80,207,"Plantain, cooking banana",1313.01,MAFOODS,MW01_0048,"plantain, green, boiled, musaparadisiaca, (matochi)",31,NA,"plantain, green, boiled, musaparadisiaca, (matochi)",63.1,124.28,37.869,0.048,0.0388,0.48,0.204,12.6,0,11.85,0.184,5.65,0.0679,0.776,NA,156.1,31.07,2.91,1.397727273,0.097,8.00E-04
