original_food_id,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg,region
NA,"Citrus, Other",1323.01,"oranges, raw",Fruits and Vegetables,"oranges, mandarines and products",m,regional-SSA-fct,NA,NA,54.493307,NA,NA,0.8,0.1,NA,NA,NA,NA,9.2,3.2,NA,30,0.3,8,NA,NA,NA,0.22,0.1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Cloves,1656.01,cloves,Other foods,cloves and products,h,regional-SSA-fct,NA,NA,323,NA,NA,5.98,20.07,NA,NA,NA,NA,27.01,34.2,NA,646,8.7,264,NA,NA,NA,1.1,0.3,NA,0,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Cocoa Beans,F0665.01,cocoa powder,Other foods,cocoa beans and products,m,regional-SSA-fct,NA,NA,363.049713,NA,NA,18.5,21.7,NA,NA,NA,NA,11.5,12.1,NA,130,10.5,520,NA,NA,NA,6.9,3.9,NA,0,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Coconut Oil,2166.01,coconut oil,Other foods,coconut oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,2,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Coconuts - Incl Copra,1460.01,coconuts,Other foods,coconuts (including copra) and products,h,regional-SSA-fct,NA,NA,400.812619,NA,NA,3.4,38.9,NA,NA,NA,NA,2.3,8.3,NA,11,0.8,47,NA,NA,NA,0.45,0.43,NA,1,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,S
NA,Coffee,23912.02.01,"coffee, instant powder",Other foods,coffee and products,h,regional-SSA-fct,NA,NA,2.151051,NA,NA,0.1,0,NA,NA,NA,NA,0.4,0,NA,2,0.1,5,NA,NA,NA,0.02,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Cottonseed Oil,2168.01,cotton seed oil,Other foods,cottonseed oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Cream,22120.01,cream,Animal Products,cream and products,h,regional-SSA-fct,NA,NA,245.458891,NA,NA,2.5,25,NA,NA,NA,NA,3.5,0,NA,90,0,8,NA,NA,NA,0.26,0.01,NA,35,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Crustaceans,1553.01,"crab, fresh, raw",Animal Products,crustaceans,m,regional-SSA-fct,NA,NA,97.992351,NA,NA,20.2,1.8,NA,NA,NA,NA,0,0,NA,104,0.9,33,NA,NA,NA,4.22,0.65,NA,100,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Dates,1314.01,dates,Fruits and Vegetables,dates and products,h,regional-SSA-fct,NA,NA,145.076481,NA,NA,1.5,0.1,NA,NA,NA,NA,31.3,2.7,NA,24,0.3,24,NA,NA,NA,0.2,0.12,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Demersal Fish,1518.01,"haddock, smoked, raw",Animal Products,demersal fish,m,regional-SSA-fct,NA,NA,111.137667,NA,NA,25.2,1,NA,NA,NA,NA,0,0,NA,49,1.4,54,NA,NA,NA,0.5,0.04,NA,140,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Eggs,231.01,"egg, chicken, raw",Animal Products,eggs and products,h,regional-SSA-fct,NA,NA,147.227533,NA,NA,12.6,10.3,NA,NA,NA,NA,1.2,0,NA,39,1.8,9,NA,NA,NA,1.15,0.12,NA,53,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Fats, Animals, Raw",21521.01,pork lard,Animal Products,"fats, animals, raw and products",m,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.11,0,NA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Fish, Body Oil",1522.01,"cod, body, oil",Animal Products,"fish, body oil",l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Fish, Liver Oil",1523.01,"cod, liver oil",Animal Products,"fish, liver oil",l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Fish, Liver Oil",1523.01,"cod, liver oil",Animal Products,"fish, liver oil",m,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Freshwater Fish,1501.01,"trout, rainbow, fresh, raw",Animal Products,freshwater fish,m,regional-SSA-fct,NA,NA,144.837476,NA,NA,26.3,4.3,NA,NA,NA,NA,0,0,NA,86,2.4,39,NA,NA,NA,1.39,0.14,NA,11,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Fruits, Other",1316.01,"mangoes, raw",Fruits and Vegetables,"fruits, other and products",m,regional-SSA-fct,NA,NA,72.418738,NA,NA,0.6,0.2,NA,NA,NA,NA,15.3,1.5,NA,9,0.2,10,NA,NA,NA,0.07,0.07,NA,2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,S
NA,Grapefruit,1321.02,"grapefruits, raw",Fruits and Vegetables,grapefruit and products,h,regional-SSA-fct,NA,NA,39.435946,NA,NA,0.7,0.1,NA,NA,NA,NA,6.9,1.9,NA,10,0.1,8,NA,NA,NA,0.04,0.04,NA,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Grapes,1330.01,"grapes, raw",Fruits and Vegetables,grapes and products (excludingexcl wine) and products,h,regional-SSA-fct,NA,NA,71.70172,NA,NA,0.7,0.1,NA,NA,NA,NA,14.7,2,NA,6,0.3,7,NA,NA,NA,0.06,0.08,NA,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,S
NA,Groundnut Oil,2162.01,peanut oil,Pulses and Beans,groundnut oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0.01,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Groundnuts (Shelled Eq),142.01,"peanut, unshelled",Pulses and Beans,groundnuts (shelled eq) and products,h,regional-SSA-fct,NA,NA,605.401529,NA,NA,25.8,49.2,NA,NA,NA,NA,7.6,8.5,NA,92,4.6,168,NA,NA,NA,3.27,1.14,NA,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1760,S
NA,Honey,2910.01,honey,Other foods,honey and products,h,regional-SSA-fct,NA,NA,335.564053,NA,NA,0.3,0,NA,NA,NA,NA,82.3,0,NA,5,0.5,2,NA,NA,NA,0.2,0.05,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Lemons, Limes",1322.01,"lemons, raw",Fruits and Vegetables,"lemons, limes and products",m,regional-SSA-fct,NA,NA,49.713193,NA,NA,0.7,0.2,NA,NA,NA,NA,7,4.1,NA,29,0.3,9,NA,NA,NA,0.09,0.12,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Maize,112.01,"maize, grain, white, dried, raw",Cereals,maize and products (including white maize),m,regional-SSA-fct,NA,NA,424.474187,NA,NA,9.2,4.3,NA,NA,NA,NA,75.3,10.6,NA,10,3,123,NA,NA,NA,2.3,0.2,NA,3,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,S
NA,Maize Germ Oil,21691.02.01,maize oil,Cereals,maize germ oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Marine Fish, Other",1532.01,"sardines, tinned",Animal Products,pelagic fish,l,regional-SSA-fct,NA,NA,111.615678,NA,NA,24.2,1.5,NA,NA,NA,NA,0,0,NA,18,0.3,58,NA,NA,NA,0.63,0.03,NA,32,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Meat, Aquatic Mammals",1580.01,"marine mammals meat, fresh, raw",Animal Products,"meat, aquatic mammals",m,regional-SSA-fct,NA,NA,111,NA,NA,26.5,0.5,NA,NA,NA,NA,0,0,NA,7,0.3,58,NA,NA,NA,0.63,0.03,NA,32,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Meat, Other",21170.92.01,"deer meat, fresh, raw",Animal Products,"meat, other and products",m,regional-SSA-fct,NA,NA,151.051625,NA,NA,30.2,3.2,NA,NA,NA,NA,0,0,NA,7,4.5,24,NA,NA,NA,2.75,0.3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Milk - Excluding Butter,2211.01,"milk, cow, whole, raw",Animal Products,milk - (excluding excluding butter butter) and products,m,regional-SSA-fct,NA,NA,62.619502,NA,NA,3.2,3.4,NA,NA,NA,NA,4.8,0,NA,120,0.1,12,NA,NA,NA,0.38,0.01,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Millet,118.01,"millet, grain",Cereals,millet and products,m,regional-SSA-fct,NA,NA,119.263862,NA,NA,3.5,1,NA,NA,NA,NA,23.3,0.4,NA,3,0.6,44,NA,NA,NA,0.91,0.16,NA,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520,S
NA,"Molluscs, Other",1562.01,"oysters, fresh, raw",Animal Products,"molluscs, other",m,regional-SSA-fct,NA,NA,66.921606,NA,NA,7.1,2.5,NA,NA,NA,NA,3.9,0,NA,45,6.7,54,NA,NA,NA,90.95,4.46,NA,0,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Mutton & Goat Meat,21116.01,"goat meat, fresh, raw",Animal Products,mutton & and goat meat and products,m,regional-SSA-fct,NA,NA,104.2065,NA,NA,20.6,2.3,NA,NA,NA,NA,0,0,NA,13,2.8,0,NA,NA,NA,4,0.26,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Nuts,1372.01,cashew nuts,Other foods,nuts and products,m,regional-SSA-fct,NA,NA,605.401529,NA,NA,15.3,46.4,NA,NA,NA,NA,26.6,6.1,NA,45,6,260,NA,NA,NA,5.6,2.22,NA,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2580,S
NA,Oats,23140.07.01,"oats, rolled",Cereals,oats and products,h,regional-SSA-fct,NA,NA,427.10325,NA,NA,10.7,10.4,NA,NA,NA,NA,61.6,1.6,NA,54,4.4,153,NA,NA,NA,3.18,0.36,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,S
NA,"Offals, Edible",21151.01,"beef offal, fresh, raw",Animal Products,"offals, edible and products",m,regional-SSA-fct,NA,NA,161.089866,NA,NA,15.7,11,NA,NA,NA,NA,0,0,NA,12,1.7,10,NA,NA,NA,1.94,0.13,NA,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Oilcrops Oil, Other",34550.01,"vegetable, oil",Other foods,"oilcrops oil, other and products",l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Oilcrops, Other",1441.01,linseeds,Other foods,"oilcrops, other and products",m,regional-SSA-fct,NA,NA,531.548757,NA,NA,17.5,36.9,NA,NA,NA,NA,3.5,29.5,NA,250,44.2,346,NA,NA,NA,8.24,3.88,NA,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710,S
NA,Olive Oil,2167.01,olive oil,Other foods,olive oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,1,0,0,NA,NA,NA,0.4,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
