original_food_id,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg,region
NA,Pimento,1652.01,"pepper, raw",Fruits and Vegetables,pimento and products,h,regional-SSA-fct,NA,NA,31.548757,NA,NA,0.9,0.2,NA,NA,NA,NA,4.4,2,NA,9,0.5,10,NA,NA,NA,0.12,0.07,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,S
NA,Pineapples,1318.01,"pineapple, raw",Fruits and Vegetables,pineapples and products,h,regional-SSA-fct,NA,NA,59.034416,NA,NA,0.4,0.1,NA,NA,NA,NA,12.1,1.8,NA,4,0.3,10,NA,NA,NA,0.03,0.04,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Plantains,1313.01,"plantain, raw",Fruits and Vegetables,plantains and products,h,regional-SSA-fct,NA,NA,149,NA,NA,1.1,0.3,NA,NA,NA,NA,34.3,2.3,NA,7,1.1,37,NA,NA,NA,0.1,0.08,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Potatoes,1510.01,"potatoes, raw",Roots and Tubers,potatoes and products,h,regional-SSA-fct,NA,NA,77.676864,NA,NA,1.5,0.1,NA,NA,NA,NA,15.9,1.5,NA,6,1.2,15,NA,NA,NA,0.29,0.09,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,S
NA,Poultry Meat,21121.01,"chicken meat, fresh, raw",Animal Products,poultry meat and products,m,regional-SSA-fct,NA,NA,117.351816,NA,NA,23,2.7,NA,NA,NA,NA,0,0,NA,14,1.1,28,NA,NA,NA,0.74,0.06,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Pulses, Other",1704.01,"lentils, dried, raw",Pulses and Beans,"pulses, other and products",m,regional-SSA-fct,NA,NA,354.923518,NA,NA,28.1,1,NA,NA,NA,NA,41.2,15.9,NA,51,9,107,NA,NA,NA,3.61,0.85,NA,0,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154,S
NA,Rape and Mustard Oil,21641.01.01,rape seed oil,Other foods,rape and mustard oil and products,l,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Rice (Milled Equivalent),23120.01.01,"rice flour, white",Cereals,rice and products,m,regional-SSA-fct,NA,NA,362,NA,NA,6,1.4,NA,NA,NA,NA,77.7,2.4,NA,10,0.4,35,NA,NA,NA,0.8,0.13,NA,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,S
NA,Ricebran Oil,21691.01.01,"rice bran, oil",Cereals,ricebran oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Roots, Other",1550.01,"taros, raw",Roots and Tubers,"roots, other and products",m,regional-SSA-fct,NA,NA,115.43977,NA,NA,1.5,0.2,NA,NA,NA,NA,22.4,4.1,NA,43,0.6,33,NA,NA,NA,0.23,0.17,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,S
NA,Rye,116.01,"rye grain, unrefined, raw ",Cereals,rye and products,l,regional-SSA-fct,NA,NA,351.099426,NA,NA,11.9,1.8,NA,NA,NA,NA,59.9,10.7,NA,8,2.4,68,NA,NA,NA,1.92,0.27,NA,10,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,S
NA,Sesameseed,1444.01,sesame seeds,Pulses and Beans,sesame seed and products,h,regional-SSA-fct,NA,NA,630.01912,NA,NA,26.4,54.8,NA,NA,NA,NA,6.4,3,NA,131,7.8,347,NA,NA,NA,10.25,2.15,NA,0,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710,S
NA,Sesameseed Oil,21691.07.01,sesame seed oil,Pulses and Beans,sesameseed oil and products,h,regional-SSA-fct,NA,NA,884,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Sorghum,114.01,"sorghum grain, raw",Cereals,sorghum and products,h,regional-SSA-fct,NA,NA,339,NA,NA,11.3,3.3,NA,NA,NA,NA,65.6,9,NA,15,4.1,34,NA,NA,NA,0.8,0.3,NA,10,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,S
NA,Soyabean Oil,2161.01,soybean oil,Pulses and Beans,soyabean oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Soyabeans,141.01,"soybeans, dried, raw",Pulses and Beans,soyabeans and products,h,regional-SSA-fct,NA,NA,446.940726,NA,NA,36.5,19.9,NA,NA,NA,NA,17.7,12.5,NA,277,15.7,280,NA,NA,NA,4.89,1.66,NA,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1473,S
NA,"Spices, Other",1699.01,turmeric roots,Other foods,"spices, other and products",m,regional-SSA-fct,NA,NA,382.887189,NA,NA,7.8,9.9,NA,NA,NA,NA,43.8,21.1,NA,183,41.4,193,NA,NA,NA,4.35,0.6,NA,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Sugar (Raw Equivalent),23520.01,"sugar, white",Other foods,sugar (raw equivalent) and products,h,regional-SSA-fct,NA,NA,405.831739,NA,NA,0,0,NA,NA,NA,NA,99.9,0,NA,1,0.1,0,NA,NA,NA,0.03,0.04,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Sugar Beet,1801.01,"beetroots, sugar, raw",Other foods,sugar beet and products,h,regional-SSA-fct,NA,NA,40.630975,NA,NA,1.6,0.1,NA,NA,NA,NA,5.8,2.4,NA,17,0.8,26,NA,NA,NA,0.29,0.08,NA,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Sugar Cane,1802.01,sugar canes,Other foods,sugar cane and products,h,regional-SSA-fct,NA,NA,26,NA,NA,0,0,NA,NA,NA,NA,6.8,0,NA,6,0.1,2,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,"Sugar, Non-Centrifugal",23511.02.01,"syrups, sugar cane",Other foods,sugar non-centrifugal and products,m,regional-SSA-fct,NA,NA,56,NA,NA,0,0,NA,NA,NA,NA,14.6,0,NA,13,0.3,4,NA,NA,NA,0,0.1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Sunflowerseed,1445.01,"sunflower seeds, dried",Other foods,sunflower seed and products,h,regional-SSA-fct,NA,NA,607.552581,NA,NA,22.8,49.6,NA,NA,NA,NA,12.2,6.6,NA,116,6.8,354,NA,NA,NA,5.06,1.75,NA,0,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5160,S
NA,Sunflowerseed Oil,21631.01.01,sunflower oil,Other foods,sunflowerseed oil and products,h,regional-SSA-fct,NA,NA,884.321223,NA,NA,0,100,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Sweet Potatoes,1530.01,"sweet potato, white-flesh, raw",Roots and Tubers,sweet potatoes and products,m,regional-SSA-fct,NA,NA,77.198852,NA,NA,1.1,0.1,NA,NA,NA,NA,15.6,2.1,NA,12,0.3,13,NA,NA,NA,0.18,0.11,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,S
NA,"Sweeteners, Other",23210.01.01,"fructose, powder",Other foods,"sweeteners, other and products",m,regional-SSA-fct,NA,NA,368,NA,NA,0,0,NA,NA,NA,NA,100,0,NA,0,0.1,0,NA,NA,NA,0,0.2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Tea,23914.01,tea beverages,Other foods,tea (including mate) and products,m,regional-SSA-fct,NA,NA,1.195028,NA,NA,0,0,NA,NA,NA,NA,0.3,0,NA,0,0,3,NA,NA,NA,0.02,0.01,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Tomatoes,1234.01,"tomatoes, raw",Fruits and Vegetables,tomatoes and products,h,regional-SSA-fct,NA,NA,21.749521,NA,NA,0.9,0.2,NA,NA,NA,NA,2.9,1.1,NA,8,0.2,11,NA,NA,NA,0.16,0.07,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,S
NA,"Vegetables, Other",1212.02,"cabbages, chinese, raw",Fruits and Vegetables,"vegetables, other and products",m,regional-SSA-fct,NA,NA,20.793499,NA,NA,0.9,0.1,NA,NA,NA,NA,2.2,1.8,NA,40,0.4,7,NA,NA,NA,0.14,0,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,S
NA,Wheat,111.01,"wheat grain, unrefined",Cereals,wheat and products,m,regional-SSA-fct,NA,NA,351.099426,NA,NA,11.9,1.8,NA,NA,NA,NA,59.9,10.7,NA,8,2.4,68,NA,NA,NA,1.92,0.27,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,S
NA,Wine,24212.02.02,"wine, red",Other foods,wine and products,m,regional-SSA-fct,NA,NA,71.70172,NA,NA,0.2,0,NA,NA,NA,NA,1.4,0,NA,8,0.4,10,NA,NA,NA,0.07,0.01,NA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,S
NA,Yams,1540.01,"yams, raw",Roots and Tubers,yams and products,h,regional-SSA-fct,NA,NA,97,NA,NA,2.1,0.1,NA,NA,NA,NA,21.7,1.2,NA,8,0.8,26,NA,NA,NA,0.5,0.17,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,S
