"ref_fctcode","ID_3","FoodName_3","FoodName_0","FoodName_1","fe2_confidence"
"30014","22290.01","sour milk, traditional","Animal Products","milk - (excluding excluding butter butter) and products","l"
"140001","24310.04.01","beer, sorghum grain","Cereals","beverages, fermented and products","m"
"140001","24310.02.01","beer, maize grain","Cereals","beverages, fermented and products","m"
