"region","food_item","energy","carbohydrates_available","protein","fat","fibre","phytate","ca","cu","fe","i","mg","se","zn"
"W","Nuts","Cashew nut, raw_f","Cashew nut, raw_f","Cashew nut, raw_f","Cashew nut, raw_f","Cashew nut, raw_f","Cashewnut_d","Cashew nut, raw_f","Cashew nut, raw_f","Cashew nut, raw_f","Cashew nut, raw_f","Cashew nut, raw_f","Cashew nut, raw_f","Cashew nut, raw_f"
"W","Oats","Oats, rolled or oatmeal, uncooked_l","Oats, rolled or oatmeal, uncooked_l","Oats, rolled or oatmeal, uncooked_l","Oats, rolled or oatmeal, uncooked_l","Oats, rolled or oatmeal, uncooked_l","Wheat, flour, whole grain_d","Oats, rolled or oatmeal, uncooked_l","Oats, rolled or oatmeal, uncooked_l","Oats, rolled or oatmeal, uncooked_l","Wheat flour, white_f","Oats, rolled or oatmeal, uncooked_l","Wheat flour, white_f","Oats, rolled or oatmeal, uncooked_l"
"W","Offals, Edible","Beef liver, raw_f","Beef liver, raw_f","Beef liver, raw_f","Beef liver, raw_f","Beef liver, raw_f","Beef, tripe_d","Beef liver, raw_f","Beef liver, raw_f","Beef liver, raw_f","Liver, lamb, raw_g","Beef liver, raw_f","Beef liver, raw_f","Beef liver, raw_f"
"W","Oilcrops Oil, Other","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_f","Vegetable oil_d","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil_d","Vegetable oil_d","Sunflower oil_g","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Palm oil_f","Vegetable oil_d"
"W","Oilcrops, Other","Linseed_l","Linseed_l","Linseed_l","Linseed_l","Linseed_l","Sesame seed_d","Linseed_l","Linseed_l","Linseed_l","x_x","Linseed_l","Spices, poppy seed_e","Linseed_l"
"W","Olive Oil","Olive oil_l","Olive oil_l","Olive oil_l","Olive oil_l","Olive oil_l","Vegetable oil_d","Olive oil_l","Olive oil_l","Olive oil_l","Olive oil_g","Olive oil_l","Oil, olive, salad or cooking_e","Olive oil_l"
"W","Olives","Olive, ripe, canned, drained, pitted_l","Olive, ripe, canned, drained, pitted_l","Olive, ripe, canned, drained, pitted_l","Olive, ripe, canned, drained, pitted_l","Olive, ripe, canned, drained, pitted_l","x_x","Olive, ripe, canned, drained, pitted_l","Olive, ripe, canned, drained, pitted_l","Olive, ripe, canned, drained, pitted_l","x_x","Olive, ripe, canned, drained, pitted_l","Olives, pickled, canned or bottled, green_e","Olive, ripe, canned, drained, pitted_l"
"W","Onions","Onion, raw_f","Onion, raw_f","Onion, raw_f","Onion, raw_f","Onion, raw_f","Onions_j","Onion, raw_f","Onion, raw_f","Onion, raw_f","Onion, raw_f","Onion, raw_f","Onion, raw_f","Onion, raw_f"
"W","Oranges, Mandarines","Orange, raw_f","Orange, raw_f","Orange, raw_f","Orange, raw_f","Orange, raw_f","Oranges_j","Orange, raw_f","Orange, raw_f","Orange, raw_f","Orange, raw_f","Orange, raw_f","Orange, raw_f","Orange, raw_f"
"W","Palm Oil","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_j","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_f"
"W","Palmkernel Oil","Palm kernel oil_l","Palm kernel oil_l","Palm kernel oil_l","Palm kernel oil_l","Palm kernel oil_l","Palm oil_d","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_f","Palm oil_f"
"W","Peas","Peas, raw_l","Peas, raw_l","Peas, raw_l","Peas, raw_l","Peas, raw_l","Pea, green, fresh_d","Peas, raw_l","Peas, raw_l","Peas, raw_l","Peas, raw_g","Peas, raw_l","Peas, raw_f","Peas, raw_l"
"W","Pelagic Fish","Mackerel, spanish, raw_f","Mackerel, spanish, raw_f","Mackerel, spanish, raw_f","Mackerel, spanish, raw_f","Mackerel, spanish, raw_f","Fish (unspecified) flesh only_j","Mackerel, spanish, raw_f","Mackerel, spanish, raw_f","Mackerel, spanish, raw_f","Sardine, raw_f","Mackerel, spanish, raw_f","Mackerel, spanish, raw_f","Mackerel, spanish, raw_f"
"W","Pepper","Pepper, black_k","Pepper, black_k","Pepper, black_k","Pepper, black_k","Pepper, black_l","x_x","Pepper, black_k","Pepper, black_l","Pepper, black_k","x_x","Pepper, black_l","Spices, pepper, black_e","Pepper, black_k"
"W","Pigmeat","Pork, meat, approx. 40%fat, raw_f","Pork, meat, approx. 40%fat, raw_f","Pork, meat, approx. 40%fat, raw_f","Pork, meat, approx. 40%fat, raw_f","Pork, meat, approx. 40%fat, raw_f","Pork, medium fat, cooked_d","Pork, meat, approx. 40%fat, raw_f","Pork, meat, approx. 40%fat, raw_f","Pork, meat, approx. 40%fat, raw_f","Pork, meat, approx. 40%fat, raw_f","Pork, meat, approx. 40%fat, raw_f","Pork, meat, approx. 40%fat, raw_f","Pork, meat, approx. 40%fat, raw_f"
"W","Pimento","Chilli pepper, fresh_j","Chilli pepper, fresh_j","Chilli pepper, fresh_j","Chilli pepper, fresh_j","Chilli pepper, fresh_j","Chilli pepper, fresh_j","Hot Pepper_h","Hot Pepper_h","Chilli pepper, fresh_j","Peppers, capsicum, green, boiled in salted water_g","Chilli pepper, fresh_j","Peppers, hot chili, red, raw_e","Hot Pepper_h"
"W","Pineapples","Pineapple, pulp, raw_f","Pineapple, pulp, raw_f","Pineapple, pulp, raw_f","Pineapple, pulp, raw_f","Pineapple, pulp, raw_f","Pineapple, raw, all variety_d","Pineapple, pulp, raw_f","Pineapple, pulp, raw_f","Pineapple, pulp, raw_f","Pineapple, pulp, raw_f","Pineapple, pulp, raw_f","Pineapple, pulp, raw_f","Pineapple, pulp, raw_f"
"W","Plantains","Plantain, ripe, raw_f","Plantain, ripe, raw_f","Plantain, ripe, raw_f","Plantain, ripe, raw_f","Plantain, ripe, raw_f","Banana, ripe_d","Plantain, ripe, raw_f","Plantain, ripe, raw_f","Plantain, ripe, raw_f","Banana, fruit, raw_f","Plantain, ripe, raw_f","Plantain, ripe, raw_f","Plantain, ripe, raw_f"
"W","Potatoes","Potato, raw_f","Potato, raw_f","Potato, raw_f","Potato, raw_f","Potato, raw_f","Potato, raw, with skin_d","Potato, raw_f","Potato, raw_f","Potato, raw_f","Potato, raw_f","Potato, raw_f","Potato, raw_f","Potato, raw_f"
"W","Poultry Meat","Chicken, flesh only, raw_f","Chicken, flesh only, raw_f","Chicken, flesh only, raw_f","Chicken, flesh only, raw_f","Chicken, flesh only, raw_f","Chicken, boiled_j","Chicken, flesh only, raw_f","Chicken, flesh only, raw_f","Chicken, flesh only, raw_f","Chicken, flesh only, raw_f","Chicken, flesh only, raw_f","Chicken, flesh only, raw_f","Chicken, flesh only, raw_f"
"W","Pulses, Other","Cowpea, dried, raw_f","Cowpea, dried, raw_f","Cowpea, dried, raw_f","Cowpea, dried, raw_f","Cowpea, dried, raw_f","Pigeon peas, raw_d","Cowpea, dried, raw_f","Cowpea, dried, raw_f","Cowpea, dried, raw_f","x_x","Cowpea, dried, raw_f","Cowpea, dried, raw_f","Cowpea, dried, raw_f"
"W","Rape and Mustard Oil","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil_d","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Rapeseed oil_g","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil, mustard_e","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l"
"W","Rice (Milled Equivalent)","Rice, white, raw_f","Rice, white, raw_f","Rice, white, raw_f","Rice, white, raw_f","Rice, white, raw_f","Rice, white, grain, raw_d","Rice, white, raw_f","Rice, white, raw_f","Rice, white, raw_f","Rice, polished, raw_f","Rice, white, raw_f","Rice_c","Rice, white, raw_f"
"W","Ricebran Oil","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil_d","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Vegetable oil, blended, average_g","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l","Oil, vegetable, rice bran_e","Vegetable oil (50% sunflower, 30% maize, 20% peanut)_l"
"W","Roots, Other","Taro, tuber, raw_f","Taro, tuber, raw_f","Taro, tuber, raw_f","Taro, tuber, raw_f","Taro, tuber, raw_f","Taro, raw_d","Taro, tuber, raw_f","Taro, tuber, raw_f","Taro, tuber, raw_f","x_x","Taro, tuber, raw_f","Taro, tuber, raw_f","Taro, tuber, raw_f"
"W","Rye","Wheat, whole_l","Wheat, whole_l","Wheat, whole_l","Wheat, whole_l","Wheat, whole_l","Wheat, flour, whole grain_d","Wheat, whole_l","Wheat, flour, whole grain_d","Wheat flour, white_f","Wheat flour, white_f","Wheat, whole_l","Rye_e","Wheat flour, white_f"
"W","Sesameseed","Sesame seeds, raw_f","Sesame seeds, raw_f","Sesame seeds, raw_f","Sesame seeds, raw_f","Sesame seeds, raw_f","Sesame seed_d","Sesame seeds, raw_f","Sesame seed, dried, hulled_l","Sesame seeds, raw_f","x_x","Sesame seed, dried, hulled_l","Seeds, sesame seeds, whole, dried_e","Sesame seed, dried, hulled_l"
"W","Sesameseed Oil","Sesame oil_d","Sesame oil_d","Sesame oil_d","Sesame oil_d","Sesame oil_d","Sesame oil_d","Sesame oil_d","Sesame oil_d","Sesame oil_d","Sesame oil_g","Sesame oil_d","Oil, sesame, salad or cooking_e","Sesame oil_d"
"W","Sorghum","Sorghum, whole grain, raw_f","Sorghum, whole grain, raw_f","Sorghum, whole grain, raw_f","Sorghum, whole grain, raw_f","Sorghum, whole grain, raw_f","Sorghum Flour_j","Sorghum, whole grain, raw_f","Sorghum, whole grain, raw_f","Sorghum, whole grain, raw_f","Wheat flour, white_f","Sorghum, whole grain, raw_f","Sorghum, whole grain, raw_f","Sorghum, whole grain, raw_f"
