"ref_fctcode","ID_3","confidence","fct"
"5004","1312.01","m","KE18"
"1031","23710.01","m","KE18"
"2014","1530.02","m","KE18"
"4016","1232.01","m","KE18"
"6001","22241.01.01","h","KE18"
"12004","F0665.01","m","KE18"
"10010","1379.9.01","l","KE18"
"15026","F0022.05","h","KE18"
"13028","1699.03","h","KE18"
"12005","23914.02","m","KE18"
"13031","21399.01.01","m","KE18"
"10006","1442.01","h","KE18"
"5009","1491.02.01","l","KE18"
"1041","1199.9.01","m","KE18"
"1045","111.01","m","KE18"
"3001","1701.05","m","KE18"
"3010","1703.01","m","KE18"
"13023","1253.02.01","l","KE18"
"2009","1510.01","m","KE18"
"10009","142.01","l","KE18"
"13006","1652.01","m","KE18"
"13007","1652.02","m","KE18"
"7009","21121.03","h","KE18"
"8010","1501.05","m","KE18"
"1007","F0020.01","m","KE18"
"6008","22241.02.01","h","KE18"
"1034","23161.01.01","m","KE18"
"13017","1699.07","h","KE18"
"3019","1709.9.01","m","KE18"
"10014","1444.01","m","KE18"
"10015","1445.01","m","KE18"
"4019","1212.04","m","KE18"
"4022","1214.01","h","KE18"
"13019","1252.01","m","KE18"
"5024","1317.01","m","KE18"
"4011","1251.01","m","KE18"
"2005","1290.9.01","m","KE18"
"8002","1505.07","h","KE18"
"4034","1290.9.02","m","KE18"
"2004","1313.01","m","KE18"
"4001","1215.02","m","KE18"
"1023","1290.01.01","h","KE18"
"1051","1290.01.03","m","KE18"
"13024","1253.01.01","h","KE18"
"6007","22120.02","h","KE18"
"13011","1290.9.03","h","KE18"
"7020","21113.02.01","h","KE18"
"15125","F0022.08","h","KE18"
"13015","1699.10","h","KE18"
"4013","1290.9.04","h","KE18"
"1005","F0020.02","m","KE18"
"5012","1319.01","m","KE18"
"7019","21115.01","m","KE18"
"10003","1460.02","m","KE18"
"9011","21700.02.02","m","KE18"
"9001","F1243.02","m","KE18"
"5028","1342.01.01","m","KE18"
"4014","1235.04","m","KE18"
"4037","21399.02.01","m","KE18"
"1030","23710.02","h","KE18"
"15081","23914.03","m","KE18"
"6019","22110.02.01","h","KE18"
"5025","1319.02","h","KE18"
"8011","1553.02","h","KE18"
