"ref_fctcode","ID_3","confidence","fct"
"03_008","141.01","h","WA19"
"07_003","21121.03","m","WA19"
"07_030","21121.01","m","WA19"
"08_002","231.02","h","WA19"
"08_001","231.01","h","WA19"
"14_001","1533.01","l","WA19"
"09_043","1501.03","h","WA19"
"07_046","21116.01","m","WA19"
"10_029","2211.01","h","WA19"
"07_072","21115.01","m","WA19"
"07_006","21113.02.01","m","WA19"
"07_007","21114.01","h","WA19"
"04_005","1212.03","h","WA19"
"04_053","1214.04","m","WA19"
"04_017","1239.01.01","h","WA19"
"04_018","1253.02.01","h","WA19"
"04_051","1235.01","m","WA19"
"04_021","1234.01","m","WA19"
"05_026","1341.01","m","WA19"
"05_002","1311.01","h","WA19"
"05_003","1312.01","m","WA19"
"05_010","1316.02","h","WA19"
"05_037","1316.01","l","WA19"
"05_017","1317.01","h","WA19"
"05_018","1318.01","h","WA19"
"11_007","2165.01","l","WA19"
"01_101","23140.07.01","m","WA19"
"04_011","1699.08","m","WA19"
"04_003","1241.9.02","h","WA19"
"09_004","1527.02","h","WA19"
"02_002","1520.02.01","h","WA19"
"09_053","1505.00.01","l","WA19"
"09_007","1503.04","h","WA19"
"09_015","1503.05","h","WA19"
"09_018","1503.06","h","WA19"
"09_060","1503.07","h","WA19"
"09_032","1503.02","h","WA19"
"09_041","1503.08","h","WA19"
"01_074","111.01","h","WA19"
"01_082","23110.01","h","WA19"
"01_079","23120.01.01","h","WA19"
"01_001","1193.03","h","WA19"
"02_019","1540.01","l","WA19"
"13_001","2910.01","h","WA19"
"03_030","1704.01","h","WA19"
"06_001","1372.01","m","WA19"
"06_010","21421.01","h","WA19"
"06_002","1460.01","h","WA19"
"06_015","1444.01","m","WA19"
"11_009","2161.01","m","WA19"
"11_003","2162.01","m","WA19"
"11_016","21631.01.01","m","WA19"
"11_012","21691.14.01","m","WA19"
"11_002","2166.01","m","WA19"
"11_014","2167.01","m","WA19"
"11_013","21691.02.01","m","WA19"
"11_010","34550.01","m","WA19"
"05_016","1323.01","h","WA19"
"05_014","1322.01","h","WA19"
"05_035","1321.02","l","WA19"
"05_031","1314.01","h","WA19"
"05_051","1330.01","h","WA19"
"12_005","23912.02.01","h","WA19"
"12_008","23914.01","h","WA19"
"13_014","1651.01","m","WA19"
"04_046","1652.01","l","WA19"
"12_004","24310.04.01","h","WA19"
"07_009","21111.02.01","m","WA19"
"07_001","21151.02","h","WA19"
"11_015","22241.02.01","h","WA19"
"09_055","1553.01","l","WA19"
"09_006","1514.01","h","WA19"
"09_018","1501.02","m","WA19"
"09_003","1527.01","l","WA19"
"09_037","1532.01","l","WA19"
"06_029","1491.02.01","l","WA19"
"01_163","23120.01.02","l","WA19"
"04_002","21393.9.01","h","WA19"
"04_081","21393.9.02","h","WA19"
"04_031","21393.9.03","h","WA19"
"04_014","21393.9.04","h","WA19"
"04_075","21393.9.05","h","WA19"
"04_077","21393.9.06","h","WA19"
"04_044","21393.9.07","h","WA19"
"04_055","21393.9.08","h","WA19"
"04_071","21393.9.09","h","WA19"
"04_062","21393.9.10","h","WA19"
"04_083","21393.9.11","h","WA19"
"09_057","1555.01","h","WA19"
"07_019","21155.03","h","WA19"
"07_021","21155.04","h","WA19"
"07_053","21155.01","h","WA19"
"07_051","21155.02","h","WA19"
"07_039","21160.01.01","h","WA19"
"07_041","21160.01.02","h","WA19"
"07_017","21182.01","h","WA19"
"07_027","21183.01","h","WA19"
"07_044","21170.92.04","h","WA19"
"13_008","F1232.11","h","WA19"
"03_154","F1232.15","h","WA19"
"04_0162","1290.9.12","h","WA19"
"05_011","1359.9.03","h","WA19"
"10_016","22221.01.01","h","WA19"
"01_034","23162.03","h","WA19"
"01_065","23162.04","h","WA19"
"01_067","23161.01.04","h","WA19"
"01_036","23161.01.01","l","WA19"
"01_045","F0022.09","h","WA19"
"01_189","F0022.14","h","WA19"
"04_012","1233.01","h","WA19"
"04_074","1290.9.09","h","WA19"
"03_005","1706.03","h","WA19"
"03_027","1706.03","h","WA19"
"03_006","1706.03","h","WA19"
"02_041","23170.01.02","h","WA19"
"02_040","23170.01.03","h","WA19"
"07_014","21111.02.03","m","WA19"
"07_002","21111.02.02","m","WA19"
"02_084","1313.03","h","WA19"
"01_041","114.02","h","WA19"
"01_040","114.03","h","WA19"
"01_099","F1232.16","m","WA19"
"13_006","1652.02","m","WA19"
"12_020","24310.01.02","h","WA19"
"01_182","23140.03.01","m","WA19"
"10_018","2293.01","h","WA19"
"10_003","2292.01","h","WA19"
"10_023","2291.01","h","WA19"
"09_001","1527.03","h","WA19"
"01_100","F1232.17","h","WA19"
"01_168","F1232.05","m","WA19"
"02_039","23170.01.04","h","WA19"
"02_005","1591.01","h","WA19"
"02_043","1591.02","h","WA19"
"04_008","1219.01.01","h","WA19"
"05_012","1359.9.01","h","WA19"
"04_001","1359.9.02","h","WA19"
"12_009","23912.02.02","m","WA19"
"13_017","F1232.06","h","WA19"
"14_033","F1232.18","h","WA19"
"14_034","F1232.19","h","WA19"
"06_039","1449.9.02","h","WA19"
"06_013","1449.01.01","h","WA19"
"01_046","F0020.01","m","WA19"
"11_011","22241.01.02","h","WA19"
"11_001","22241.01.01","m","WA19"
"10_015","22222.01.01","h","WA19"
"04_082","1657.01","h","WA19"
"04_023","1215.02","h","WA19"
"04_004","1239.01.02","h","WA19"
"09_002","1529.01","h","WA19"
"09_049","1529.05","h","WA19"
"09_050","1529.06","h","WA19"
"09_071","1533.09","h","WA19"
"09_014","1533.10","h","WA19"
"09_074","1533.11","h","WA19"
"07_066","21170.92.06","h","WA19"
"07_067","21170.92.05","h","WA19"
"02_093","F1232.20","m","WA19"
"02_091","F1232.21","m","WA19"
"02_092","F1232.22","m","WA19"
"09_038","1516.01","h","WA19"
"09_052","1516.02","h","WA19"
"09_084","1520.08","h","WA19"
"09_040","1520.09","h","WA19"
"09_047","1520.10","h","WA19"
"04_040","1214.01","h","WA19"
"09_058","1553.02","m","WA19"
"05_054","1319.05","h","WA19"
"05_050","1319.06","h","WA19"
"06_026","21495.02.01","h","WA19"
"06_018","1379.02","h","WA19"
"01_052","23710.02","h","WA19"
"04_066","21399.01.02","h","WA19"
"01_035","23162.02","h","WA19"
"01_073","39120.01.01","h","WA19"
"07_023","21184.01.02","h","WA19"
"10_012","23991.01.04","h","WA19"
"10_011","23991.01.03","h","WA19"
"13_024","F1232.03","h","WA19"
"12_025","141.03","h","WA19"
"12_013","21439.9.02","h","WA19"
"09_025","1533.03","h","WA19"
"10_025","22230.01.02","h","WA19"
"10_026","22230.02.01","h","WA19"
"02_021","1520.02.02","h","WA19"
"9008","2167.01","h","KE18"
"5022","21431.01","h","KE18"
"9009","2162.01","h","KE18"
"5030","1318.01","h","KE18"
"12007","24212.02.02","h","KE18"
"3021","1707.01","h","KE18"
"1009","23140.03.01","m","KE18"
"6022","2211.01","m","KE18"
"4026","1239.01.01","h","KE18"
"3022","141.01","h","KE18"
"4028","1214.04","h","KE18"
"6026","22230.01.01","m","KE18"
"7021","21114.01","h","KE18"
"12008","24212.02.01","m","KE18"
"9013","21631.01.01","h","KE18"
"8007","1527.01","h","KE18"
"5036","1324.01","m","KE18"
"9012","2161.01","h","KE18"
"15110","1510.02","m","KE18"
"5010","1330.01","m","KE18"
"5003","1311.01","m","KE18"
"3011","1706.01","h","KE18"
"5023","1323.01","m","KE18"
"6018","22211.01","m","KE18"
"7011","231.01","h","KE18"
"5015","1322.01","m","KE18"
"3004","1701.03","h","KE18"
"9005","21700.02.01","l","KE18"
"1004","F0022.03","m","KE18"
"13002",NA,"m","KE18"
"4030","1215.01","h","KE18"
"11001","2910.01","h","KE18"
"5017","1322.02","m","KE18"
"6006","22251.01.01","m","KE18"
"1019","112.02","h","KE18"
"1018","112.01","h","KE18"
"5019","1316.04","m","KE18"
"2016","1550.01","h","KE18"
"12003","23912.02.01","m","KE18"
"13026","1651.01","m","KE18"
"7003","21151.02","m","KE18"
"3020","1704.01","m","KE18"
"13009","1656.01","m","KE18"
"11003","23520.01","m","KE18"
"4005","1212.02","h","KE18"
"7027","231.02","m","KE18"
"4007","1212.03","h","KE18"
"10001","1708.01","h","KE18"
"1025","118.03","l","KE18"
"2013","1530.08","l","KE18"
"1032","23120.01.01","m","KE18"
"7004","21111.01.02","m","KE18"
"1039","114.03","h","KE18"
"4036","1234.02","m","KE18"
"4032","1235.02","m","KE18"
"7016","21116.03","h","KE18"
"1027","118.02","m","KE18"
"3016","1705.01","m","KE18"
"2019","1540.01","m","KE18"
"2007","1520.01.01","m","KE18"
"5004","1312.01","m","KE18"
"1031","23710.01","m","KE18"
"2014","1530.02","m","KE18"
"4016","1232.01","m","KE18"
"6001","22241.01.01","h","KE18"
"12004","F0665.01","m","KE18"
"10010","1379.9.01","l","KE18"
"15026","F0022.05","h","KE18"
"13028","1699.03","h","KE18"
"12005","23914.02","m","KE18"
"13031","21399.01.01","m","KE18"
"10006","1442.01","h","KE18"
"5009","1491.02.01","l","KE18"
"1041","1199.9.01","m","KE18"
"1045","111.01","m","KE18"
"3001","1702.02","m","KE18"
"3010","1703.01","m","KE18"
"13023","1253.02.03","h","KE18"
"2009","1510.01","m","KE18"
"10009","142.01","l","KE18"
"13006","1652.01","m","KE18"
"13007","1652.02","m","KE18"
"7009","21121.03","h","KE18"
"8010","1501.05","m","KE18"
"1007","F0020.01","m","KE18"
"6008","22241.02.01","h","KE18"
"1034","23161.02.01","m","KE18"
"13017","1699.07","h","KE18"
"3019","1709.9.01","m","KE18"
"10014","1444.01","m","KE18"
"10015","1445.01","m","KE18"
"4019","1212.04","m","KE18"
"4022","1214.01","h","KE18"
"13019","1252.01","m","KE18"
"5024","1317.01","m","KE18"
"4011","1251.01","m","KE18"
"2005","1290.9.01","m","KE18"
"8002","1505.07","h","KE18"
"4034","1290.9.02","m","KE18"
"2004","1313.01","m","KE18"
"4001","1215.02","m","KE18"
"1023","1290.01.01","h","KE18"
