"ref_fctcode","ID_3","confidence","fct"
"6076","F1232.11","h","US19"
"6081","F1232.12","h","US19"
"6981","F1232.14","h","US19"
"5335","F1061.03","h","US19"
"9312","1319.03","h","US19"
"9145","1319.04","h","US19"
"25050","1520.01.04","m","US19"
"14555","2899.01.01","m","US19"
"20005","23140.05.01","h","US19"
"15175","1570.01","h","US19"
"15166","1570.03","h","US19"
"11940","21340.01","m","US19"
"11564","1251.02","h","US19"
"19304","23540.01","h","US19"
"6961","F1232.04","l","US19"
"2047","1699.02","h","US19"
"11216","1657.01","h","US19"
"43406","F1232.06","h","US19"
"18369","F1232.07","l","US19"
"14278","23914.04","h","US19"
"35238","23914.05","h","US19"
"16088","142.05","m","US19"
"4025","F1232.01","m","US19"
"14054","F0666.02","h","US19"
"14181","F0666.03","h","US19"
"14083","22290.06","h","US19"
"14177","22290.07","h","US19"
"14182","22290.08","h","US19"
"14318","22290.09","h","US19"
"43369","22290.10","h","US19"
"15020","1514.03","h","US19"
"16006","F1232.23","m","US19"
"13353","F1232.24","m","US19"
"90480","23210.04.01","m","US19"
"5332","21121.02","h","US19"
"10219","21113.02.02","h","US19"
"19078","F0666.04","h","US19"
"19163","23670.01.04","h","US19"
"11670","1652.03","h","US19"
"14238","21439.9.05","h","US19"
"14240","21439.9.06","h","US19"
"14241","21439.9.07","h","US19"
"14282","21439.9.08","h","US19"
"14327","21439.9.09","h","US19"
"14334","21439.9.10","h","US19"
"14341","21439.9.11","h","US19"
"10994","21181.01","m","US19"
"9149","1329.01","h","US19"
"19334","2351F.01","h","US19"
"43031","F0666.05","m","US19"
"4058","21691.07.01","m","US19"
"11886","21321.01","m","US19"
"11655","21329.01","h","US19"
"11170","21399.03.01","h","US19"
"19162","23670.01.01","m","US19"
"20028","F1232.25","h","US19"
"9032","21419.01.01","h","US19"
"9094","21419.02.01","h","US19"
"9291","21412.01","h","US19"
"20004","115.01","h","US19"
"19400","F0623.06","h","US19"
"16090","142.04","h","US19"
"3186","23991.01.07","h","US19"
"3190","23991.01.08","h","US19"
"3193","23991.01.11","h","US19"
"3212","23991.01.09","h","US19"
"42285","23991.01.10","h","US19"
"16138","F1232.26","m","US19"
"10109","21521.01","m","US19"
"19107","23670.01.03","h","US19"
"19217","21439.9.04","l","US19"
"19283","22270.06","m","US19"
"14021","24490.03","m","US19"
"20062","116.01","h","US19"
"12220","1441.01","h","US19"
"4037","21691.01.01","h","US19"
"14037","2413.01","m","US19"
"24593","1522.02","h","US19"
"80200","1587.01","h","US19"
"9218","1324.02","h","US19"
"17174","21119.01.01","l","US19"
"5160","21170.01.01","m","US19"
"19300","23670.01.05","h","US19"
"11109","1212.01","h","US19"
