"ref_fctcode","ID_3","confidence","fct"
"5032","1359.9.06","h","KE18"
"5033","1353.01.01","h","KE18"
"5037","1359.9.07","h","KE18"
"13020","1699.11","h","KE18"
"4006","1212.05","h","KE18"
"2012","1290.9.09","m","KE18"
"2010","1290.9.11","h","KE18"
"2011","1290.9.12","h","KE18"
"1022","23120.03.01","m","KE18"
"8005","1503.01","h","KE18"
"8013","1514.02","h","KE18"
"8008","1505.08","h","KE18"
"2002","1599.1.02","h","KE18"
"4017","1233.01","h","KE18"
"4018","21393.9.05","h","KE18"
"4027","1235.01","h","KE18"
"4031","1290.9.13","h","KE18"
"4033","1290.9.14","h","KE18"
"15129","23161.02.05","h","KE18"
"1059","23161.02.07","h","KE18"
"15074","23161.02.06","h","KE18"
"1065","F1232.27","h","KE18"
"1063","F1232.28","h","KE18"
"3007","F1232.29","h","KE18"
