"source_fct","fdc_id","food_desc","scientific_name","food_group","nutrient_data_source","Edible_factor_in_FCT","ENERCkJ","ENERCkcal","WATERg","PROCNTg","FATg","CHOAVLDFg","FIBTGg","ASHg","CAmg","FEmg","MGmg","Pmg","Kmg","NAmg","ZNmg","SEmcg","VITA_RAEmcg","VITAmcg","RETOLmcg","CARTBEQmcg","THIAmg","RIBFmg","NIAmg","FOLDFEmcg","FOLFDmcg","VITB12mcg","VITCmg","CHOLEmg","OXALACmg","PHYTCPPDmg","TRPmg","FASATgstandardized","FAMSgstandardized","FAPUgstandardized","FATRNgstandardized","F20D5gstandardized","F22D6gstandardized","ALCg"
"KE18","1015","Cake, Sponge, without fat",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-311, UK7-11-957, KEN17-001014",1,1280,304,30,10,6.3,51.2,1.2,1.3,70,2,15,137,136,80,0.9,14,73,73,73,0,0.1,0.25,0.5,16,16,1.6,0,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1016","Cakes (Various Fancy Iced)",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-312, UK7-11-839",1,1730,412,15.7,13,16.8,51.5,1.1,1.9,45,1.5,10,148,147,250,0.3,3,0,0,0,0,0.03,0.5,0.5,7,7,0.2,0,31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1017","Cornflour, from maize starch",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-8, AU14-02A20108, US28-20027, UK7-11-1045",1,1510,355,10.6,0.5,0.4,87.1,0.6,0.8,12,0.7,3,24,7,10,0.2,2,0,0,0,0,0.02,0,0.2,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1018","Maize, grain, white variety, whole, dry, raw","Zea mays","CEREALS AND CEREAL PRODUCTS","SGS, ZA10-3271, IN17-A006",1,1450,345,13.6,7.94,4.5,63.4,9.4,1.2,24,2.6,75,367,226,12,1.88,8,0,0,0,0,0.25,0.1,2,71,71,0,0,NA,0,NA,0,0.60781725,1.321707375,1.572847875,0,0,0,0
"KE18","1047","Maize, grain, white variety, whole, dry, boiled, drained (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,469,111,72.1,2.6,1.5,20.5,3,0.4,9,0.8,25,112,59,5,0.58,3,0,0,0,0,0.04,0.02,0.5,16,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1048","Maize, grain, white variety, whole, dry, stewed (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,469,111,72.1,2.6,1.5,20.5,3,0.4,9,0.8,25,118,73,6,0.61,3,0,0,0,0,0.06,0.03,0.6,18,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1019","Maize, grain, yellow variety, whole, dry, raw","Zea mays","CEREALS AND CEREAL PRODUCTS","KEN93-12f, ZA10-3276, IN17-A006",1,1430,340,12.7,8.3,3.7,62.5,11.9,1,7,3.9,104,216,346,7,2.3,8.5,20,40,0,241,0.5,0.12,2.2,33,33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1049","Maize, grain, yellow variety, whole, dry, boiled, drained (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,463,110,71.8,2.7,1.2,20.2,3.8,0.4,4,1.3,34,66,90,4,0.7,3,6,12,0,70,0.08,0.03,0.5,7,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1050","Maize, grain, yellow variety, whole, dry, stewed, drained (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,NA,334,79,79.6,1.9,0.9,14.5,2.8,0.3,3,0.9,25,50,81,4,0.53,2,4,9,0,53,0.09,0.03,0.5,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1020","Maize meal, sifted, fortified, packaged, raw",NA,"CEREALS AND CEREAL PRODUCTS","SGS, ZA10-3398",1,1490,352,12.7,6.8,3,72.3,4.5,0.7,20,3.6,50,229,150,12,4.36,0,71,71,71.4,0,0.5,0.31,3.69,523,18,0,0,NA,0,NA,0,0.441225,0.95316525,0.986436,0,0,0,0
"KE18","1021","Maize, White, Degermed (Muthokoi)",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-16,ZA10-3274, ZA10-3451,US28-20522",1,1430,338,13.5,7.3,1.7,71.4,3.9,2.2,3,0.5,19,50,90,7,0.5,0,0,0,0,1.5,0.12,0.01,0.5,10,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1022","Maize, whole, flour, raw","Zea mays","CEREALS AND CEREAL PRODUCTS","SGS, IN17-'A006",1,1450,345,13.6,7.9,4.5,63.4,9.4,1.2,9,2.6,110,323,258,12,1.88,9,0,0,0,0,0.25,0.1,2,71,71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
