"source_fct","fdc_id","food_desc","scientific_name","food_group","nutrient_data_source","Edible_factor_in_FCT","ENERCkJ","ENERCkcal","WATERg","PROCNTg","FATg","CHOAVLDFg","FIBTGg","ASHg","CAmg","FEmg","MGmg","Pmg","Kmg","NAmg","ZNmg","SEmcg","VITA_RAEmcg","VITAmcg","RETOLmcg","CARTBEQmcg","THIAmg","RIBFmg","NIAmg","FOLDFEmcg","FOLFDmcg","VITB12mcg","VITCmg","CHOLEmg","OXALACmg","PHYTCPPDmg","TRPmg","FASATgstandardized","FAMSgstandardized","FAPUgstandardized","FATRNgstandardized","F20D5gstandardized","F22D6gstandardized","ALCg"
"KE18","1041","Teff, raw",NA,"CEREALS AND CEREAL PRODUCTS","US28-20142, KEN18-001025",1,1490,351,8.8,13.3,2.4,65.1,8,2.4,180,7.6,184,429,427,12,3.63,4,0,1,0,5,0.39,0.27,3.4,166,166,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1042","Wheat Flour-Atta","Triticum aestivum","CEREALS AND CEREAL PRODUCTS","KEN93-27b, AU14-02A20104,IN17-A019, IN17-A020",1,1410,334,11.7,11.4,1.8,62.4,11.3,1.4,34,3.8,117,283,331,2,2.33,39,0,0,0,2,0.5,0.14,3.5,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1043","Wheat Flour (refined/fortified/sifted packaged), raw","Triticum aestivum","CEREALS AND CEREAL PRODUCTS","SGS, IN17-A018, ZA10-3415",1,1480,349,12.2,11.2,1.6,70.7,3.6,0.7,35,5.6,31,183,129,2,0.87,0,93,93,93,2,0.91,0.57,5.9,577,42,0.7,0,NA,0,NA,100,0.2180448,0.1899048,0.662228,0,0,0,0
"KE18","1044","Wheat, whole, flour, raw","Triticum aestivum","CEREALS AND CEREAL PRODUCTS","SGS, KEN93-26a,IN17-A020",1,1380,328,12.5,11.3,2.5,58,14,1.7,39,4,125,315,366,3,3,48,0,1,0,3,0.43,0.14,2.7,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1045","Wheat, whole, grain, dry, raw","Triticum aestivum","CEREALS AND CEREAL PRODUCTS","SGS, KEN93-26a,IN17-A020",1,1380,328,12.5,11.6,2.5,57.8,14,1.7,39,4.9,122,205,358,2,3,47,0,1,0,5,0.39,0.13,2.7,57,57,0,0,NA,NA,NA,115,0.36144,0.36693,1.06812,0,0,0,0
"KE18","1061","Wheat, whole, grain, dry, boiled (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,777,184,50.8,6.5,1.4,32.5,7.9,1,23,2.8,69,109,161,2,1.43,26,0,0,0,3,0.11,0.05,1.1,22,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1062","Wheat, whole, grain, dry, stewed (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,777,184,50.8,6.5,1.4,32.5,7.9,1,23,2.8,69,115,201,3,1.51,26,0,0,0,3,0.16,0.07,1.4,26,26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2001","Arrowroot, flour","Colocasia esculenta","STARCHY ROOTS, TUBERS AND BANANAS","KEN93-29c, AU14-02A20100",1,1410,331,16.5,0.2,0.2,81.8,0.9,0.5,33,1,4,7,11,2,0.57,0,0,0,0,0,0.1,0.02,0.48,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2002","Arrowroot, peeled, raw","Maranta arundinacea","STARCHY ROOTS, TUBERS AND BANANAS","KEN93-29a, K006, US28-11697, UK7-11-001",0.76,461,109,70.9,3.2,0.3,22.3,NA,1.3,6,1.1,25,43,685,36,1,1,1,3,0,17,0.22,0.09,2.56,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2020","Arrowroot, peeled, boiled, drained (without salt)",NA,"STARCHY ROOTS, TUBERS AND BANANAS",NA,1,461,109,70.9,3.2,0.3,22.3,2,1.3,6,1,23,40,548,28,0.86,1,1,3,0,16,0.17,0.08,1.9,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2003","Banana, BITA 3, dried, flour",NA,"STARCHY ROOTS, TUBERS AND BANANAS","d14-0601332, US28-09041",1,1550,366,2.3,3.9,1.8,78.5,9.9,3.6,30,1.2,60,100,1030,4,0.62,4,13,25,0,151,0.18,0.24,2.8,14,14,0,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2004","Banana, plantain, green, raw",NA,"STARCHY ROOTS, TUBERS AND BANANAS","KEN93-115(a), ZA10-3540, IN17-D063",0.5,410,97,73.6,1.4,0.4,20.1,3.6,0.9,7,0.8,23,29,322,10,0.23,1,0,1,0,3,0.06,0.04,0.33,19,19,0,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2005","Beet root, peeled, raw","Beta vulgaris","STARCHY ROOTS, TUBERS AND BANANAS","KEN93-30, IN17-C009, AU14-13A11670",0.85,184,44,86.1,2.17,0.1,6.9,3.31,1.4,13,0.8,11,36,298,60,0.55,0,1,2,0,10,0.01,0.02,0.3,110,110,0,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2021","Beet root, peeled, boiled, drained (without salt)",NA,"STARCHY ROOTS, TUBERS AND BANANAS",NA,1,186,44,86,2.2,0.1,7,3.3,1.4,12,62.9,7,32,135,33,0.42,0,1,1,0,7,0.01,0.01,0.2,56,56,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2022","Beet root, peeled, stewed (without salt)",NA,"STARCHY ROOTS, TUBERS AND BANANAS",NA,1,174,41,86.9,2,0.1,6.5,3.1,1.3,12,0.8,11,34,281,56,0.52,0,1,1,0,6,0.01,0.01,0.3,73,73,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2007","Cassava, root, white, peeled, raw","Manhiot esculenta","STARCHY ROOTS, TUBERS AND BANANAS","KEN93-31a, AU14-13A11690, US28-11134, IN-F015",0.93,733,173,53.8,1.3,0.3,39.1,4.6,1,33,0.9,13,21,250,2,0.34,1,1,1,0,8,0.23,0.01,0.4,27,27,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2023","Cassava, root, white, peeled, boiled, drained (without salt)",NA,"STARCHY ROOTS, TUBERS AND BANANAS",NA,1,627,148,60.5,1.1,0.2,33.4,3.9,0.8,27,0.7,10,17,171,1,0.26,1,1,1,0,6,0.15,0.01,0.3,15,15,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2008","Cassava, root, yellow, peeled, raw","Manhiot esculenta","STARCHY ROOTS, TUBERS AND BANANAS","AU14-13A11689, US28-11134",0.95,531,126,65.7,1.6,0.2,27,4.7,0.8,18,0.6,9,27,290,2,0.34,1,61,122,0,730,0.09,0.03,0.8,27,27,0,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2024","Cassava, root, yellow, peeled, boiled, drained (without salt)",NA,"STARCHY ROOTS, TUBERS AND BANANAS",NA,1,454,107,70.7,1.4,0.2,23.1,4,0.7,15,0.5,7,21,198,1,0.26,1,49,99,0,593,0.06,0.02,0.5,15,15,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2009","Potato, Irish (English), white variety, peeled, raw","Solanum tuberosum L.","STARCHY ROOTS, TUBERS AND BANANAS","SGS, AU14-13A11762, IN17-F006",0.85,447,105,72.1,2.4,0.1,22.7,1.68,1,9,1.4,19,81,645,6.46,0.32,1,0,0,0,0,0.07,0.04,1.2,53,53,0,6.6,NA,14,NA,37.68,NA,NA,NA,NA,NA,NA,0
"KE18","2025","Potato, Irish (English), white variety, peeled, boiled, drained (without salt)",NA,"STARCHY ROOTS, TUBERS AND BANANAS",NA,1,447,105,72.1,2.4,0.1,22.7,1.7,1,8,1.3,17,76,516,5,0.29,0,0,0,0,0,0.05,0.03,0.9,34,34,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2026","Potato, Irish (English), white variety, peeled, steamed (without salt)",NA,"STARCHY ROOTS, TUBERS AND BANANAS",NA,NA,456,107,71.5,2.5,0.2,23.2,1.7,1,8,1.3,18,79,559,6,0.31,0,0,0,0,0,0.06,0.04,1.1,33,33,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2010","Radish, round, red skin, raw","Raphanus sativus","STARCHY ROOTS, TUBERS AND BANANAS","KEN93-35b, IN17-F011, AU14-13A11804",0.81,64,15,94.5,0.8,0.16,1.6,2.3,0.7,36,0.4,22,22,103,32.27,0.18,0,0,0,0,1,0.02,0.03,0.3,25,25,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2011","Radish, long, red skin, raw","Raphanus sativus","STARCHY ROOTS, TUBERS AND BANANAS","KEN93-148a, IN17-F009, AU14-13A12163",0.98,57,14,94.7,0.6,0.1,1.3,2.5,0.8,28,0.37,13,27,193,25,0.16,0,0,0,0,2,0.06,0.02,0.3,26,26,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2012","Radish, white skin, raw","Raphanus sativus","STARCHY ROOTS, TUBERS AND BANANAS","KEN93-35c, IN17-F012, AU14-13A11805",0.99,93,22,93,1.1,0.3,2.7,2.1,0.7,40,0.4,14,20,249,26,0.34,0,1.25,3,0,15,0.03,0.02,0.5,28,28,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2013","Sweet potato, brown skin, peeled, raw","Ipomea batatas","STARCHY ROOTS, TUBERS AND BANANAS","KEN93-33a, IN17-F013, UK7-13-463",0.84,428,101,72,1.7,0.4,20.8,4,1.2,22,0.4,12,25,389,20,0.28,0,8,17,0,100,0.07,0.03,0.8,16,16,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2027","Sweet potato, brown skin, peeled, boiled, drained (without salt)",NA,"STARCHY ROOTS, TUBERS AND BANANAS",NA,NA,428,101,72,1.7,0.4,20.8,4,1.2,21,0.4,10,23,311,16,0.25,0,8,16,0,95,0.05,0.03,0.6,10,10,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2014","Sweetpotato, orange, biofortified, raw","Ipomoea batatas","STARCHY ROOTS, TUBERS AND BANANAS","k019, AU14-13A11712",0.92,325,76.9,78.7,1.9,0.1,15.6,3,0.7,27,0.5,14,33,250,10,0.5,1,517,1030,0,6200,0.03,0.05,1,11,11,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2028","Sweetpotato, orange, biofortified, boiled, drained (without salt)",NA,"STARCHY ROOTS, TUBERS AND BANANAS",NA,NA,325,77,78.7,1.9,0.1,15.6,3,0.7,26,0.5,13,31,200,8,0.45,0,491,981,0,5890,0.02,0.04,0.8,7,7,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2015","Sweet potato, pink skin","Ipomea batatas","STARCHY ROOTS, TUBERS AND BANANAS","KEN93-33a, IN17-F014",0.84,349,83,76.8,1.8,0.6,15.6,3.9,1.3,14,1,19,61,247,11,0.14,0,1,2,0,11,0.07,0.03,0.7,14,14,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2029","Sweet potato, pink skin, boiled, drained (without salt)",NA,"STARCHY ROOTS, TUBERS AND BANANAS",NA,NA,349,83,76.8,1.8,0.6,15.6,3.9,1.3,13,0.9,17,57,198,9,0.13,0,1,2,0,11,0.05,0.03,0.5,9,9,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2016","Taro, peeled, raw","Colocasia esculenta","STARCHY ROOTS, TUBERS AND BANANAS","KEN93-36, AU14-13A11740",0.9,411,97,73,1.8,0.2,20.3,3.5,1.2,51,0.7,20,88,300,10,0.6,1,3,5,0,30,0.1,0.03,0.7,22,22,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2017","Turnip, root, raw","Brassica rapa","STARCHY ROOTS, TUBERS AND BANANAS","KEN93-37, AU14-13A11744",0.77,94,22,93.1,0.7,0.2,3.6,1.7,0.8,34,0.5,11,39,320,29,0.2,1,0,0,0,0,0.04,0.04,0.7,15,15,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2018","Yam, flour",NA,"STARCHY ROOTS, TUBERS AND BANANAS","KEN93-38 b, IN17-F019",1,1320,312,14,3.4,0.4,67.4,12.8,2,20,1.1,50,110,818,28,1,2,0,0,0,0,0,0,1,43,43,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2019","Yam, white, raw","Dioscorea rotundata","STARCHY ROOTS, TUBERS AND BANANAS","KEN93-38a, US28-11601, UK7-13-397, IN17-F019",0.81,475,112,69,1.9,0.2,23.7,4.1,1.1,16,0.8,18,61,295,10,0.27,1,0,0,0,0,0.11,0.02,0.4,16,16,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","2030","Yam, white, boiled, drained (without salt)",NA,"STARCHY ROOTS, TUBERS AND BANANAS",NA,NA,500,118,67.4,2,0.2,24.9,4.3,1.2,16,0.8,17,60,248,8,0.26,1,0,0,0,0,0.09,0.02,0.3,10,10,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3001","Beans, broad, dry, raw","Vicia faba","LEGUMES AND PULSES","UP1-VIF001, US28-16052",1,1280,305,10.9,25.7,1.53,35.6,22.9,3.29,96,5.19,135,431,1190,25,3.55,8,2,5,0,29,0.56,0.33,2.41,250,250,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3023","Beans, broad, dry, unsoaked, boiled, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,458,109,68.2,9.2,0.5,12.7,8.2,1.2,31,1.6,42,138,319,9,1.14,3,1,2,0,10,0.13,0.09,0.6,45,45,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3024","Beans, broad, dry, unsoaked, boiled (without salt, water not discarded)",NA,"LEGUMES AND PULSES",NA,1,279,66,80.6,5.6,0.3,7.7,5,0.8,23,1.1,30,94,259,8,0.77,2,1,1,0,6,0.1,0.07,0.4,33,33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3025","Beans, broad, dry, water-soaked, boiled in different water, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,458,109,68.2,9.2,0.5,12.7,8.2,1.2,31,1.6,42,138,319,9,1.14,3,1,2,0,10,0.13,0.09,0.6,45,45,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3026","Beans, broad, dry, water-soaked, boiled in different water (without salt, water not discarded)",NA,"LEGUMES AND PULSES",NA,1,279,66,80.6,5.6,0.3,7.7,5,0.8,23,1.1,30,94,259,8,0.77,2,1,1,0,6,0.1,0.07,0.4,33,33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3002","Beans, broad, fresh, raw","Vicia faba","LEGUMES AND PULSES","KEN93-43(a), AU14-13A11776",1,345,82,75,7.2,0.5,8.7,7.1,1.3,26,1.6,29,427,275,2,1.1,8,16,32,0,195,0.12,0.14,2,284,284,0,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3027","Beans, broad, fresh, boiled, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,363,87,73.9,7.5,0.5,9.2,7.5,1.3,26,1.3,18,405,145,2,0.83,8,15,31,0,184,0.08,0.09,1.4,149,149,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3003","Beans, cluster, fresh, raw","Cyamopsis tetragonoloba","LEGUMES AND PULSES","KEN93-48, IN17-D039",0.86,232,55,82.9,6.19,0.4,4.4,4.8,1.4,121,5.6,73,50,301,4,0.61,2,20,40,0,241,0.09,0.03,0.7,41,41,0,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3028","Beans, cluster, fresh, boiled, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,244,58,82,6.5,0.4,4.6,5.1,1.4,121,4.4,46,47,158,3,0.48,2,19,38,0,228,0.06,0.02,0.5,22,22,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3004","Beans, kidney, dry, raw","Phaseolus vulgaris var. Kidney","LEGUMES AND PULSES","SGS,AU14-13A20124,UP1-PHV003",1,1280,305,12.1,20.5,2,40.6,21.2,3.6,106,6.4,103,600,872,22,2.78,4,1,1,0,6,0.35,0.18,2.4,272,272,0,0.3,NA,0,NA,190,0.25728,0.17632,1.15928,0.0068,NA,NA,0
"KE18","3029","Beans, kidney, dry, unsoaked, boiled, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,491,117,66.3,7.9,0.8,15.5,8.1,1.4,36,2.1,34,207,251,8,0.96,2,0,0,0,2,0.09,0.05,0.6,52,52,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3030","Beans, kidney, dry, unsoaked, boiled (without salt, water not discarded)",NA,"LEGUMES AND PULSES",NA,1,296,70,79.7,4.7,0.5,9.4,4.9,0.9,27,1.5,25,139,202,7,0.64,1,0,0,0,1,0.06,0.04,0.4,38,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3031","Beans, kidney, dry, water-soaked, boiled in different water, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,491,117,66.3,7.9,0.8,15.5,8.1,1.4,36,2.1,34,207,251,8,0.96,2,0,0,0,2,0.09,0.05,0.6,52,52,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3032","Beans, kidney, dry, water-soaked, boiled in different water (without salt, water not discarded)",NA,"LEGUMES AND PULSES",NA,1,296,70,79.7,4.7,0.5,9.4,4.9,0.9,27,1.5,25,139,202,7,0.64,1,0,0,0,1,0.06,0.04,0.4,38,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3005","Beans, lima, dry, raw","Phaseolus lunatus","LEGUMES AND PULSES","KEN93-52, UP1-PHL001,AU14-13A20127",1,1260,299,13.6,22.4,1.63,39.7,18.2,4.5,64,9.9,158,387,1447,7,2.6,6,0,0,0,0,0.53,0.16,1.5,381,381,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3033","Beans, lima, dry, unsoaked, boiled, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,504,120,65.4,8.9,0.7,15.9,7.3,1.8,23,3.4,54,139,434,4,0.95,2,0,0,0,0,0.14,0.05,0.4,76,76,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3034","Beans, lima, dry, unsoaked, boiled (without salt, water not discarded)",NA,"LEGUMES AND PULSES",NA,1,291,69,80,5.2,0.4,9.2,4.2,1.1,17,2.3,37,89,334,4,0.61,1,0,0,0,0,0.1,0.04,0.3,53,53,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3035","Beans, lima, dry, water-soaked, boiled in different water, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,504,120,65.4,8.9,0.7,15.9,7.3,1.8,23,3.4,54,139,434,4,0.95,2,0,0,0,0,0.14,0.05,0.4,76,76,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3036","Beans, lima, dry, water-soaked, boiled in different water (without salt, water not discarded)",NA,"LEGUMES AND PULSES",NA,1,291,69,80,5.2,0.4,9.2,4.2,1.1,17,2.3,37,89,334,4,0.61,1,0,0,0,0,0.1,0.04,0.3,53,53,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3006","Bean, red, fresh, raw",NA,"LEGUMES AND PULSES","AU14-13A11778",0.38,553,131,61.6,12.8,0.4,14.6,9.1,1.5,12,2.4,18,100,490,3,1,2,2,3,0,20,0.18,0.11,2,130,130,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3007","Beans, shellie, canned, solid & liquids",NA,"LEGUMES AND PULSES","US28-11050",1,112,27,90.7,1.8,0.2,2.8,3.4,1.2,29,1,15,30,109,334,0.27,2,11,23,0,137,0.03,0.05,0.21,18,18,0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3008","Bonavist, dry, raw","Lablab purpureus","LEGUMES AND PULSES","KEN93-46(b), KEN93-46(b), KEN93-46(b), dp10-0400065, UP1-LAP001, US28-16067",1,1350,319,10.3,23.1,1.4,45.3,16.4,3.4,59,7.13,145,334,1000,18,2.49,8,0,1,0,5,0.59,0.17,2.86,23,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3037","Bonavist, dry, unsoaked, boiled, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,516,122,65.6,8.9,0.5,17.4,6.3,1.3,21,2.3,48,115,289,7,0.86,3,0,0,0,2,0.15,0.05,0.7,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3038","Bonavist, dry, unsoaked, boiled (without salt, water not discarded)",NA,"LEGUMES AND PULSES",NA,1,430,102,71.3,7.4,0.4,14.5,5.2,1.1,21,2.3,47,107,321,9,0.8,3,0,0,0,2,0.15,0.05,0.7,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3039","Bonavist, dry, water-soaked, boiled in different water, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,516,122,65.6,8.9,0.5,17.4,6.3,1.3,21,2.3,48,115,289,7,0.86,3,0,0,0,2,0.15,0.05,0.7,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3040","Bonavist, dry, water-soaked, boiled in different water (without salt, water not discarded)",NA,"LEGUMES AND PULSES",NA,1,326,77,78.3,5.6,0.3,11,4,0.9,16,1.7,36,81,244,7,0.6,2,0,0,0,1,0.11,0.04,0.6,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3009","Bonavist, fresh, raw","Lablab purpureus","LEGUMES AND PULSES","KEN93-46 (a), US28-11224",1,521,124,63.3,5.8,0.6,18.8,10,1.5,31,2.5,380,118,762,6,1.12,5,43,86,0,519,0.54,0.14,0.52,188,188,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3010","Chick peas, whole, dry, raw","Cicer arietinum","LEGUMES AND PULSES","KEN93-47, KEN93-47, KEN93-47, UP1-CIA001, IN17-B002",1,1350,323,9.9,22.3,5.1,34.3,25.2,3.1,235,6.8,160,284,1030,25,3.37,41,15,29,0,175,0.48,0.16,2.1,400,400,0,8,NA,NA,569,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3041","Chick peas, whole, dry, unsoaked, boiled, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,601,143,59.9,9.9,2.3,15.3,11.2,1.4,90,2.6,61,114,342,10,1.35,18,6,13,0,78,0.14,0.05,0.6,89,89,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3042","Chick peas, whole, unsoaked, boiled (without salt, water not discarded)",NA,"LEGUMES AND PULSES",NA,1,430,102,71.4,7.1,1.6,10.9,8,1,76,2.2,51,90,326,10,1.07,13,5,9,0,55,0.12,0.05,0.5,76,76,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3043","Chick peas, whole, dry, water-soaked, boiled in different water, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,601,143,59.9,9.9,2.3,15.3,11.2,1.4,90,2.6,61,114,342,10,1.35,18,6,13,0,78,0.14,0.05,0.6,89,89,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3044","Chick peas, whole, dry, water-soaked, boiled in different water (without salt, water not discarded)",NA,"LEGUMES AND PULSES",NA,1,430,102,71.4,7.1,1.6,10.9,8,1,76,2.2,51,90,326,10,1.07,13,5,9,0,55,0.12,0.05,0.5,76,76,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3011","Cowpeas, dry, raw","Vigna unguiculata","LEGUMES AND PULSES","KEN93-49(a), KEN93-49(b), KEN93-49(c), KEN93-49(d),KEN93-49(e), UP1-VUN001, IN17-B005, IN17-B006",1,1320,313,12.4,25.3,1.1,43.3,14.3,3.6,112,5.97,322,276,1380,22,3.37,NA,2,3,0,19,0.9,0.15,2.4,439,439,0,1.5,NA,NA,543,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3045","Cowpeas, dry, unsoaked, boiled, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,495,117,67.1,9.5,0.4,16.2,5.4,1.4,37,1.9,103,93,389,8,1.14,0,1,1,0,7,0.22,0.04,0.6,82,82,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3046","Cowpeas, unsoaked, boiled (without salt, water not discarded)",NA,"LEGUMES AND PULSES",NA,1,299,71,80.1,5.7,0.3,9.8,3.2,0.8,27,1.4,74,62,313,7,0.76,0,0,1,0,4,0.16,0.03,0.4,60,60,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3047","Cowpeas, dry, water-soaked, boiled in different water, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,495,117,67.1,9.5,0.4,16.2,5.4,1.4,37,1.9,103,93,389,8,1.14,0,1,1,0,7,0.22,0.04,0.6,82,82,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3048","Cowpeas, dry, water-soaked, boiled in different water (without salt, water not discarded)",NA,"LEGUMES AND PULSES",NA,1,299,71,80.1,5.7,0.3,9.8,3.2,0.8,27,1.4,74,62,313,7,0.76,0,0,1,0,4,0.16,0.03,0.4,60,60,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3012","Cowpeas, fresh, raw","Vigna unguiculata","LEGUMES AND PULSES","KEN93-49, US28-11191",1,526,125,63.8,4.6,0.6,21.5,8,1.7,200,1.7,81,84,685,6,1.61,4,65,130,0,NA,0.14,0.1,2.3,267,267,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3049","Cowpeas, fresh, boiled, drained (without salt)",NA,"LEGUMES AND PULSES",NA,1,554,132,61.8,4.8,0.6,22.6,8.4,1.8,200,1.4,51,80,361,5,1.27,3,62,31,NA,NA,0.1,0.07,1.6,141,141,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3013","Flour, soya, full fat","Glycine max","LEGUMES AND PULSES","KEN93-57a, US28-16115",1,1830,437,7,37,20.2,22,9.41,4.37,200,6.25,421,484,2470,12.7,3.84,7,6,12,0,71,0.8,0.3,4.2,338,338,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","3014","Flour, soya, low fat","Glycine max","LEGUMES AND PULSES","KEN93-31a, AU14-13A11690",1,1510,361,7,45,8.68,17.8,15.6,5.9,240,9.1,278,658,2040,9,4,57,2,4,0,23,0.8,0.4,2.9,282,282,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
