"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"6064","Cabbage, red cabbage, head raw","1212.05","cabbage, red, fresh, raw","Fruits and Vegetables","vegetables, other and products","h","JA15","None listed","90.4","30","126",NA,"2.0","0.1","0.01","0","0.01","0",NA,"2.8","0.8","40","0.5","13","43","310","4","0.3","0.04",NA,NA,NA,"3",0.07,"0.03",0.3,0.19,NA,NA,"0","0.35",NA,"68","0",NA,NA
"6065","Cucumber, fruit, raw",NA,NA,NA,NA,NA,"JA15","None listed","95.4","14","59",NA,"1.0","0.1","0.01","0","0.01","0",NA,"1.1000000000000001","0.5","26","0.3","15","36","200","1","0.2","0.11",NA,"1","1","28",0.03,"0.03",0.2,0.05,NA,NA,"0","0.33","1.4","14","0",NA,NA
"6066","Cucumber, fruit, pickles, salted pickles",NA,NA,NA,NA,NA,"JA15","None listed","92.1","16","67",NA,"1.0","0.1","0.01","0","0.01","0",NA,"1.3","3.1","26","0.2","15","38","220","1000","0.2","7.0000000000000007E-2",NA,NA,NA,"18",0.02,"0.03",0.2,0.06,NA,NA,"0","0.34",NA,"11","0",NA,NA
"6067","Cucumber, fruit, pickles, pickled in soy sauce",NA,NA,NA,NA,NA,"JA15","None listed","81.0","50","209",NA,"3.2","0.4","0.05","0","0.05","0",NA,"3.4","4.5999999999999996","39","1.3","21","29","79","1600","0.2","0.08",NA,NA,NA,"48",0.03,"0.02",0.1,0.01,NA,NA,"0","0.12",NA,"8","0",NA,NA
"6068","Cucumber, fruit, pickles, ""Nukamiso-zuke"" pickled in salty rice bran paste",NA,NA,NA,NA,NA,"JA15","None listed","85.6","27","113",NA,"1.5","0.1","0.01","0","0.01","0",NA,"1.5","6.6","22","0.3","48","88","610","2100","0.2","0.11",NA,"1","1","18",0.26,"0.05",1.6,0.2,NA,NA,"0","0.93","1.2","22","0",NA,NA
"6069","Cucumber, fruit, pickles, sweet type pickled with seasoned vinegar",NA,NA,NA,NA,NA,"JA15","None listed","80.0","67","280",NA,"0.3","0.1","0.02","0","0.03","0",NA,"1.7","1.3","25","0.3","6","16","18","440","0.1","0.04",NA,NA,NA,"4",0,"0.01",0.1,0.04,NA,NA,"0","0",NA,"0","0",NA,NA
"6070","Cucumber, fruit, pickles, sour type processed by lactic acid fermentation",NA,NA,NA,NA,NA,"JA15","None listed","93.4","12","50",NA,"1.4","0",NA,NA,NA,"0",NA,"1.4","2.7","23","1.2","24","5","11","1000","0.1","0.04",NA,NA,NA,"1",0.02,"0.06",0.1,0,NA,NA,"0","0",NA,"0","0",NA,NA
"6071","Japanese victory onion, leaves, raw",NA,NA,NA,NA,NA,"JA15","None listed","88.8","34","142",NA,"3.5","0.2","0.02","0.01","0.05","0",NA,"3.3","0.9","29","1.4","22","30","340","2","0.4","0.16",NA,NA,NA,"170",0.1,"0.16",0.8,0.15,NA,NA,"0","0.39",NA,"59","0",NA,NA
"6075","Leaf celery, stems and leaves, raw",NA,NA,NA,NA,NA,"JA15","None listed","93.5","19","79",NA,"1.1000000000000001","0.4","0.06","0.01","0.13","0",NA,"2.5","1.2","140","0.5","26","56","360","27","0.5","0.02",NA,NA,NA,"150",0.05,"0.11",0.6,0.08,NA,NA,"0","0.35",NA,"15","0",NA,NA
"6076","Leaf celery, stems and leaves, boiled",NA,NA,NA,NA,NA,"JA15","None listed","93.6","19","79",NA,"1.1000000000000001","0.4","0.06","0.01","0.13","0",NA,"2.9","1.0","140","0.5","24","56","320","27","0.5","0.02",NA,NA,NA,"130",0.03,"0.06",0.4,0.05,NA,NA,"0","0.34",NA,"7","0",NA,NA
"6077","Watercress, stems and leaves, raw",NA,NA,NA,NA,NA,"JA15","None listed","94.1","15","63",NA,"2.1","0.1","0.03","0.01","0.04","0",NA,"2.5","1.1000000000000001","110","1.1000000000000001","13","57","330","23","0.2","0.05",NA,"2","2","230",0.1,"0.20",0.5,0.13,NA,NA,"0","0.30","4.0","26","0",NA,NA
"6078","Arrowhead, tuber, raw",NA,NA,NA,NA,NA,"JA15","None listed","65.5","126","527",NA,"6.3","0.1",NA,NA,NA,"0",NA,"2.4","1.5","5","0.8","34","150","600","3","2.2000000000000002","0.71",NA,"1","1","0",0.12,"7.0000000000000007E-2",1.9,0.34,NA,NA,"0","0.78","7.2","2","0",NA,NA
"6079","Arrowhead, tuber, boiled",NA,NA,NA,NA,NA,"JA15","None listed","65.0","128","536",NA,"6.2","0.1",NA,NA,NA,"0",NA,"2.8","1.5","5","0.8","32","140","550","3","2.1","0.59",NA,NA,NA,"0",0.1,"0.06",1.6,0.3,NA,NA,"0","0.75",NA,"0","0",NA,NA
"6080","Kale, leaves, raw",NA,NA,NA,NA,NA,"JA15","None listed","90.2","28","117",NA,"2.1","0.4","0.03","0.01","7.0000000000000007E-2","0",NA,"3.7","1.5","220","0.8","44","45","420","9","0.3","0.05",NA,"1","4","240",0.06,"0.15",0.9,0.16,NA,NA,"0","0.31","4.0","81","0",NA,NA
"6081","Kohlrabi, enlarged stems, raw",NA,NA,NA,NA,NA,"JA15","None listed","93.2","21","88",NA,"1.0","0",NA,NA,NA,"0",NA,"1.9","0.6","29","0.2","15","29","240","7","0.1","0.02",NA,NA,NA,"1",0.04,"0.05",0.2,0.09,NA,NA,"0","0.20",NA,"45","0",NA,NA
"6082","Kohlrabi, enlarged stems, boiled",NA,NA,NA,NA,NA,"JA15","None listed","93.1","21","88",NA,"1.0","0",NA,NA,NA,"0",NA,"2.2999999999999998","0.6","27","0.2","14","28","210","7","0.1","0.02",NA,NA,NA,"1",0.03,"0.05",0.2,0.06,NA,NA,"0","0.20",NA,"37","0",NA,NA
"6083","Ostrich-feather fern, fiddlehead, raw",NA,NA,NA,NA,NA,"JA15","None listed","90.7","28","117",NA,"3.0","0.2",NA,NA,NA,"0",NA,"5.2","0.8","26","0.6","31","69","350","1","0.7","0.26",NA,NA,NA,"100",0,"0.12",2.9,0.03,NA,NA,"0","0.60",NA,"27","0",NA,NA
"6084","Edible burdock, root, raw",NA,NA,NA,NA,NA,"JA15","None listed","81.7","65","272",NA,"1.8","0.1","0.02","0.02","0.04","0",NA,"5.7","0.9","46","0.7","54","62","320","18","0.8","0.21",NA,"2","1","0",0.05,"0.04",0.4,0.1,NA,NA,"0","0.23","1.3","3","0",NA,NA
"6085","Edible burdock, root, boiled",NA,NA,NA,NA,NA,"JA15","None listed","83.9","58","243",NA,"1.5","0.2","0.03","0.05","0.08","0",NA,"6.1","0.6","48","0.7","40","46","210","11","0.7","0.16",NA,NA,NA,"0",0.03,"0.02",0.2,0.09,NA,NA,"0","0.19",NA,"1","0",NA,NA
"6086","Spinach mustard, ""Komatsuna"", leaves, raw",NA,NA,NA,NA,NA,"JA15","None listed","94.1","14","59",NA,"1.5","0.2","0.02","0","0.08","0",NA,"1.9","1.3","170","2.8","12","45","500","15","0.2","0.06",NA,"2","1","260",0.09,"0.13",1,0.12,NA,NA,"0","0.32","2.9","39","0",NA,NA
"6087","Spinach mustard, ""Komatsuna"", leaves, boiled",NA,NA,NA,NA,NA,"JA15","None listed","94.0","15","63",NA,"1.6","0.1","0.01","0","0.04","0",NA,"2.4","1.0","150","2.1","14","46","140","14","0.3","7.0000000000000007E-2",NA,NA,NA,"260",0.04,"0.06",0.3,0.06,NA,NA,"0","0.23",NA,"21","0",NA,NA
"6088","Stem mustard,  pickles",NA,NA,NA,NA,NA,"JA15","None listed","77.599999999999994","23","96",NA,"2.5","0.1",NA,NA,NA,"0",NA,"4.5999999999999996","15.0","140","2.9","19","67","680","5400","0.4","0.10",NA,NA,NA,"1",0.04,"7.0000000000000007E-2",0.4,0.09,NA,NA,"0","0.35",NA,"0","0",NA,NA
"6089","Non-heading Chinese cabbage, ""Santosai"", leaves, raw",NA,NA,NA,NA,NA,"JA15","None listed","94.7","14","59",NA,"1.0","0.2","0.02","0.01","0.05","0",NA,"2.2000000000000002","1.1000000000000001","140","0.7","14","27","360","9","0.3","0.04",NA,NA,NA,"96",0.03,"7.0000000000000007E-2",0.5,0.08,NA,NA,"0","0.17",NA,"35","0",NA,NA
"6090","Non-heading Chinese cabbage, ""Santosai"", leaves, boiled",NA,NA,NA,NA,NA,"JA15","None listed","94.3","16","67",NA,"1.4","0.3","0.03","0.01","0.08","0",NA,"2.5","0.9","130","0.6","13","30","240","9","0.4","0.04",NA,NA,NA,"130",0.02,"0.05",0.3,0.05,NA,NA,"0","0.12",NA,"22","0",NA,NA
"6091","Non-heading Chinese cabbage, ""Santosai"", leaves, salted pickles",NA,NA,NA,NA,NA,"JA15","None listed","90.3","20","84",NA,"1.5","0.3","0.03","0.01","0.08","0",NA,"3.0","3.6","190","0.6","17","35","420","910","0.4","0.06",NA,NA,NA,"140",0.04,"0.12",0.6,0.1,NA,NA,"0","0.21",NA,"44","0",NA,NA
"6092","Winged beans, immature pods, raw",NA,NA,NA,NA,NA,"JA15","None listed","92.8","20","84",NA,"2.4","0.1",NA,NA,NA,"0",NA,"3.2","0.8","80","0.7","38","48","270","1","0.3","0.09",NA,NA,NA,"36",0.09,"0.09",0.8,0.1,NA,NA,"0","0.36",NA,"16","0",NA,NA
"6093","Sweet peppers, ""Shishito"", fruit, raw",NA,NA,NA,NA,NA,"JA15","None listed","91.4","27","113",NA,"1.9","0.3","0.03","0","0.07","0",NA,"3.6","0.7","11","0.5","21","34","340","1","0.3","0.10",NA,"0","4","44",0.07,"7.0000000000000007E-2",1.4,0.39,NA,NA,"0","0.35","4.2","57","0",NA,NA
"6094","Sweet peppers, ""Shishito"", fruit, saut̩ed",NA,NA,NA,NA,NA,"JA15","None listed","88.3","55","228",NA,"1.9","3.2","0.24","1.75","0.82","0",NA,"3.6","0.8","15","0.6","21","39","380","0","0.3","0.10",NA,"0","4","45",0.07,"7.0000000000000007E-2",1.5,0.4,NA,NA,"0","0.36","3.7","49","0",NA,NA
"6095","Perilla, ""Shiso"", leaves, raw",NA,NA,NA,NA,NA,"JA15","None listed","86.7","37","155",NA,"3.9","0.1","0.01","0","0.01","0",NA,"7.3","1.7","230","1.7","70","70","500","1","1.3","0.20",NA,"6","1","880",0.13,"0.34",1,0.19,NA,NA,"0","1.00","5.0999999999999996","26","0",NA,NA
"6096","Perilla, ""Shiso"", immature seeds, raw",NA,NA,NA,NA,NA,"JA15","None listed","85.7","41","172",NA,"3.4","0.1","0.01","0.01","0.05","0",NA,"8.9","1.9","100","1.2","71","85","300","1","1.0","0.52",NA,NA,NA,"220",0.09,"0.16",1.8,0.12,NA,NA,"0","0.80",NA,"5","0",NA,NA
