"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"1323","Thistle oil",NA,NA,NA,NA,NA,"DK19","None listed","0","900","3700","0","0",NA,NA,"10.827999999999999","76.989999999999995","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0",0,"0",0,0,NA,NA,"0",NA,NA,"0",NA,"38.700000000000003",NA
"1334","Rolls, sweet dough type",NA,NA,NA,NA,NA,"DK19","None listed","31.3","296","1250","1.56","9.1",NA,NA,NA,NA,NA,"48.7","3","1.3","50.6","1.0900000000000001","24.5","105","141","322","0.82399999999999995","0.129",NA,NA,NA,NA,0.177,"7.8200000000000006E-2",-0.006666666666666599,0.0719,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1335","Wheat germ oil",NA,NA,NA,NA,NA,"DK19","None listed","0","900","3700","0","0",NA,NA,"13.141999999999999","53.604999999999997","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0",0,"0",0,0,NA,NA,"0",NA,NA,"0",NA,"149",NA
"1345","Oil, cotton seed",NA,NA,NA,NA,NA,"DK19","None listed","0","900","3700","0","0",NA,NA,"17.837","51.908999999999999","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0",0,"0",0,0,NA,NA,"0",NA,NA,"0",NA,"35.299999999999997",NA
"1351","Sorbitol",NA,NA,NA,NA,NA,"DK19","None listed","0","240","1000","0","0",NA,NA,NA,NA,"0","100","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,"0",0,0,NA,NA,"0",NA,NA,"0",NA,"0",NA
"1355","Oil, palm",NA,NA,NA,NA,NA,"DK19","None listed","0","900","3700","0","0",NA,NA,"37.155000000000001","9.3390000000000004","0","0","0","0","0","0.01","0","0","0","0",NA,NA,NA,NA,NA,"0",0,"0",0,0,NA,NA,"0",NA,NA,"0",NA,"19.100000000000001",NA
"1364","Oil, cocoa butter",NA,NA,NA,NA,NA,"DK19","None listed","0","900","3700","0","0",NA,NA,"33.216999999999999","2.9369999999999998","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0",0,"0",0,0,NA,NA,"0",NA,NA,"0",NA,"1.8",NA
"1377","Palm kernel oil",NA,NA,NA,NA,NA,"DK19","None listed","0","900","3700","0","0",NA,NA,"11.4","1.6","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"0",0,"0",0,0,NA,NA,"0",NA,NA,"0",NA,"25.6",NA
"1380","Peanut oil",NA,NA,NA,NA,NA,"DK19","None listed","0","763","3151","0","0",NA,NA,"32.121000000000002","23.751999999999999","0","27.5","0","0","0","0.03","0","0","0","0","0.01",NA,NA,NA,NA,"0",0,"0",0,0,NA,NA,"0",NA,NA,"0",NA,"13",NA
"1382","Sunflower oil",NA,NA,NA,NA,NA,"DK19","None listed","0","900","3700","0","0",NA,NA,"22.033999999999999","62.978000000000002","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"2.17",0,"0",0,0,NA,NA,"0",NA,NA,"0",NA,"55",NA
