"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"19709","Puddings, tapioca, dry mix, with no added salt",NA,NA,NA,NA,NA,"US19",NA,"4","369","1544",NA,"0.1","0.1",NA,NA,NA,"0",NA,"0.2","1.4","4","0.12","2","4","5","8","0.08","0.029",NA,NA,NA,"0",0.001,"0.006",0.004,0.032,"0","0","0","0.015",NA,"0",NA,NA,NA
"19710","Puddings, vanilla, dry mix, regular, with added oil",NA,NA,NA,NA,NA,"US19",NA,"3.9","369","1544",NA,"0.3","1.1","0.2","0.32","0.53","0",NA,"0","2","15","0.05","5","3","20","754","0.09","0.02",NA,NA,NA,"0",0,"0",0,0,"0","0","0","0.004",NA,"0",NA,NA,NA
"19719","Jams and preserves, apricot",NA,NA,NA,NA,NA,"US19",NA,"34.5","242","1014",NA,"0.7","0.2","0.01","0","0","0",NA,"0.3","0.2","20","0.49","4","3","77","40","0.06","0.1",NA,NA,NA,"10",0,"0.022",0.036,0.02,"0","1","0","0.02",NA,"8.8","0",NA,NA
"19720","Syrups, table blends, pancake, with 2% maple, with added potassium",NA,NA,NA,NA,NA,"US19",NA,"30.1","265","1109",NA,"0","0.1","0",NA,NA,"0",NA,"0","0.2","5","0.07","2","10","22","61","0.23","0.045",NA,NA,NA,"0",0.005,"0.017",0.02,0,"0","0","0","0.008",NA,"0",NA,NA,NA
"19800","Snacks, corn cakes, very low sodium",NA,NA,NA,NA,NA,"US19",NA,"4.6","387","1619",NA,"8.1","2.4","0.42","0.76","0.93","0",NA,NA,"1.5","19","1.4","114","157","157","28","2","0.42",NA,NA,NA,"12",0.25,"0.05",5.15,0.14,"0","19","0","0.83",NA,"0",NA,NA,NA
"19802","Snacks, corn-based, extruded, puffs or twists, cheese-flavor, unenriched",NA,NA,NA,NA,NA,"US19","S2109, S26, S7621","1.5","558","2336",NA,"5.76","35.76","5.512","10.437","18.649","4",NA,"2.2","2.89","58","1.1","20","108","197","896","0.6","0.063",NA,NA,NA,"0",0.155,"0.2",5.743,0.064,"86","34","0.48","0.374",NA,"0","0",NA,NA
"19804","Snacks, corn-based, extruded, chips, barbecue-flavor, made with enriched masa flour",NA,NA,NA,NA,NA,"US19",NA,"1.2","523","2188",NA,"7","32.7","4.46","9.48","16.17","0",NA,NA,"2.8","131","4.9","77","207","236","763","1.06","0.166",NA,NA,NA,"31",0.42,"0.48",6.3,0.23,"0","200","0","0.143",NA,"1.7",NA,NA,NA
"19806","Snacks, popcorn, air-popped (Unsalted)",NA,NA,NA,NA,NA,"US19",NA,"4.1","382","1598",NA,"12","4.2","0.57","1.1","1.9","0",NA,"15.1","1.8","10","2.66","131","300","301","4","3.44","0.42",NA,NA,NA,"1",0.203,"0.283",1.944,0.245,"0","23","0","0.42",NA,"0",NA,NA,NA
"19807","Snacks, popcorn, oil-popped, white popcorn, salt added",NA,NA,NA,NA,NA,"US19",NA,"2.8","500","2092",NA,"9","28.1","4.89","8.17","13.42","0",NA,"10","2.9","10","2.78","108","250","225","884","2.64","0.221",NA,NA,NA,"1",0.134,"0.136",1.55,0.209,"0","17","0","0.305",NA,"0.3",NA,NA,NA
"19809","Snacks, potato chips, plain, made with partially hydrogenated soybean oil, salted",NA,NA,NA,NA,NA,"US19",NA,"1.9","536","2243",NA,"7","34.6","5.43","18","9.16","0",NA,"4.8","3.6","24","1.63","67","165","1275","594","1.09","0.306",NA,NA,NA,"0",0.167,"0.197",3.827,0.66,"0","45",NA,"0.402",NA,"31.1",NA,NA,NA
"19810","Snacks, potato chips, plain, made with partially hydrogenated soybean oil, unsalted",NA,NA,NA,NA,NA,"US19",NA,"1.9","536","2243",NA,"7","34.6","5.43","18","9.16","0",NA,"4.8","3.6","24","1.63","67","165","1275","8","1.09","0.306",NA,NA,NA,"0",0.167,"0.197",3.827,0.66,"0","45",NA,"0.402",NA,"31.1",NA,NA,NA
"19811","Snacks, potato chips, plain, unsalted",NA,NA,NA,NA,NA,"US19",NA,"1.9","536","2243",NA,"7","34.6","10.96","9.84","12.17","0",NA,"4.8","3.6","24","1.63","67","165","1275","8","1.09","0.306",NA,NA,NA,"0",0.167,"0.197",3.827,0.66,"0","45","0","0.402",NA,"31.1","0",NA,NA
"19812","Snacks, pretzels, hard, plain, made with unenriched flour, salted",NA,NA,NA,NA,NA,"US19",NA,"3.3","381","1594",NA,"9.1","3.5","0.75","1.36","1.22","0",NA,"2.8","4.9","36","1.67","35","113","146","1715","0.85","0.264",NA,NA,NA,"0",0.18,"0.1",1.92,0.116,"0","83","0","0.288",NA,"0",NA,NA,NA
"19813","Snacks, pretzels, hard, plain, made with unenriched flour, unsalted",NA,NA,NA,NA,NA,"US19",NA,"3.3","381","1594",NA,"9.1","3.5","0.75","1.36","1.22","0",NA,"2.8","4.9","36","1.67","35","113","146","289","0.85","0.264",NA,NA,NA,"0",0.18,"0.1",1.92,0.116,"0","83","0","0.288",NA,"0",NA,NA,NA
"19814","Snacks, pretzels, hard, plain, made with enriched flour, unsalted",NA,NA,NA,NA,NA,"US19",NA,"3.3","381","1594",NA,"9.1","3.5","0.75","1.36","1.22","0",NA,"2.8","4.9","36","4.32","35","113","146","250","0.85","0.264",NA,NA,NA,"0",0.461,"0.623",5.251,0.116,"88","83","0","0.288",NA,"0","0",NA,NA
"19816","Snacks, rice cakes, brown rice, plain, unsalted",NA,NA,NA,NA,NA,"US19",NA,"5.8","387","1619",NA,"8.2","2.8","0.57","1.03","0.99","0",NA,"4.2","1.7","11","1.49","131","360","290","26","3","0.445",NA,NA,NA,"0",0.061,"0.165",7.806,0.15,"0","21","0","1",NA,"0","0",NA,NA
"19817","Snacks, rice cakes, brown rice, buckwheat, unsalted",NA,NA,NA,NA,NA,"US19",NA,"5.9","380","1590",NA,"9","3.5","0.64","1.11","1.11","0",NA,NA,"1.6","11","1.14","151","380","299","4","2.5","0.38",NA,NA,NA,"0",0.056,"0.103",8.096,0.13,"0","21","0","1.16",NA,"0",NA,NA,NA
"19818","Snacks, rice cakes, brown rice, multigrain, unsalted",NA,NA,NA,NA,NA,"US19",NA,"6.3","387","1619",NA,"8.5","3.5","0.56","1.16","1.44","0",NA,NA,"1.6","21","1.96","137","370","294","4","2.53","0.427",NA,NA,NA,"0",0.067,"0.184",6.602,0.137,"0","20","0","1.002",NA,"0",NA,NA,NA
"19819","Snacks, rice cakes, brown rice, sesame seed, unsalted",NA,NA,NA,NA,NA,"US19",NA,"5.9","392","1640",NA,"7.6","3.8","0.54","1.1","1.15","0",NA,NA,"1.2","12","1.58","136","375","290","4","3","0.39",NA,NA,NA,"0",0.048,"0.085",7.205,0.155,"0","18","0","1.461",NA,"3",NA,NA,NA
